,CAS,灭火注意事项及措施
88,10024-97-2,喷水保持火场容器冷却，直至灭火结束
89,10025-67-9,可用干沙、二氧化碳灭火
90,10025-67-9,禁止使用高压水
91,10025-67-9,灭火人员应戴防毒面具
92,10025-68-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
93,10025-68-0,尽可能将容器从火场移至空旷处
94,10025-68-0,喷水保持火场容器冷却，直至灭火结束
95,10025-68-0,容器突然发出异常声音或出现异常现象，应立即撤离
96,10025-78-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
97,10025-78-2,尽可能将容器从火场移至空旷处
98,10025-78-2,喷水保持火场容器冷却，直至灭火结束
99,10025-78-2,切忌使用水、泡沫、二氧化碳、酸碱灭火剂灭火
100,10025-87-3,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
101,10025-87-3,尽可能将容器从火场移至空旷处
102,10025-87-3,喷水保持火场容器冷却，直至灭火结束
103,10025-87-3,禁止用水、泡沫和酸碱灭火剂灭火
104,10025-91-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
105,10025-91-9,尽可能将容器从火场移至空旷处
106,10025-91-9,喷水保持火场容器冷却，直至灭火结束
107,10025-91-9,禁止用水和泡沫灭火
108,10026-04-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
109,10026-04-7,尽可能将容器从火场移至空旷处
110,10026-04-7,喷水保持火场容器冷却，直至灭火结束
111,10026-04-7,禁止用水和泡沫灭火
112,10026-07-0,可用沙土、二氧化碳、雾状水灭火
113,10026-07-0,灭火人员应穿戴全身防护服
114,10026-11-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
115,10026-11-6,尽可能将容器从火场移至空旷处
116,10026-11-6,喷水保持火场容器冷却，直至灭火结束
117,10026-11-6,禁止用水和泡沫灭火
118,10026-13-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
119,10026-13-8,尽可能将容器从火场移至空旷处
120,10026-13-8,喷水保持火场容器冷却，直至灭火结束
121,10026-13-8,禁止用水和泡沫灭火
122,10031-18-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
123,10031-18-2,尽可能将容器从火场移至空旷处
124,10031-18-2,喷水保持火场容器冷却，直至灭火结束
125,10034-81-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
126,10034-81-8,尽可能将容器从火场移至空旷处
127,10034-81-8,喷水保持火场容器冷却，直至灭火结束
128,10034-81-8,在火场中与可燃物混合会发生爆炸，消防人员须在有防爆掩蔽处操作
129,10034-81-8,禁止用砂土压盖
130,10034-85-2,但与其他物品接触引起火灾时，消防人员须穿戴全身防护服，关闭火场中钢瓶的阀门，减弱火势，并用水喷淋保护去关闭阀门的人员
131,10034-85-2,喷水冷却容器，可能的话将容器从火场移至空旷处
132,10035-10-6,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
133,10035-10-6,尽可能将容器从火场移至空旷处
134,10035-10-6,喷水保持火场容器冷却，直至灭火结束
135,10038-98-9,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
136,10038-98-9,尽可能将容器从火场移至空旷处
137,10038-98-9,喷水保持火场容器冷却，直至灭火结束
138,10038-98-9,禁止用水和泡沫灭火
139,10045-94-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
140,10045-94-0,尽可能将容器从火场移至空旷处
141,10045-94-0,喷水保持火场容器冷却，直至灭火结束
142,10099-59-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
143,10099-59-9,尽可能将容器从火场移至空旷处
144,10099-59-9,喷水保持火场容器冷却，直至灭火结束
145,10099-74-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
146,10099-74-8,尽可能将容器从火场移至空旷处
147,10099-74-8,喷水保持火场容器冷却，直至灭火结束
148,10099-74-8,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
149,101-25-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
150,101-25-7,尽可能将容器从火场移至空旷处
151,101-25-7,喷水保持火场容器冷却，直至灭火结束
152,101-25-7,容器突然发出异常声音或出现异常现象，应立即撤离
153,101-25-7,禁止使用酸碱灭火剂
154,101-83-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
155,101-83-7,尽可能将容器从火场移至空旷处
156,101-83-7,喷水保持火场容器冷却，直至灭火结束
157,10101-50-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
158,10101-50-5,尽可能将容器从火场移至空旷处
159,10101-50-5,喷水保持火场容器冷却，直至灭火结束
160,10102-43-9,切断气源
161,10102-43-9,若不能切断气源，则不允许熄灭泄漏处的火焰
162,10102-43-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
163,10102-43-9,尽可能将容器从火场移至空旷处
164,10102-43-9,喷水保持火场容器冷却，直至灭火结束
165,10103-61-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
166,10103-61-4,尽可能将容器从火场移至空旷处
167,10103-61-4,喷水保持火场容器冷却，直至灭火结束
168,10108-64-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
169,10108-64-2,尽可能将容器从火场移至空旷处
170,10108-64-2,喷水保持火场容器冷却，直至灭火结束
171,10108-73-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
172,10108-73-3,尽可能将容器从火场移至空旷处
173,10108-73-3,喷水保持火场容器冷却，直至灭火结束
174,10118-76-0,消防人员需戴好防毒面具，在安全距离以外，以上风向灭火
175,10118-76-0,尽可能将容器从火场移至空旷处
176,10118-76-0,喷水保持火场容器冷却，直至灭火结束
177,10124-50-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
178,10124-50-2,尽可能将容器从火场移至空旷处
179,10124-50-2,喷水保持火场容器冷却，直至灭火结束
180,10138-60-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
181,10138-60-0,尽可能将容器从火场移至空旷处
182,10138-60-0,喷水保持火场容器冷却，直至灭火结束
183,10141-05-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
184,10141-05-6,尽可能将容器从火场移至空旷处
185,10141-05-6,喷水保持火场容器冷却，直至灭火结束
186,10192-29-7,消防人员须佩戴防毒面具、穿全身消防服，在有防护掩蔽处灭火
187,10192-29-7,尽可能将容器从火场移至空旷处
188,10192-29-7,喷水保持火场容器冷却，直至灭火结束
189,10192-29-7,禁止用砂土压盖
190,102-69-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
191,102-69-2,尽可能将容器从火场移至空旷处
192,102-69-2,喷水保持火场容器冷却，直至灭火结束
193,102-69-2,容器突然发出异常声音或出现异常现象，应立即撤离
194,102-82-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
195,102-82-9,尽可能将容器从火场移至空旷处
196,102-82-9,用水灭火无效，但可用水保持火场中容器冷却
197,10217-52-4,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
198,10217-52-4,尽可能将容器从火场移至空旷处
199,10217-52-4,喷水保持火场容器冷却，直至灭火结束
200,10217-52-4,容器突然发出异常声音或出现异常现象，应立即撤离
201,10217-52-4,遇大火，消防人员须在有防护掩蔽处操作
202,10241-05-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
203,10241-05-1,尽可能将容器从火场移至空旷处
204,10241-05-1,喷水保持火场容器冷却，直至灭火结束
205,10241-05-1,禁止用水和泡沫灭火
206,10265-92-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
207,10265-92-6,尽可能将容器从火场移至空旷处
208,10265-92-6,喷水保持火场容器冷却，直至灭火结束
209,10294-33-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
210,10294-33-4,尽可能将容器从火场移至空旷处
211,10294-33-4,喷水保持火场容器冷却，直至灭火结束
212,10294-33-4,禁止用水和泡沫灭火
213,10294-34-5,切断气源
214,10294-34-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
215,10294-34-5,尽可能将容器从火场移至空旷处
216,10294-34-5,火场中有大量本品泄漏物时，禁用水、泡沫和酸碱灭火剂
217,103-65-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
218,103-65-1,喷水冷却容器，可能的话将容器从火场移至空旷处
219,103-65-1,容器突然发出异常声音或出现异常现象，应立即撤离
220,103-69-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
221,103-69-5,尽可能将容器从火场移至空旷处
222,103-69-5,喷水保持火场容器冷却；直至灭火结束
223,103-69-5,容器突然发出异常声音或出现异常现象，应立即撤离
224,103-71-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
225,103-71-9,尽可能将容器从火场移至空旷处
226,103-71-9,喷水保持火场容器冷却，直至灭火结束
227,103-71-9,容器突然发出异常声音或出现异常现象，应立即撤离
228,103-71-9,禁止用水、泡沫和酸碱灭火剂灭火
229,103-72-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
230,103-72-0,尽可能将容器从火场移至空旷处
231,103-72-0,容器突然发出异常声音或出现异常现象，应立即撤离
232,103-72-0,禁止使用酸碱灭火剂
233,103-80-0,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
234,103-80-0,尽可能将容器从火场移至空旷处
235,103-80-0,喷水保持火场容器冷却，直至灭火结束
236,103-80-0,容器突然发出异常声音或出现异常现象，应立即撤离
237,103-80-0,禁止用水、泡沫和酸碱灭火剂灭火
238,10325-94-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
239,10325-94-7,尽可能将容器从火场移至空旷处
240,10325-94-7,喷水保持火场容器冷却，直至灭火结束
241,10326-21-3,消防人员须佩戴防毒面具、穿全身消防服，在有防护掩蔽处灭火
242,10326-21-3,尽可能将容器从火场移至空旷处
243,10326-21-3,喷水保持火场容器冷却，直至灭火结束
244,10326-21-3,禁止用砂土压盖
245,10361-37-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
246,10361-37-2,尽可能将容器从火场移至空旷处
247,10361-37-2,喷水保持火场容器冷却，直至灭火结束
248,10361-44-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
249,10361-44-1,尽可能将容器从火场移至空旷处
250,10361-44-1,喷水保持火场容器冷却，直至灭火结束
251,10361-44-1,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
252,10377-60-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
253,10377-60-3,尽可能将容器从火场移至空旷处
254,10377-60-3,喷水保持火场容器冷却，直至灭火结束
255,10377-60-3,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
256,104-51-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
257,104-51-8,喷水冷却容器，可能的话将容器从火场移至空旷处
258,104-51-8,容器突然发出异常声音或出现异常现象，应立即撤离
259,104-75-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
260,104-75-6,尽可能将容器从火场移至空旷处
261,104-75-6,喷水保持火场容器冷却，直至灭火结束
262,104-75-6,容器突然发出异常声音或出现异常现象，应立即撤离
263,104-91-6,可用水、泡沫、二氧化碳、干沙灭火
264,104-92-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
265,104-92-7,尽可能将容器从火场移至空旷处
266,104-92-7,喷水保持火场容器冷却，直至灭火结束
267,104-92-7,容器突然发出异常声音或出现异常现象，应立即撤离
268,10421-48-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
269,10421-48-4,尽可能将容器从火场移至空旷处
270,10421-48-4,喷水保持火场容器冷却，直至灭火结束
271,10450-60-9,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
272,10450-60-9,喷水冷却容器，可能的话将容器从火场移至空旷处
273,10450-60-9,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
274,10450-60-9,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
275,10450-60-9,禁止用砂土压盖
276,105-05-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
277,105-05-5,喷水冷却容器，可能的话将容器从火场移至空旷处
278,105-05-5,容器突然发出异常声音或出现异常现象，应立即撤离
279,105-36-2,消防人员需佩戴防毒面具、穿全身消防服，在上风向灭火
280,105-36-2,尽可能将容器从火场移至空旷处
281,105-36-2,喷水保持火场容器冷却，直至灭火结束
282,105-36-2,容器突然发出异常声音或出现异常现象，应立即撤离
283,105-37-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
284,105-37-3,尽可能将容器从火场移至空旷处
285,105-37-3,容器突然发出异常声音或出现异常现象，应立即撤离
286,105-37-3,用水灭火无效，但可用水保持火场中容器冷却
287,105-39-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
288,105-39-5,尽可能将容器从火场移至空旷处
289,105-39-5,喷水保持火场容器冷却，直至灭火结束
290,105-39-5,容器突然发出异常声音或出现异常现象，应立即撤离
291,105-39-5,不宜用水
292,105-46-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
293,105-46-4,尽可能将容器从火场移至空旷处
294,105-46-4,喷水保持火场容器冷却，直至灭火结束
295,105-46-4,容器突然发出异常声音或出现异常现象，应立即撤离
296,105-54-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
297,105-54-4,喷水冷却容器，可能的话将容器从火场移至空旷处
298,105-54-4,容器突然发出异常声音或出现异常现象，应立即撤离
299,105-56-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
300,105-56-6,尽可能将容器从火场移至空旷处
301,105-56-6,喷水保持火场容器冷却，直至灭火结束
302,105-56-6,容器突然发出异常声音或出现异常现象，应立即撤离
303,105-56-6,禁止用水、泡沫和酸碱灭火剂灭火
304,105-57-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
305,105-57-7,尽可能将容器从火场移至空旷处
306,105-57-7,喷水保持火场容器冷却，直至灭火结束
307,105-57-7,容器突然发出异常声音或出现异常现象，应立即撤离
308,105-58-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
309,105-58-8,喷水冷却容器，可能的话将容器从火场移至空旷处
310,105-58-8,容器突然发出异常声音或出现异常现象，应立即撤离
311,105-66-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
312,105-66-8,喷水冷却容器，可能的话将容器从火场移至空旷处
313,105-66-8,容器突然发出异常声音或出现异常现象，应立即撤离
314,105-68-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
315,105-68-0,喷水冷却容器，可能的话将容器从火场移至空旷处
316,105-68-0,容器突然发出异常声音或出现异常现象，应立即撤离
317,10544-72-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
318,10544-72-6,切断气源
319,10544-72-6,喷水冷却容器，可能的话将容器从火场移至空旷处
320,10544-73-7,消防人员必须穿全身防火防毒服，在上风向灭火
321,10544-73-7,切断气源
322,10544-73-7,喷水冷却容器，可能的话将容器从火场移至空旷处
323,10545-99-0,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
324,10545-99-0,尽可能将容器从火场移至空旷处
325,10545-99-0,喷水保持火场容器冷却，直至灭火结束
326,10567-69-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
327,10567-69-8,喷水冷却容器，可能的话将容器从火场移至空旷处
328,10567-69-8,在火场中与可燃物混合会爆炸，消防人员须在有防爆掩蔽处操作
329,10588-01-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
330,10588-01-9,尽可能将容器从火场移至空旷处
331,10588-01-9,喷水保持火场容器冷却，直至灭火结束
332,106-31-0,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
333,106-31-0,尽可能将容器从火场移至空旷处
334,106-31-0,喷水保持火场容器冷却，直至灭火结束
335,106-31-0,容器突然发出异常声音或出现异常现象，应立即撤离
336,106-35-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
337,106-35-4,喷水冷却容器，可能的话将容器从火场移至空旷处
338,106-35-4,容器突然发出异常声音或出现异常现象，应立即撤离
339,106-41-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
340,106-41-2,尽可能将容器从火场移至空旷处
341,106-41-2,喷水保持火场容器冷却，直至灭火结束
342,106-42-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
343,106-42-3,喷水冷却容器，可能的话将容器从火场移至空旷处
344,106-42-3,容器突然发出异常声音或出现异常现象，应立即撤离
345,106-43-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
346,106-43-4,喷水冷却容器，可能的话将容器从火场移至空旷处
347,106-43-4,容器突然发出异常声音或出现异常现象，应立即撤离
348,106-44-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
349,106-44-5,尽可能将容器从火场移至空旷处
350,106-44-5,喷水保持火场容器冷却，直至灭火结束
351,106-45-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
352,106-45-6,尽可能将容器从火场移至空旷处
353,106-45-6,喷水保持火场容器冷却，直至灭火结束
354,106-47-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
355,106-47-8,尽可能将容器从火场移至空旷处
356,106-47-8,喷水保持火场容器冷却，直至灭火结束
357,106-48-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
358,106-48-9,尽可能将容器从火场移至空旷处
359,106-48-9,喷水保持火场容器冷却，直至灭火结束
360,106-49-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
361,106-49-0,尽可能将容器从火场移至空旷处
362,106-49-0,喷水保持火场容器冷却，直至灭火结束
363,106-50-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
364,106-50-3,尽可能将容器从火场移至空旷处
365,106-50-3,喷水保持火场容器冷却，直至灭火结束
366,106-51-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
367,106-51-4,尽可能将容器从火场移至空旷处
368,106-51-4,喷水保持火场容器冷却，直至灭火结束
369,106-63-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
370,106-63-8,尽可能将容器从火场移至空旷处
371,106-63-8,喷水保持火场容器冷却，直至灭火结束
372,106-63-8,容器突然发出异常声音或出现异常现象，应立即撤离
373,106-63-8,遇大火，消防人员须在有防护掩蔽处操作
374,106-70-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
375,106-70-7,喷水冷却容器，可能的话将容器从火场移至空旷处
376,106-70-7,容器突然发出异常声音或出现异常现象，应立即撤离
377,106-88-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
378,106-88-7,尽可能将容器从火场移至空旷处
379,106-88-7,喷水保持火场容器冷却，直至灭火结束
380,106-88-7,容器突然发出异常声音或出现异常现象，应立即撤离
381,106-89-8,可用沙土、泡沫、干粉、二氧化碳灭火
382,106-93-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
383,106-93-4,尽可能将容器从火场移至空旷处
384,106-93-4,喷水保持火场容器冷却，直至灭火结束
385,106-93-4,容器突然发出异常声音或出现异常现象，应立即撤离
386,106-94-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
387,106-94-5,喷水冷却容器，可能的话将容器从火场移至空旷处
388,106-94-5,容器突然发出异常声音或出现异常现象，应立即撤离
389,106-95-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
390,106-95-6,尽可能将容器从火场移至空旷处
391,106-95-6,喷水保持火场容器冷却，直至灭火结束
392,106-95-6,容器突然发出异常声音或出现异常现象，应立即撤离
393,106-95-6,用水灭火无效
394,106-97-8,切断气源
395,106-97-8,若不能切断气源，则不允许熄灭泄漏处的火焰
396,106-97-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
397,106-97-8,尽可能将容器从火场移至空旷处
398,106-97-8,喷水保持火场容器冷却，直至灭火结束
399,106-98-9,切断气源
400,106-98-9,若不能切断气源，则不允许熄灭泄漏处的火焰
401,106-98-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
402,106-98-9,尽可能将容器从火场移至空旷处
403,106-98-9,喷水保持火场容器冷却，直至灭火结束
404,106-99-0,切断气源
405,106-99-0,若不能切断气源，则不允许熄灭泄漏处的火焰
406,106-99-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
407,106-99-0,尽可能将容器从火场移至空旷处
408,106-99-0,喷水保持火场容器冷却，直至灭火结束
409,107-00-6,切断气源
410,107-00-6,若不能切断气源，则不允许熄灭泄漏处的火焰
411,107-00-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
412,107-00-6,尽可能将容器从火场移至空旷处
413,107-00-6,喷水保持火场容器冷却，直至灭火结束
414,107-01-7,切断气源
415,107-01-7,若不能切断气源，则不允许熄灭泄漏处的火焰
416,107-01-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
417,107-01-7,尽可能将容器从火场移至空旷处
418,107-01-7,喷水保持火场容器冷却，直至灭火结束
419,107-02-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
420,107-02-8,尽可能将容器从火场移至空旷处
421,107-02-8,喷水保持火场容器冷却，直至灭火结束
422,107-02-8,容器突然发出异常声音或出现异常现象，应立即撤离
423,107-03-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
