,CAS,操作注意事项
35,100-07-2,远离火种、热源，工作场所严禁吸烟
36,100-07-2,使用防爆型的通风系统和设备
37,100-07-2,避免产生烟雾
38,100-07-2,防止烟雾和蒸气释放到工作场所空气中
39,100-07-2,避免与氧化剂、碱类接触
40,100-07-2,尤其要注意避免与水接触
41,100-07-2,搬运时要轻装轻卸，防止包装及容器损坏
42,100-07-2,配备相应品种和数量的消防器材及泄漏应急处理设备
43,100-07-2,倒空的容器可能残留有害物
44,100-11-8,密闭操作，提供充分的局部排风
45,100-11-8,操作人员必须经过专门培训，严格遵守操作规程
46,100-11-8,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿防毒物渗透工作服，戴橡胶手套
47,100-11-8,远离火种、热源
48,100-11-8,工作场所严禁吸烟
49,100-11-8,使用防爆型的通风系统和设备
50,100-11-8,避免产生粉尘
51,100-11-8,避免与氧化剂、还原剂、碱类、胺类、醇类接触
52,100-11-8,搬运时要轻装轻卸，防止包装及容器损坏
53,100-11-8,配备相应品种和数量的消防器材及泄漏应急处理设备
54,100-11-8,倒空的容器可能残留有害物
55,100-12-9,密闭操作，提供充分的局部排风
56,100-12-9,操作人员必须经过专门培训，严格遵守操作规程
57,100-12-9,建议操作人员佩戴过滤式防毒面具(半面罩)，戴安全防护眼镜，穿防毒物渗透工作服，戴耐油橡胶手套
58,100-12-9,远离火种、热源
59,100-12-9,工作场所严禁吸烟
60,100-12-9,使用防爆型的通风系统和设备
61,100-12-9,防止蒸气泄漏到工作场所空气中
62,100-12-9,避免与氧化剂、还原剂、酸类、碱类接触
63,100-12-9,搬运时要轻装轻卸，防止包装及容器损坏
64,100-12-9,配备相应品种和数量的消防器材及泄漏应急处理设备
65,100-12-9,倒空的容器可能残留有害物
66,100-14-1,密闭操作，提供充分的局部排风
67,100-14-1,操作人员必须经过专门培训，严格遵守操作规程
68,100-14-1,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
69,100-14-1,远离火种、热源，工作场所严禁吸烟
70,100-14-1,使用防爆型的通风系统和设备
71,100-14-1,避免产生粉尘
72,100-14-1,避免与氧化剂、碱类接触
73,100-14-1,搬运时要轻装轻卸，防止包装及容器损坏
74,100-14-1,配备相应品种和数量的消防器材及泄漏应急处理设备
75,100-14-1,倒空的容器可能残留有害物
76,100-16-3,密闭操作，局部排风
77,100-16-3,操作人员必须经过专门培训，严格遵守操作规程
78,100-16-3,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
79,100-16-3,远离火种、热源
80,100-16-3,工作场所严禁吸烟
81,100-16-3,使用防爆型的通风系统和设备
82,100-16-3,避免产生粉尘
83,100-16-3,避免与氧化剂、还原剂、酸类接触
84,100-16-3,搬运时要轻装轻卸，防止包装及容器损坏
85,100-16-3,配备相应品种和数量的消防器材及泄漏应急处理设备
86,100-16-3,倒空的容器可能残留有害物
87,100-17-4,密闭操作，加强通风
88,100-17-4,操作人员必须经过专门培训，严格遵守操作规程
89,100-17-4,建议操作人员佩戴自吸过滤式防尘口罩，戴安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
90,100-17-4,远离火种、热源
91,100-17-4,工作场所严禁吸烟
92,100-17-4,使用防爆型的通风系统和设备
93,100-17-4,避免产生粉尘
94,100-17-4,避免与氧化剂、还原剂、酸类、碱类接触
95,100-17-4,搬运时要轻装轻卸，防止包装及容器损坏
96,100-17-4,配备相应品种和数量的消防器材及泄漏应急处理设备
97,100-17-4,倒空的容器可能残留有害物
98,100-20-9,密闭操作，局部排风
99,100-20-9,操作人员必须经过专门培训，严格遵守操作规程
100,100-20-9,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿橡胶耐酸碱服，戴橡胶耐酸碱手套
101,100-20-9,远离火种、热源
102,100-20-9,工作场所严禁吸烟
103,100-20-9,使用防爆型的通风系统和设备
104,100-20-9,避免与氧化剂、碱类、醇类接触
105,100-20-9,搬运时要轻装轻卸，防止包装及容器损坏
106,100-20-9,配备相应品种和数量的消防器材及泄漏应急处理设备
107,100-20-9,倒空的容器可能残留有害物
108,100-25-4,密闭操作，提供充分的局部排风
109,100-25-4,操作人员必须经过专门培训，严格遵守操作规程
110,100-25-4,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿胶布防毒衣，戴橡胶手套
111,100-25-4,远离火种、热源
112,100-25-4,工作场所严禁吸烟
113,100-25-4,使用防爆型的通风系统和设备
114,100-25-4,避免产生粉尘
115,100-25-4,避免与氧化剂、还原剂、碱类接触
116,100-25-4,搬运时要轻装轻卸，防止包装及容器损坏
117,100-25-4,禁止震动、撞击和摩擦
118,100-25-4,配备相应品种和数量的消防器材及泄漏应急处理设备
119,100-25-4,倒空的容器可能残留有害物
120,100-28-7,密闭操作，提供充分的局部排风
121,100-28-7,操作人员必须经过专门培训，严格遵守操作规程
122,100-28-7,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
123,100-28-7,远离火种、热源，工作场所严禁吸烟
124,100-28-7,使用防爆型的通风系统和设备
125,100-28-7,避免产生粉尘
126,100-28-7,避免与氧化剂、酸类、碱类接触
127,100-28-7,搬运时要轻装轻卸，防止包装及容器损坏
128,100-28-7,配备相应品种和数量的消防器材及泄漏应急处理设备
129,100-28-7,倒空的容器可能残留有害物
130,100-29-8,密闭操作，加强通风
131,100-29-8,操作人员必须经过专门培训，严格遵守操作规程
132,100-29-8,建议操作人员佩戴自吸过滤复式防尘口罩，戴安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
133,100-29-8,远离火种、热源
134,100-29-8,工作场所严禁吸烟
135,100-29-8,使用防爆型的通风系统和设备
136,100-29-8,避免与氧化剂、还原剂、酸类、碱类接触
137,100-29-8,搬运时要轻装轻卸，防止包装及容器损坏
138,100-29-8,配备相应品种和数量的消防器材及泄漏应急处理设备
139,100-29-8,倒空的容器可能残留有害物
140,100-35-6,密闭操作，提供充分的局部排风
141,100-35-6,防止烟雾或蒸气释放到工作场所空气中
142,100-35-6,操作人员必须经过专门培训，严格遵守操作规程
143,100-35-6,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶手套
144,100-35-6,远离火种、热源，工作场所严禁吸烟
145,100-35-6,使用防爆型的通风系统和设备
146,100-35-6,在清除液体和蒸气前不能进行焊接、切割等作业
147,100-35-6,避免产生烟雾或蒸气
148,100-35-6,避免与氧化剂接触
149,100-35-6,配备相应品种和数量的消防器材及泄漏应急处理设备
150,100-35-6,倒空的容器可能残留有害物
151,100-36-7,密闭操作，全面通风
152,100-36-7,尽可能采取隔离操作
153,100-36-7,操作人员必须经过专门培训，严格遵守操作规程
154,100-36-7,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿橡胶耐酸碱服，戴橡胶耐酸碱手套
155,100-36-7,远离火种、热源，工作场所严禁吸烟
156,100-36-7,使用防爆型的通风系统和设备
157,100-36-7,防止蒸气泄漏到工作场所空气中
158,100-36-7,避免与氧化剂、酸类接触
159,100-36-7,搬运时要轻装轻卸，防止包装及容器损坏
160,100-36-7,配备相应品种和数量的消防器材及泄漏应急处理设备
161,100-36-7,倒空的容器可能残留有害物
162,100-37-8,密闭操作，提供充分的局部排风
163,100-37-8,操作人员必须经过专门培训，严格遵守操作规程
164,100-37-8,建议操作人员佩戴过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿化学防护服，戴橡胶手套
165,100-37-8,远离火种、热源
166,100-37-8,工作场所严禁吸烟
167,100-37-8,使用防爆型的通风系统和设备
168,100-37-8,防止蒸气泄漏到工作场所空气中
169,100-37-8,避免与氧化剂、酸类接触
170,100-37-8,充装要控制流速，防止静电积聚
171,100-37-8,搬运时要轻装轻卸，防止包装及容器损坏
172,100-37-8,配备相应品种和数量的消防器材及泄漏应急处理设备
173,100-37-8,倒空的容器可能残留有害物
174,100-39-0,密闭操作，提供充分的局部排风
175,100-39-0,操作人员必须经过专门培训，严格遵守操作规程
176,100-39-0,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
177,100-39-0,远离火种、热源
178,100-39-0,工作场所严禁吸烟
179,100-39-0,使用防爆型的通风系统和设备
180,100-39-0,防止蒸气泄漏到工作场所空气中
181,100-39-0,避免与氧化剂、碱类、胺类、醇类接触
182,100-39-0,搬运时要轻装轻卸，防止包装及容器损坏
183,100-39-0,配备相应品种和数量的消防器材及泄漏应急处理设备
184,100-39-0,倒空的容器可能残留有害物
185,100-40-3,密闭操作，全面通风
186,100-40-3,操作人员必须经过专门培训，严格遵守操作规程
187,100-40-3,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
188,100-40-3,远离火种、热源，工作场所严禁吸烟
189,100-40-3,使用防爆型的通风系统和设备
190,100-40-3,防止蒸气泄漏到工作场所空气中
191,100-40-3,避免与氧化剂、酸类接触
192,100-40-3,充装要控制流速，防止静电积聚
193,100-40-3,搬运时要轻装轻卸，防止包装及容器损坏
194,100-40-3,配备相应品种和数量的消防器材及泄漏应急处理设备
195,100-40-3,倒空的容器可能残留有害物
196,100-41-4,密闭操作，加强通风
197,100-41-4,操作人员必须经过专门培训，严格遵守操作规程
198,100-41-4,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
199,100-41-4,远离火种、热源
200,100-41-4,工作场所严禁吸烟
201,100-41-4,使用防爆型的通风系统和设备
202,100-41-4,防止蒸气泄漏到工作场所空气中
203,100-41-4,避免与氧化剂接触
204,100-41-4,灌装时应控制流速，且有接地装置，防止静电积聚
205,100-41-4,搬运时要轻装轻卸，防止包装及容器损坏
206,100-41-4,配备相应品种和数量的消防器材及泄漏应急处理设备
207,100-41-4,倒空的容器可能残留有害物
208,100-42-5,密闭操作，加强通风
209,100-42-5,操作人员必须经过专门培训，严格遵守操作规程
210,100-42-5,建议操作人员佩戴过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
211,100-42-5,远离火种、热源
212,100-42-5,工作场所严禁吸烟
213,100-42-5,使用防爆型的通风系统和设备
214,100-42-5,防止蒸气泄漏到工作场所空气中
215,100-42-5,避免与氧化剂、酸类接触
216,100-42-5,灌装时应控制流速，且有接地装置，防止静电积聚
217,100-42-5,搬运时要轻装轻卸，防止包装及容器损坏
218,100-42-5,配备相应品种和数量的消防器材及泄漏应急处理设备
219,100-42-5,倒空的容器可能残留有害物
220,100-43-6,密闭操作，局部排风
221,100-43-6,防止蒸气泄漏到工作场所空气中
222,100-43-6,操作人员必须经过专门培训，严格遵守操作规程
223,100-43-6,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
224,100-43-6,远离火种、热源，工作场所严禁吸烟
225,100-43-6,使用防爆型的通风系统和设备
226,100-43-6,在清除液体和蒸气前不能进行焊接、切割等作业
227,100-43-6,避免产生烟雾
228,100-43-6,避免与氧化剂、酸类接触
229,100-43-6,配备相应品种和数量的消防器材及泄漏应急处理设备
230,100-43-6,倒空的容器可能残留有害物
231,100-44-7,密闭操作，提供充分的局部排风
232,100-44-7,操作人员必须经过专门培训，严格遵守操作规程
233,100-44-7,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿透气型防毒服，戴橡胶耐油手套
234,100-44-7,远离火种、热源
235,100-44-7,工作场所严禁吸烟
236,100-44-7,使用防爆型的通风系统和设备
237,100-44-7,防止蒸气泄漏到工作场所空气中
238,100-44-7,避免与氧化剂、金属粉末、醇类接触
239,100-44-7,搬运时要轻装轻卸，防止包装及容器损坏
240,100-44-7,配备相应品种和数量的消防器材及泄漏应急处理设备
241,100-44-7,倒空的容器可能残留有害物
242,100-46-9,密闭操作，提供充分的局部排风
243,100-46-9,操作人员必须经过专门培训，严格遵守操作规程
244,100-46-9,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
245,100-46-9,远离火种、热源，工作场所严禁吸烟
246,100-46-9,使用防爆型的通风系统和设备
247,100-46-9,防止蒸气泄漏到工作场所空气中
248,100-46-9,避免与氧化剂、酸类接触
249,100-46-9,搬运时要轻装轻卸，防止包装及容器损坏
250,100-46-9,配备相应品种和数量的消防器材及泄漏应急处理设备
251,100-46-9,倒空的容器可能残留有害物
252,100-47-0,密闭操作，提供充分的局部排风
253,100-47-0,操作尽可能机械化、自动化
254,100-47-0,操作人员必须经过专门培训，严格遵守操作规程
255,100-47-0,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿聚乙烯防毒服，戴橡胶耐油手套
256,100-47-0,远离火种、热源
257,100-47-0,工作场所严禁吸烟
258,100-47-0,使用防爆型的通风系统和设备
259,100-47-0,防止蒸气泄漏到工作场所空气中
260,100-47-0,避免与氧化剂、还原剂、酸类接触
261,100-47-0,搬运时要轻装轻卸，防止包装及容器损坏
262,100-47-0,配备相应品种和数量的消防器材及泄漏应急处理设备
263,100-47-0,倒空的容器可能残留有害物
264,100-50-5,密闭操作，全面排风
265,100-50-5,操作人员必须经过专门培训，严格遵守操作规程
266,100-50-5,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶手套
267,100-50-5,远离火种、热源，工作场所严禁吸烟
268,100-50-5,使用防爆型的通风系统和设备
269,100-50-5,防止蒸气泄漏到工作场所空气中
270,100-50-5,避免与氧化剂、还原剂、碱类接触
271,100-50-5,搬运时要轻装轻卸，防止包装及容器损坏
272,100-50-5,配备相应品种和数量的消防器材及泄漏应急处理设备
273,100-50-5,倒空的容器可能残留有害物
274,100-53-8,密闭操作，提供充分的局部排风
275,100-53-8,操作尽可能机械化、自动化
276,100-53-8,操作人员必须经过专门培训，严格遵守操作规程
277,100-53-8,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿透气型防毒服，戴防化学品手套
278,100-53-8,远离火种、热源
279,100-53-8,工作场所严禁吸烟
280,100-53-8,使用防爆型的通风系统和设备
281,100-53-8,防止蒸气泄漏到工作场所空气中
282,100-53-8,避免与氧化剂、碱类接触
283,100-53-8,搬运时要轻装轻卸，防止包装及容器损坏
284,100-53-8,配备相应品种和数量的消防器材及泄漏应急处理设备
285,100-53-8,倒空的容器可能残留有害物
286,100-56-1,密闭操作，局部排风
287,100-56-1,防止粉尘释放到车间空气中
288,100-56-1,操作人员必须经过专门培训，严格遵守操作规程
289,100-56-1,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴乳胶手套
290,100-56-1,远离火种、热源，工作场所严禁吸烟
291,100-56-1,使用防爆型的通风系统和设备
292,100-56-1,避免产生粉尘
293,100-56-1,避免与氧化剂、还原剂、酸类接触
294,100-56-1,配备相应品种和数量的消防器材及泄漏应急处理设备
295,100-56-1,倒空的容器可能残留有害物
296,100-61-8,密闭操作，提供充分的局部排风
297,100-61-8,操作尽可能机械化、自动化
298,100-61-8,操作人员必须经过专门培训，严格遵守操作规程
299,100-61-8,建议操作人员佩戴过滤式防毒面具(半面罩)，戴安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
300,100-61-8,远离火种、热源
301,100-61-8,工作场所严禁吸烟
302,100-61-8,使用防爆型的通风系统和设备
303,100-61-8,防止蒸气泄漏到工作场所空气中
304,100-61-8,避免与氧化剂、酸类接触
305,100-61-8,搬运时要轻装轻卸，防止包装及容器损坏
306,100-61-8,配备相应品种和数量的消防器材及泄漏应急处理设备
307,100-61-8,倒空的容器可能残留有害物
308,100-63-0,密闭操作，局部排风
309,100-63-0,操作人员必须经过专门培训，严格遵守操作规程
310,100-63-0,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
311,100-63-0,远离火种、热源
312,100-63-0,工作场所严禁吸烟
313,100-63-0,使用防爆型的通风系统和设备
314,100-63-0,防止烟雾或粉尘泄漏到工作场所空气中
315,100-63-0,避免与氧化剂接触
316,100-63-0,搬运时要轻装轻卸，防止包装及容器损坏
317,100-63-0,配备相应品种和数量的消防器材及泄漏应急处理设备
318,100-63-0,倒空的容器可能残留有害物
319,100-66-3,密闭操作，全面通风
320,100-66-3,操作人员必须经过专门培训，严格遵守操作规程
321,100-66-3,建议操作人员佩戴过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
322,100-66-3,远离火种、热源
323,100-66-3,工作场所严禁吸烟
324,100-66-3,使用防爆型的通风系统和设备
325,100-66-3,防止蒸气泄漏到工作场所空气中
326,100-66-3,避免与氧化剂、酸类接触
327,100-66-3,充装要控制流速，防止静电积聚
328,100-66-3,搬运时要轻装轻卸，防止包装及容器损坏
329,100-66-3,配备相应品种和数量的消防器材及泄漏应急处理设备
330,100-66-3,倒空的容器可能残留有害物
331,100-69-6,严加密闭，提供充分的局部排风和全面通风
332,100-69-6,操作人员必须经过专门培训，严格遵守操作规程
333,100-69-6,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶耐油手套
334,100-69-6,远离火种、热源，工作场所严禁吸烟
335,100-69-6,使用防爆型的通风系统和设备
336,100-69-6,防止蒸气泄漏到工作场所空气中
337,100-69-6,避免与氧化剂、酸类、碱类接触
338,100-69-6,搬运时要轻装轻卸，防止包装及容器损坏
339,100-69-6,配备相应品种和数量的消防器材及泄漏应急处理设备
340,100-69-6,倒空的容器可能残留有害物
341,100-71-0,密闭操作，局部排风
342,100-71-0,防止蒸气泄漏到工作场所空气中
343,100-71-0,操作人员必须经过专门培训，严格遵守操作规程
344,100-71-0,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
345,100-71-0,远离火种、热源，工作场所严禁吸烟
346,100-71-0,使用防爆型的通风系统和设备
347,100-71-0,在清除液体和蒸气前不能进行焊接、切割等作业
348,100-71-0,避免产生烟雾
349,100-71-0,避免与氧化剂、酸类接触
350,100-71-0,配备相应品种和数量的消防器材及泄漏应急处理设备
351,100-71-0,倒空的容器可能残留有害物
352,100-73-2,密闭操作，局部排风
353,100-73-2,防止蒸气泄漏到工作场所空气中
354,100-73-2,操作人员必须经过专门培训，严格遵守操作规程
355,100-73-2,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶手套
356,100-73-2,远离火种、热源，工作场所严禁吸烟
357,100-73-2,使用防爆型的通风系统和设备
358,100-73-2,在清除液体和蒸气前不能进行焊接、切割等作业
359,100-73-2,避免产生烟雾
360,100-73-2,避免与氧化剂、碱类接触
361,100-73-2,容器与传送设备要接地，防止产生静电
362,100-73-2,灌装时应控制流速，且有接地装置，防止静电积聚
363,100-73-2,配备相应品种和数量的消防器材及泄漏应急处理设备
364,100-73-2,倒空的容器可能残留有害物
365,100-74-3,密闭操作，局部排风
366,100-74-3,操作人员必须经过专门培训，严格遵守操作规程
367,100-74-3,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
368,100-74-3,远离火种、热源，工作场所严禁吸烟
369,100-74-3,使用防爆型的通风系统和设备
370,100-74-3,防止蒸气泄漏到工作场所空气中
371,100-74-3,避免与氧化剂接触
372,100-74-3,充装要控制流速，防止静电积聚
373,100-74-3,搬运时要轻装轻卸，防止包装及容器损坏
374,100-74-3,配备相应品种和数量的消防器材及泄漏应急处理设备
375,100-74-3,倒空的容器可能残留有害物
376,100-97-0,密闭操作，局部排风
377,100-97-0,操作人员必须经过专门培训，严格遵守操作规程
378,100-97-0,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服
379,100-97-0,远离火种、热源
380,100-97-0,工作场所严禁吸烟
381,100-97-0,使用防爆型的通风系统和设备
382,100-97-0,避免产生粉尘
383,100-97-0,避免与氧化剂、酸类接触
384,100-97-0,搬运时要轻装轻卸，防止包装及容器损坏
385,100-97-0,配备相应品种和数量的消防器材及泄漏应急处理设备
386,100-97-0,倒空的容器可能残留有害物
387,100-99-2,严加密闭，提供充分的局部排风和全面通风
388,100-99-2,操作人员必须经过专门培训，严格遵守操作规程
389,100-99-2,建议操作人员佩戴过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
390,100-99-2,远离火种、热源
391,100-99-2,工作场所严禁吸烟
392,100-99-2,使用防爆型的通风系统和设备
393,100-99-2,防止蒸气泄漏到工作场所空气中
394,100-99-2,避免与氧化剂、酸类、醇类接触
395,100-99-2,尤其要注意避免与水接触
396,100-99-2,搬运时要轻装轻卸，防止包装及容器损坏
397,100-99-2,配备相应品种和数量的消防器材及泄漏应急处理设备
398,100-99-2,倒空的容器可能残留有害物
399,1002-16-0,密闭操作，全面通风
400,1002-16-0,操作人员必须经过专门培训，严格遵守操作规程
401,1002-16-0,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴耐油橡胶手套
402,1002-16-0,远离火种、热源
403,1002-16-0,工作场所严禁吸烟
404,1002-16-0,使用防爆型的通风系统和设备
405,1002-16-0,防止蒸气泄漏到工作场所空气中
406,1002-16-0,避免与氧化剂、还原剂接触
407,1002-16-0,充装要控制流速，防止静电积聚
408,1002-16-0,搬运时要轻装轻卸，防止包装及容器损坏
409,1002-16-0,配备相应品种和数量的消防器材及泄漏应急处理设备
410,1002-16-0,倒空的容器可能残留有害物
411,10022-31-8,密闭操作，加强通风
412,10022-31-8,操作人员必须经过专门培训，严格遵守操作规程
413,10022-31-8,建议操作人员佩戴自吸过滤式防尘口罩，戴安全防护眼镜，穿聚乙烯防毒服，戴氯丁橡胶手套
414,10022-31-8,远离火种、热源
415,10022-31-8,工作场所严禁吸烟
416,10022-31-8,远离易燃、可燃物
417,10022-31-8,避免产生粉尘
418,10022-31-8,避免与还原剂、酸类、碱类接触
419,10022-31-8,搬运时要轻装轻卸，防止包装及容器损坏
420,10022-31-8,配备相应品种和数量的消防器材及泄漏应急处理设备
421,10022-31-8,倒空的容器可能残留有害物
422,10024-97-2,密闭操作，提供良好的自然通风条件
423,10024-97-2,操作人员必须经过专门培训，严格遵守操作规程
424,10024-97-2,远离火种、热源
425,10024-97-2,工作场所严禁吸烟
426,10024-97-2,远离易燃、可燃物
427,10024-97-2,防止气体泄漏到工作场所空气中
428,10024-97-2,避免与还原剂接触
429,10024-97-2,搬运时轻装轻卸，防止钢瓶及附件破损
430,10024-97-2,配备相应品种和数量的消防器材及泄漏应急处理设备
431,10025-67-9,入库验收：主要是验物品及包装有无沾染异物或其他商品，包装有无渗漏破损，封口应严密有效
432,10025-67-9,商品是澄清液体，无沉淀杂质
433,10025-67-9,堆码苫垫：与氯磺酸(81023)同
434,10025-67-9,{木箱坛装可码2个高
435,10025-67-9,玻璃瓶木箱装码行列式货垛，垛高不超过2m，垛距80～90cm，墙距30～50cm，顶距不小于1m，以便于出入库操作和安全
436,10025-67-9,}在库检查：与氯磺酸(81023)同
437,10025-67-9,{保管员除进行班前班后的安全检查外，还应每3个月对库存物品进行一次质量检查，其检查内容与入库验收同，发现问题及时采取有效措施，如封口、更换等，并做好记录
438,10025-67-9,}温湿度管理：保管员应定时记录和掌握库内温度和湿度变化情况，以便采取通风降温和排除气味等措施
439,10025-67-9,安全作业：操作人员应穿工作服，戴手套、胶围裙，注意轻搬轻放，防止摔、扔和撞击等
440,10025-67-9,保管期限：1年
441,10025-68-0,密闭操作，提供充分的局部排风
442,10025-68-0,操作尽可能机械化、自动化
443,10025-68-0,操作人员必须经过专门培训，严格遵守操作规程
444,10025-68-0,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿连衣式防毒衣，戴橡胶手套
445,10025-68-0,防止蒸气泄漏到工作场所空气中
446,10025-68-0,避免与氧化剂、酸类、碱类接触
447,10025-68-0,尤其要注意避免与水接触
448,10025-68-0,搬运时要轻装轻卸，防止包装及容器损坏
449,10025-68-0,配备泄漏应急处理设备
450,10025-68-0,倒空的容器可能残留有害物
451,10025-78-2,密闭操作，局部排风
452,10025-78-2,操作人员必须经过专门培训，严格遵守操作规程
453,10025-78-2,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿胶布防毒衣，戴橡胶手套
454,10025-78-2,远离火种、热源
455,10025-78-2,工作场所严禁吸烟
456,10025-78-2,使用防爆型的通风系统和设备
457,10025-78-2,避免产生烟雾
458,10025-78-2,防止烟雾和蒸气释放到工作场所空气中
459,10025-78-2,避免与氧化剂、酸类、碱类接触
460,10025-78-2,尤其要注意避免与水接触
461,10025-78-2,搬运时要轻装轻卸，防止包装及容器损坏
462,10025-78-2,配备相应品种和数量的消防器材及泄漏应急处理设备
463,10025-78-2,倒空的容器可能残留有害物
464,10025-87-3,密闭操作，注意通风
465,10025-87-3,操作尽可能机械化、自动化
466,10025-87-3,操作人员必须经过专门培训，严格遵守操作规程
467,10025-87-3,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿橡胶耐酸碱服，戴橡胶耐酸碱手套
468,10025-87-3,避免产生烟雾
469,10025-87-3,防止烟雾和蒸气释放到工作场所空气中
470,10025-87-3,避免与还原剂、活性金属粉末、醇类接触
471,10025-87-3,尤其要注意避免与水接触
472,10025-87-3,搬运时要轻装轻卸，防止包装及容器损坏
