,CAS,灭火方法
50,100-46-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
51,100-46-9,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
52,100-46-9,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
53,100-47-0,用泡沫、干粉、二氧化碳、砂土灭火
54,100-50-5,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
55,100-50-5,尽可能将容器从火场移至空旷处
56,100-50-5,喷水保持火场容器冷却，直至灭火结束
57,100-50-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
58,100-50-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
59,100-53-8,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
60,100-56-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
61,100-56-1,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
62,100-56-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
63,100-61-8,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
64,100-63-0,用雾状水、泡沫、二氧化碳、砂土灭火
65,100-66-3,用泡沫、二氧化碳、干粉、砂土灭火
66,100-69-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
67,100-69-6,尽可能将容器从火场移至空旷处
68,100-69-6,喷水保持火场容器冷却，直至灭火结束
69,100-69-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
70,100-69-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
71,100-71-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
72,100-71-0,尽可能将容器从火场移至空旷处
73,100-71-0,喷水保持火场容器冷却，直至灭火结束
74,100-71-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
75,100-71-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
76,100-73-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
77,100-73-2,尽可能将容器从火场移至空旷处
78,100-73-2,喷水保持火场容器冷却，直至灭火结束
79,100-73-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
80,100-73-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
81,100-74-3,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
82,100-74-3,尽可能将容器从火场移至空旷处
83,100-74-3,喷水保持火场容器冷却，直至灭火结束
84,100-74-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
85,100-74-3,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
86,100-74-3,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
87,100-97-0,用泡沫、二氧化碳、雾状水、砂土灭火
88,100-99-2,用干粉、干砂灭火
89,1002-16-0,用泡沫、干粉、二氧化碳、砂土灭火
90,10022-31-8,本品不燃
91,10022-31-8,根据着火原因选择适当灭火剂灭火
92,10024-97-2,本品不燃
93,10024-97-2,根据着火原因选择适当灭火剂灭火
94,10025-68-0,本品不燃
95,10025-68-0,根据着火原因选择适当灭火剂灭火
96,10025-78-2,用干粉、干砂灭火
97,10025-87-3,用干粉、干燥砂土灭火
98,10025-91-9,本品不燃
99,10025-91-9,根据着火原因选择适当灭火剂灭火
100,10026-03-6,消防人员必须穿全身防火防毒服，在上风向灭火
101,10026-03-6,灭火时尽可能将容器从火场移至空旷处
102,10026-04-7,用干燥砂土灭火
103,10026-11-6,用干燥砂土灭火
104,10026-12-7,消防人员必须穿全身防火防毒服，在上风向灭火
105,10026-12-7,灭火时尽可能将容器从火场移至空旷处
106,10026-12-7,禁止用水
107,10026-13-8,用干粉、二氧化碳、干燥砂土灭火
108,10026-17-2,消防人员必须穿全身防火防毒服，在上风向灭火
109,10026-17-2,灭火时尽可能将容器从火场移至空旷处
110,10026-17-2,然后根据着火原因选择适当灭火剂灭火
111,10026-18-3,消防人员必须穿全身防火防毒服，在上风向灭火；灭火时尽可能将容器从火场移至空旷处；然后根据着火原因选择适当灭火剂灭火
112,1003-03-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
113,1003-03-8,尽可能将容器从火场移至空旷处
114,1003-03-8,喷水保持火场容器冷却，直至灭火结束
115,1003-03-8,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
116,1003-03-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
117,10031-13-7,消防人员必须穿全身防火防毒服，在上风向灭火
118,10031-13-7,灭火时尽可能将容器从火场移至空旷处
119,10031-13-7,然后根据着火原因选择适当灭火剂灭火
120,10031-18-2,本品不燃
121,10031-18-2,根据着火原因选择适当灭火剂灭火
122,10031-43-3,消防人员必须穿全身防火防毒服，在上风向灭火
123,10031-43-3,灭火时尽可能将容器从火场移至空旷处
124,10031-43-3,然后根据着火原因选择适当灭火剂灭火
125,10034-81-8,本品不燃
126,10034-81-8,根据着火原因选择适当灭火剂灭火
127,10034-85-2,本品不燃
128,10034-85-2,根据着火原因选择适当灭火剂灭火
129,10035-10-6,本品不燃
130,10035-10-6,根据着火原因选择适当灭火剂灭火
131,10036-47-2,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
132,10036-47-2,迅速切断气源，用水喷淋保护切断气源的人员，然后根据着火原因选择适当灭火剂灭火
133,10036-47-2,尽可能将容器从火场移至空旷处
134,10036-47-2,喷水保持火场容器冷却，直至灭火结束
135,10038-98-9,用干燥砂土灭火
136,10039-54-0,消防人员必须穿全身防火防毒服，在上风向灭火
137,10039-54-0,遇大火须远离以防炸伤
138,10039-54-0,灭火时尽可能将容器从火场移至空旷处
139,10042-76-9,消防人员必须穿全身防火防毒服，在上风向灭火
140,10042-76-9,灭火时尽可能将容器从火场移至空旷处
141,10042-76-9,然后根据着火原因选择适当灭火剂灭火
142,10043-35-3,消防人员必须穿全身防火防毒服，在上风向灭火
143,10043-35-3,灭火时尽可能将容器从火场移至空旷处
144,10045-94-0,本品不燃
145,10045-94-0,根据着火原因选择适当灭火剂灭火
146,10049-04-4,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
147,10049-04-4,迅速切断气源，用水喷淋保护切断气源的人员，然后根据着火原因选择适当灭火剂灭火
148,10049-04-4,尽可能将容器从火场移至空旷处
149,10049-04-4,喷水保持火场容器冷却，直至灭火结束
150,10099-59-9,本品不燃
151,10099-59-9,根据着火原因选择适当灭火剂灭火
152,10099-74-8,本品不燃
153,10099-74-8,根据着火原因选择适当灭火剂灭火
154,10099-76-0,消防人员必须穿全身防火防毒服，在上风向灭火
155,10099-76-0,灭火时尽可能将容器从火场移至空旷处
156,101-02-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
157,101-02-0,尽可能将容器从火场移至空旷处
158,101-02-0,喷水保持火场容器冷却，直至灭火结束
159,101-02-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
160,101-02-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
161,101-14-4,"Fires involving this material can be controlled with a dry chemical, carbon dioxide or Halon extinguisher."
162,101-25-7,用水、砂土灭火
163,101-27-9,尽可能将容器从火场移至空旷处
164,101-27-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
165,101-37-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
166,101-37-1,尽可能将容器从火场移至空旷处
167,101-37-1,喷水保持火场容器冷却，直至灭火结束
168,101-37-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
169,101-37-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
170,101-54-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
171,101-54-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
172,101-68-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
173,101-68-8,灭火剂：干粉、二氧化碳、砂土
174,101-68-8,禁止用水和泡沫灭火
175,101-77-9,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
176,101-77-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
177,101-82-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
178,101-82-6,尽可能将容器从火场移至空旷处
179,101-82-6,喷水保持火场容器冷却，直至灭火结束
180,101-82-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
181,101-82-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
182,101-83-7,用干粉、二氧化碳、抗溶性泡沫、砂土灭火
183,10101-50-5,本品不燃
184,10101-50-5,根据着火原因选择适当灭火剂灭火
185,10102-18-8,消防人员必须穿全身防火防毒服，在上风向灭火
186,10102-18-8,灭火时尽可能将容器从火场移至空旷处
187,10102-18-8,然后根据着火原因选择适当灭火剂灭火
188,10102-20-2,本品不燃
189,10102-20-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
190,10102-20-2,尽可能将容器从火场移至空旷处
191,10102-20-2,喷水保持火场容器冷却，直至灭火结束
192,10102-20-2,灭火时尽量切断泄漏源，然后根据着火原因选择适当灭火剂灭火
193,10102-43-9,本品不燃
194,10102-43-9,根据着火原因选择适当灭火剂灭火
195,10102-44-0,本品不燃
196,10102-44-0,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
197,10102-44-0,切断气源
198,10102-44-0,喷水冷却容器，可能的话将容器从火场移至空旷处
199,10102-44-0,灭火剂：干粉、二氧化碳
200,10102-44-0,禁止用水、卤代烃灭火剂灭火
201,10102-45-1,消防人员必须穿全身防火防毒服，在上风向灭火
202,10102-45-1,尽可能将容器从火场移至空旷处
203,10102-45-1,喷水保持火场容器冷却，直至灭火结束
204,10102-49-5,消防人员必须穿全身防火防毒服，在上风向灭火
205,10102-49-5,灭火时尽可能将容器从火场移至空旷处
206,10102-49-5,然后根据着火原因选择适当灭火剂灭火
207,10103-50-1,消防人员必须穿全身防火防毒服，在上风向灭火
208,10103-50-1,灭火时尽可能将容器从火场移至空旷处
209,10103-50-1,然后根据着火原因选择适当灭火剂灭火
210,10103-61-4,二氧 化 碳 (CO2)、灭 火 粉 末 或 洒 水. 使用 洒 水 或 抗 酒 精 泡 沫 灭 火 剂 扑 灭 较 大 的 火 种
211,10108-64-2,本品不燃
212,10108-64-2,根据着火原因选择适当灭火剂灭火
213,10108-73-3,本品不燃
214,10108-73-3,根据着火原因选择适当灭火剂灭火
215,10112-91-1,消防人员必须穿全身防火防毒服，在上风向灭火
216,10112-91-1,灭火时尽可能将容器从火场移至空旷处
217,10118-76-0,本品不燃
218,10118-76-0,根据着火原因选择适当灭火剂灭火
219,10124-36-4,消防人员必须穿全身防火防毒服，在上风向灭火；灭火时尽可能将容器从火场移至空旷处；然后根据着火原因选择适当灭火剂灭火
220,10124-37-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
221,10124-37-5,雾状水、砂土
222,10124-37-5,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
223,10124-43-3,消防人员必须穿全身防火防毒服，在上风向灭火
224,10124-43-3,灭火时尽可能将容器从火场移至空旷处
225,10124-43-3,然后根据着火原因选择适当灭火剂灭火
226,10124-48-8,消防人员必须穿全身防火防毒服，在上风向灭火
227,10124-48-8,灭火时尽可能将容器从火场移至空旷处
228,10124-48-8,然后根据着火原因选择适当灭火剂灭火
229,10124-50-2,本品不燃
230,10124-50-2,根据着火原因选择适当灭火剂灭火
231,10137-69-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
232,10137-69-6,尽可能将容器从火场移至空旷处
233,10137-69-6,喷水保持火场容器冷却，直至灭火结束
234,10137-69-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
235,10137-69-6,灭火剂：干粉、二氧化碳、砂土
236,10137-69-6,禁止用水和泡沫灭火
237,10138-60-0,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
238,10139-58-9,尽可能将容器从火场移至空旷处
239,10139-58-9,喷水保持火场容器冷却，直至灭火结束
240,10141-05-6,本品不燃
241,10141-05-6,根据着火原因选择适当灭火剂灭火
242,10192-29-7,用大量水扑救，同时用干粉灭火剂闷熄
243,102-27-2,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
244,102-27-2,尽可能将容器从火场移至空旷处
245,102-27-2,喷水保持火场容器冷却，直至灭火结束
246,102-27-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
247,102-27-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
248,102-27-2,不宜用水
249,102-36-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
250,102-36-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
251,102-47-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
252,102-47-6,尽可能将容器从火场移至空旷处
253,102-47-6,喷水保持火场容器冷却，直至灭火结束
254,102-47-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
255,102-47-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
256,102-69-2,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
257,102-70-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
258,102-70-5,尽可能将容器从火场移至空旷处
259,102-70-5,喷水保持火场容器冷却，直至灭火结束
260,102-70-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
261,102-70-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
262,102-81-8,消防人员须佩戴防毒面具，穿全身消防服，在上风处灭火；尽可能将容器从火场将至空旷处，喷水保持火场容器冷却，直至灭火结束；火场中容器若已变色或从泄压装置中发出声音，必须马上撤离；灭火剂使用泡沫、二氧化碳、干粉、沙土
263,102-82-9,用干粉、二氧化碳、泡沫、砂土灭火
264,10217-52-4,用雾状水、抗溶性泡沫、二氧化碳、干粉灭火
265,10241-05-1,用二氧化碳、砂土灭火
266,10265-92-6,用干粉、泡沫、砂土灭火
267,10290-12-7,消防人员必须穿全身防火防毒服，在上风向灭火
268,10290-12-7,灭火时尽可能将容器从火场移至空旷处
269,10290-12-7,然后根据着火原因选择适当灭火剂灭火
270,10294-33-4,用干粉、二氧化碳、干燥砂土灭火
271,10294-34-5,本品不燃
272,10294-34-5,根据着火原因选择适当灭火剂灭火
273,10294-56-1,"Wear a self-contained breathing apparatus in pressure-demand, MSHA/NIOSH (approved or equivalent), and full protective gear. Combustion generates toxic fumes. During a fire, irritating and highly toxic gases may be generated by thermal decomposition or combustion. Use water spray to keep fire-exposed containers cool. Substance is noncombustible. Contact with metals may evolve flammable hydrogen gas. Containers may explode when heated. Extinguishing media: For small fires, use water spray, dry chemical, carbon dioxide or chemical foam. Do NOT get water inside containers. For large fires, use dry chemical, carbon dioxide, alcohol-resistant foam, or water spray. Cool containers with flooding quantities of water until well after fire is out."
274,103-65-1,用泡沫、二氧化碳、干粉、砂土灭火
275,103-69-5,用泡沫、二氧化碳、干粉、砂土灭火
276,103-71-9,用干粉、二氧化碳灭火
277,103-72-0,用泡沫、干粉、二氧化碳、砂土灭火
278,103-80-0,用干粉、二氧化碳、砂土灭火
279,103-83-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
280,103-83-3,尽可能将容器从火场移至空旷处
281,103-83-3,喷水保持火场容器冷却，直至灭火结束
282,103-83-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
283,103-83-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
284,103-84-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
285,103-84-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
286,1031-47-6,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
287,1031-47-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
288,10311-84-9,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
289,10311-84-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
290,10325-94-7,本品不燃
291,10325-94-7,根据着火原因选择适当灭火剂灭火
292,10326-21-3,用大量水扑救，同时用干粉灭火剂闷熄
293,10326-24-6,消防人员必须穿全身防火防毒服，在上风向灭火
294,10326-24-6,灭火时尽可能将容器从火场移至空旷处
295,10326-24-6,然后根据着火原因选择适当灭火剂灭火
296,10361-37-2,本品不燃
297,10361-37-2,根据着火原因选择适当灭火剂灭火
298,10361-44-1,本品不燃
299,10361-44-1,根据着火原因选择适当灭火剂灭火
300,10361-95-2,消防人员必须穿全身防火防毒服，在上风向灭火
301,10361-95-2,灭火时尽可能将容器从火场移至空旷处
302,10361-95-2,然后根据着火原因选择适当灭火剂灭火
303,10377-60-3,本品不燃
304,10377-60-3,根据着火原因选择适当灭火剂灭火
305,104-51-8,用泡沫、二氧化碳、干粉、砂土灭火
306,104-75-6,用水、干粉、二氧化碳、泡沫、砂土灭火
307,104-78-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
308,104-78-9,尽可能将容器从火场移至空旷处
309,104-78-9,喷水保持火场容器冷却，直至灭火结束
310,104-78-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
311,104-78-9,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
312,104-78-9,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
313,104-83-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
314,104-83-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
315,104-85-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
316,104-85-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
317,104-90-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
318,104-90-5,尽可能将容器从火场移至空旷处
319,104-90-5,喷水保持火场容器冷却，直至灭火结束
320,104-90-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
321,104-90-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
322,104-90-5,不宜用水
323,104-92-7,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
324,104-94-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
325,104-94-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
326,10421-48-4,本品不燃
327,10421-48-4,根据着火原因选择适当灭火剂灭火
328,10450-60-9,本品不燃
329,10450-60-9,根据着火原因选择适当灭火剂灭火
330,105-05-5,用泡沫、二氧化碳、干粉、砂土灭火
331,105-29-3,消防人员必须穿全身耐酸碱消防服
332,105-29-3,尽可能将容器从火场移至空旷处
333,105-29-3,喷水保持火场容器冷却，直至灭火结束
334,105-29-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
335,105-29-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
336,105-30-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
337,105-30-6,尽可能将容器从火场移至空旷处
338,105-30-6,喷水保持火场容器冷却，直至灭火结束
339,105-30-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
340,105-30-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
341,105-30-6,不宜用水
342,105-36-2,用泡沫、干粉、砂土灭火
343,105-37-3,用泡沫、二氧化碳、干粉、砂土灭火
344,105-39-5,用干粉、二氧化碳、砂土灭火
345,105-39-5,用雾状水驱散蒸气
346,105-46-4,用泡沫、二氧化碳、干粉、砂土灭火
347,105-54-4,用泡沫、干粉、二氧化碳、砂土灭火
348,105-56-6,用干粉、二氧化碳灭火
349,105-57-7,用抗溶性泡沫、二氧化碳、干粉、砂土灭火
350,105-58-8,用泡沫、干粉、二氧化碳、砂土灭火
351,105-64-6,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
352,105-64-6,尽可能将容器从火场移至空旷处
353,105-64-6,喷水保持火场容器冷却，直至灭火结束
354,105-64-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
355,105-64-6,灭火剂：雾状水、泡沫、干粉、二氧化碳
356,105-64-6,禁止用砂土压盖
357,105-66-8,用泡沫、干粉、二氧化碳、砂土灭火
358,105-67-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
359,105-67-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
360,105-68-0,用泡沫、干粉、二氧化碳、砂土灭火
361,105-74-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
362,105-74-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
363,10508-09-5,"Small Fires: Water spray or fog is preferred; if water not available use dry chemical, carbon dioxide or regular foam. Large Fires: Flood fire area with water from a distance. Use water spray or fog; do not use straight streams."
364,10544-72-6,本品不燃
365,10544-72-6,根据着火原因选择适当灭火剂灭火
366,10544-73-7,用干粉、二氧化碳灭火
367,10545-99-0,用二氧化碳、砂土灭火
368,10567-69-8,本品不燃
369,10567-69-8,根据着火原因选择适当灭火剂灭火
370,10588-01-9,本品不燃
371,10588-01-9,根据着火原因选择适当灭火剂灭火
372,106-31-0,用雾状水、抗溶性泡沫、干粉、二氧化碳、砂土灭火
373,106-35-4,用泡沫、干粉、二氧化碳、砂土灭火
374,106-38-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
375,106-38-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
376,106-40-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
377,106-40-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
378,106-41-2,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
379,106-42-3,用泡沫、二氧化碳、干粉、砂土灭火
380,106-43-4,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
381,106-44-5,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
382,106-45-6,用泡沫、二氧化碳、砂土灭火
383,106-47-8,用雾状水、泡沫、二氧化碳、砂土灭火
384,106-48-9,用雾状水、泡沫、二氧化碳、砂土灭火
385,106-49-0,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
386,106-50-3,用雾状水、二氧化碳、砂土灭火
387,106-51-4,用水、泡沫、二氧化碳、砂土灭火
388,106-54-7,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
389,106-54-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
390,106-58-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
391,106-58-1,尽可能将容器从火场移至空旷处
392,106-58-1,喷水保持火场容器冷却，直至灭火结束
393,106-58-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
394,106-58-1,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
395,106-58-1,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
396,106-63-8,用泡沫、干粉、二氧化碳、砂土灭火
397,106-70-7,用泡沫、干粉、二氧化碳、砂土灭火
398,106-88-7,用抗溶性泡沫、1211灭火剂、干粉、砂土灭火
399,106-92-3,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
400,106-92-3,尽可能将容器从火场移至空旷处
401,106-92-3,喷水保持火场容器冷却，直至灭火结束
402,106-92-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
403,106-92-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
404,106-93-4,用泡沫、干粉、二氧化碳、砂土灭火
405,106-94-5,用泡沫、二氧化碳、干粉、砂土灭火
406,106-95-6,用泡沫、干粉、二氧化碳、砂土灭火
407,106-96-7,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
408,106-96-7,尽可能将容器从火场移至空旷处
409,106-96-7,喷水保持火场容器冷却，直至灭火结束
