,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
10,"1,4-二硝基苯",C6H4N2O4,168.12,100-25-4,"1,4-二硝基苯",黄色至棕色结晶粉末，有挥发性,无意义,173,299,1.63(水=1),5.8(空气=1),None,None,无资料,1.46,无意义,无资料,None,无资料,无资料,微溶于水，溶于乙醇、乙醚、苯等,用于有机合成和染料制造,稳定
11,异氰酸对硝基苯(酯),None,None,100-28-7,None,亮黄色针状结晶。,None,57,137-138(1.47kPa),None,None,1.47(137-138℃)(kPa),None,None,None,None,None,None,None,None,易溶于乙醚、苯。,用作测定醇、伯胺、仲胺和氨基酸的试剂。,None
12,4-硝基苯乙醚,C8H9NO3,167.18,100-29-8,4-硝基苯乙醚,淡黄色柱状结晶,无意义,59～60,283,1.18(水=1),无资料(空气=1),None,None,无资料,2.53,无意义,无资料,-4205.1,无资料,无资料,不溶于水，溶于乙醇，溶于热石油醚，易溶于热乙醇、乙醚，混溶于丙酮、苯,用作染料中间体,稳定
13,N-二乙氨基乙基氯,C6H14CIN,None,100-35-6,None,液体。,None,None,51～52,None,4.69(空气=1),None,None,None,None,None,None,None,None,None,None,用作抗癌药物、杀菌剂和有机合成中间体。,None
14,"N,N-二乙基乙(撑)二胺",None,None,100-36-7,None,无色液体。,None,None,145.2,0.82(水=1),4.00(空气=1),None,None,None,None,46.1,None,None,None,None,与水混溶。,用作有机合成的中间体。,None
15,"N,N-二乙基乙醇胺",C6H15NO,117.22,100-37-8,"N,N-二乙基乙醇胺",无色吸湿性液体，有氨味,无资料,-70,163,0.88(水=1),4.03(空气=1),2.8(20℃)(kPa),None,无资料,0.31,52(闭杯); 60(开杯),320,None,6.7,11.7,与水混溶，溶于乙醇、乙醚、苯、丙酮等多数有机溶剂,用于有机合成，用作织物软化剂,稳定
16,溴化苄,C7H7Br,171,100-39-0,溴化苄,无色液体，有芳香气味，具有催泪性,无资料,-4,198,1.44(水=1),5.8(空气=1),0.133(32℃)(kPa),None,无资料,2.92,79(闭杯),无资料,-4278.2,无资料,无资料,不溶于水，溶于乙醇、乙醚、苯,用于有机合成及制造发泡剂,稳定
17,4-乙烯-1-环己烯,None,None,100-40-3,None,无色液体。,None,-108.9,128,0.83(水=1),3.76(空气=1),3.44(38℃)(kPa),None,None,None,16,None,None,None,None,溶于多数有机溶剂。,用于聚合物制造和有机合成。,None
18,乙苯,C8H10,106.18,100-41-4,乙苯,无色透明液体，有芳香气味,无资料,-94.9,136.2,0.87(20℃)(水=1),3.66(空气=1),0.9(20℃)(kPa),344.1,3.6,3.15,12.8(闭杯),432,-4390.1,1,6.7,不溶于水，可混溶于乙醇、乙醚、苯等多数有机溶剂,用于有机合成和用作溶剂,稳定
19,苯乙烯,C8H8,104.16,100-42-5,苯乙烯,无色透明油状液体,无资料,-30.6,146,0.99(25℃)(水=1),3.6(空气=1),0.7(20℃)(kPa),369,3.81,3.2,31,490,-4376.9,0.9,6.8,不溶于水，溶于乙醇、乙醚等多数有机溶剂,用于制聚苯乙烯、合成橡胶、离子交换树脂等,稳定
20,4-乙烯基吡啶,None,None,100-43-6,None,无色液体。,None,None,121(20kPa),0.988(20℃)(水=1),None,None,None,None,None,52,None,None,None,None,微溶于水、乙醚，溶于热水热乙醇。,用于有机合成。,None
21,氯化苄,C7H7Cl,126.6,100-44-7,氯化苄,无色至黄色液体，有不愉快的刺激性气味,无资料,-48～-39,175～179,1.10(水=1),4.36(空气=1),2.93(78℃)(kPa),None,3.91,2.3,67(闭杯); 74(开杯),585,-3705.2,1.1,14,不溶于水，可混溶于乙醇、氯仿、乙醚等多数有机溶剂,用作染料中间体及用于单宁、香料、药品等的合成,稳定
22,苄胺,None,None,100-46-9,None,淡琥珀色液体。,None,10,185,0.98(水=1),None,1.60/90℃(kPa),None,None,None,60,None,4052.1/,None,None,与水混溶，可混溶于乙醇、乙醚。,用作染料、药品及聚合物的化学合成中间体。,None
23,苯甲腈,C7H5N,103.13,100-47-0,苯甲腈,无色油状液体，有杏仁的气味,无资料,-12.8,190.7,1.01(水=1),无资料(空气=1),0.13(28.2℃)(kPa),426.2,4.22,1.56,71.7,550,-3617.8,1.3,8,微溶于冷水，溶于热水，易溶于乙醇、乙醚,用于橡胶、树脂、油漆和合成中间体,稳定
24,"1,2,3,6-四氢化苯甲醛",None,None,100-50-5,None,"无色液体, 有一种令人舒适的气味。",None,-110,164.5,0.93(水=1),3.8(空气=1),0.21(20℃)(kPa),None,None,None,54.4,None,None,None,None,微溶于水，溶于醇、苯。,None,None
25,苄硫醇,C7H8S,124.21,100-53-8,苄硫醇,水白色液体，有强烈的气味,无资料,-29.05,194.5,1.06(水=1),4.28(空气=1),None,None,4.06,2.48,70,无资料,None,1.1,无资料,不溶于水，溶于乙醇、乙醚、二硫化碳,用于香精制造,稳定
26,氯化苯汞,None,None,100-56-1,None,无色叶片状结晶。,None,251～245,(升华),None,None,None,None,None,None,无意义,None,None,None,None,不溶于水，微溶于热醇，溶于吡啶、醚、苯等多数有机溶剂。,用作农用杀菌剂、杀虫剂、除草剂。,None
27,N-甲基苯胺,C7H9N,107.1,100-61-8,N-甲基苯胺,无色到红棕色油状液体,无资料,-57,196.2,0.99(水=1),3.70(空气=1),0.13(36.0℃)(kPa),None,5.2,1.66,78.89,511,-4069.2,1.2,7.4,微溶于水，溶于乙醇、乙醚、氯仿,用于有机合成及用作溶剂,稳定
28,苯肼,C6H8N2,108.16,100-63-0,苯肼,淡黄色晶体或油状液体，有刺激性气味,无资料,19.4,243.5(分解),1.10(水=1),3.7(空气=1),1.33(115℃)(kPa),None,无资料,1.9,89(闭杯),615,None,1.3,无资料,不溶于冷水，微溶于热水，混溶于乙醇、乙醚、苯等多数有机溶剂,用于有机合成，用作分析试剂及制造染料和药物,稳定
29,苯甲醚,C7H8O,108.15,100-66-3,苯甲醚,无色液体，有芳香气味,无资料,-37.3,153.8,0.99(水=1),3.72(空气=1),0.47(25℃)(kPa),None,4.25,2.11,52(开杯),475,-3783.3,1.3,9,不溶于水，溶于乙醇、乙醚等多数有机溶剂,用作溶剂，用于配制香料和有机合成,稳定
30,2-乙烯基吡啶,None,None,100-69-6,None,"无色液体, 有恶臭, 易挥发。",None,None,160,0.97(水=1),None,1.33(45℃)(kPa),None,None,None,32,None,None,None,None,溶于水，溶于普通溶剂。,"是制造聚乙烯吡啶的单体, 并用于合成橡胶、照相胶片、离子交换树脂及制药等。",None
31,2-乙基吡啶,None,None,100-71-0,None,无色到淡黄色液体。,None,-63.1,148.6(101.32kPa),0.9370(水=1),None,None,None,None,None,29,None,None,None,None,溶于水，易溶于乙醚、丙酮，可混溶于乙醇。,用于有机合成。,None
32,二聚丙烯醛[抑制了的],None,None,100-73-2,None,无色液体。,None,-100,151.3,1.0775(20℃)(水=1),None,None,None,None,None,47.8(℃),None,None,None,None,溶于水。,用作织物精整助剂、纸张处理剂、橡胶助剂、增塑剂，用于合成树脂和医药。,None
33,N-乙基吗啉,None,None,100-74-3,None,无色液体，有氨味。,None,-63,139,0.92(水=1),4.00(空气=1),2.13/20℃(kPa),None,None,None,29,None,None,None,None,与水混溶。,用作药品、橡胶促进剂、乳化剂制造的中间体，也用作溶剂及催化剂。,None
34,六亚甲基四胺,C6H12N4,140.22,100-97-0,六亚甲基四胺,白色细粒状结晶，味初甜后苦,8.4(0.2mol/L水溶液),280～295(分解),263(升华),1.33(水=1),4.9(空气=1),None,None,3.68,-4.15,250,无资料,-239.7,无资料,无资料,溶于水、乙醇、氯仿、四氯化碳，不溶于乙醚、石油醚、芳烃,用作纺织品的防缩整理剂、亚氯酸钠漂白活化剂、防水剂CR的缓冲剂等,稳定
35,三异丁基铝,C12H27Al,198.3,100-99-2,三异丁基铝,无色澄清液体，具有强烈的霉烂气味。在空气中能自燃,无资料,-5.6,86(1.33kPa),0.786(水=1),无资料(空气=1),0.13(47℃)(kPa),None,1.76,6.17,-23(闭杯),<4,-8493.1,无资料,无资料,溶于苯,用于有机合成及作聚合烯烃的催化剂,不稳定
36,硝酸戊酯,C5H11NO3,133.17,1002-16-0,硝酸戊酯,清亮无色至微黄色液体，有醚昧,无资料,-123.2,150～155,0.996(20℃)(水=1),无资料(空气=1),无资料(kPa),None,None,2.72,48(开杯),无资料,None,无资料,无资料,不溶于水,用作柴油燃料的添加剂，也用于有机合成,稳定
37,硝酸钡,Ba(NO3)2,261.34,10022-31-8,硝酸钡,无色或白色有光泽的立方结晶，微具吸湿性,5.0～8.0(0.5%水溶液),592,(分解),3.24(水=1),9.2(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、浓硫酸，不溶于乙醇、浓硝酸,用于制造烟火、搪瓷、杀虫剂、钡盐等,稳定
38,一氧化二氮[压缩的],N2O,44.02,10024-97-2,一氧化二氮,无色气体，有甜味,无意义,-90.8,-88.5,1.23(-89℃)(水=1),1.53(25℃)(空气=1),506.62(-58℃)(kPa),36.5,7.26,0.35,无意义,无意义,None,无意义,无意义,微溶于水，溶于乙醇、乙醚、浓硫酸,用作医药麻醉剂、防腐剂，以及用于气密性检查,稳定
39,一氯化硫,S2CL2,135.02,10025-67-9,None,琥珀色或黄红色油状液体，在空气中发烟，有剧臭和强烈刺激性气味。在水中易分解，能溶于醇、醚、苯、二硫化碳、四氯化碳等，有易燃性。在空气中最高允许浓度为6mg／m^<3^>。$$相对密度(水=1)：1．678，沸点：135℃～138℃；熔点：-77～-80℃；闪点：118℃(闭)；自燃点：233．8℃；蒸气压：13332Pa(27．5℃)；蒸气密度：4．66。,None,-77～-80℃,135℃～138℃,(水=1)：1．678(水=1),4．66(空气=1),13332Pa(27．5℃)(kPa),None,None,None,118℃(闭),None,None,None,None,None,主要用于有机合成及在橡胶工业中的硫溶剂。,None
40,氯化硒,Se2Cl2,228.83,10025-68-0,氯化硒,深棕红色油状液体,无资料,-85,130(分解),2.77(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于氯仿、苯、四氯化碳、二硫化碳,用作分析试剂、还原剂,稳定
41,三氯硅烷,Cl3HSi,135.45,10025-78-2,三氯硅烷,无色液体，极易挥发,无资料,-126.5,31.8,1.34(水=1),4.7(空气=1),65.8(20℃)(kPa),None,4.17,1.46,-28(开杯),185,None,1.2,90.5,溶于苯、乙醚、庚烷等多数有机溶剂,用于制造硅酮化合物,稳定
42,氧氯化磷,PCl3O,153.32,10025-87-3,氧氯化磷,无色透明发烟液体，有辛辣气味,无资料,1.25,105.8,1.645(25℃)(水=1),5.3(空气=1),3.73(20℃)(kPa),None,3.44,无资料,无意义,无意义,None,无意义,无意义,无资料,用于医药，合成染料及塑料的生产,稳定
43,三氯化锑,SbCl3,228.1,10025-91-9,三氯化锑,白色易潮解的透明斜方结晶体，在空气中发烟,无意义,73.4,223.5,3.14(水=1),无资料(空气=1),0.13(49.2℃)(kPa),None,4.82,1.66,无意义,无意义,None,无意义,无意义,溶于乙醇、丙酮、苯、乙醚、二硫化碳、四氯化碳等,用作分析试剂、催化剂及用于有机合成,稳定
44,四氯化硒,None,None,10026-03-6,None,淡黄色结晶，易潮解。,None,305,分解,3.78(水=1),None,0.13/74℃(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,不溶于二硫化碳。,用于电子仪器和仪表工业。,None
45,四氯化硅,SiCl4,169.89,10026-04-7,四氯化硅,无色或淡黄色发烟液体，有刺激性气味，易潮解,无资料,-70,57.6,1.48(水=1),5.86(空气=1),55.99(37.8℃)(kPa),None,3.59,1.77,无意义,无意义,None,无意义,无意义,可混溶于苯、氯仿、石油醚、乙醚等多数有机溶剂,用于制取纯硅、硅酸乙酯等，也用于制取烟幕剂,稳定
46,四氯化碲,TeCl4,269.4,10026-07-0,None,"白色极易潮解的结晶性固体，加热至225℃时熔化，呈黄色液
体，再加热开始变为暗红色。相对密度(水=1)：3．01；沸点：380℃(分解)。遇水即分解为氧氯化物、氯化氢及亚碲酸。溶于水、乙醇、氯仿、甲苯、盐酸，不溶于二硫化碳。遇水产生氯化氢，有腐蚀及毒性、工作场所有0．1mg／m^<3^>的浓度呼气就有蒜臭味，在此浓度以上就出现中毒症状。据以往经验，尿中如发生恶臭，即为中毒预兆。对北京鸭经口撮入试验(饲料含碲量50mg／kg)，第三周死亡率为10％，第四周为40％。",None,None,380℃(分解),(水=1)：3．01(水=1),None,None,None,None,None,None,None,None,None,None,None,用作化学试剂，并用于有机合成。,None
47,四氯化锆,ZrCl4,233.02,10026-11-6,四氯化锆,白色有光泽的结晶或粉末，易潮解,无意义,437(2533.3kPa),331(升华),2.80(水=1),无资料(空气=1),0.13(190℃)(kPa),None,5.77,无资料,无意义,无意义,None,无意义,无意义,溶于冷水、乙醇、乙醚，不溶于苯、四氯化碳、二硫化碳,用作分析试剂、有机合成催化剂、防水剂、鞣化剂,稳定
48,五氯化铌,None,None,10026-12-7,None,"淡黄色晶状固体, 潮解性极强。",None,194,241,2.75(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于醇、浓盐酸。,用作试剂、制造纯铌的原料、中间体。,None
49,五氯化磷,PCl5,208.22,10026-13-8,五氯化磷,淡黄色结晶，有刺激性气味，易升华,无意义,148(加压),160(升华),1.6(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于四氯化碳、二硫化碳,用作氯化剂、催化剂、脱水剂,稳定
50,氟化亚钴,None,None,10026-17-2,None,淡红色单斜或四方形结晶。,None,1100～1200,1400,4.43(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,微溶于水，溶于浓盐酸、硫酸、硝酸。,用作有机反应的催化剂。,None
51,氟化钴,CoF3,115.93,10026-18-3,None,浅褐色粉末，在潮湿空气中变为暗褐色,None,926±200,None,3.88(水=1),None,None,None,None,None,None,None,None,None,None,不溶于水,用作氟化剂,None
52,环戊胺,None,None,1003-03-8,None,无色液体，有强烈的氨气味。,None,-85.6,107.8,0.86(水=1),None,None,310.3,4.64,None,17,None,3444.5,None,None,溶于水、多数有机溶剂。,用作制药的中间体。,None
53,亚砷酸铅,None,None,10031-13-7,None,白色粉末。,None,None,None,5.85(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，溶于稀硝酸，易溶于碱液。,用作杀虫剂。,None
54,溴化亚汞,HgBr,280.5,10031-18-2,溴化亚汞,白色细小四角结晶体或粉末，受热变黄，冷后恢复白色,无资料,345(升华),无资料,7.31(水=1),19.3(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,不溶于水，不溶于乙醇、乙醚，溶于发烟硝酸、热浓硫酸和热碳酸铵溶液,主要用于医药工业,稳定
55,硝酸铜,None,None,10031-43-3,None,深蓝色易吸潮的粒状结晶。,None,114.5,170(分解),2.047(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水、乙醇。,用作氧化剂、镀镍浴添加剂、搪瓷着色剂，铝的光泽剂、有机反应催化剂，也用于制感光纸、杀虫剂及医药。,None
56,过氯酸镁,Mg(ClO4)2,223.21,10034-81-8,过氯酸镁,白色结晶或粉末，易潮解，有强烈的吸湿性,无意义,251(分解),无资料,2.60(25℃)(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、乙醇,用作气体干燥剂、氧化剂,稳定
57,碘化氢[无水],HI,127.91,10034-85-2,碘化氢,无色气体，有刺激性气味,1(0.1mol/L溶液),-50.8,-35.5,5.23(水=1),5.23(25℃)(空气=1),53.32(-48.3℃)(kPa),150,8.3,无资料,无意义,无意义,None,无意义,无意义,易溶于水，混溶于乙醇,用于合成碘化物、杀菌剂及用作药物原料,稳定
58,氢溴酸,HBr,80.92,10035-10-6,氢溴酸,无色透明至淡黄色发烟液体，具有刺激性酸味,无资料,-86(纯品),126(47%),1.49(47%)(水=1),2.8(空气=1),None,None,无资料,无资料,无意义,无意义,None,无意义,无意义,与水混溶，可混溶于乙醇、乙酸,用于制造无机溴化物和有机溴化物，用作分析试剂、触媒及还原剂,稳定
59,四氟(代)肼,None,None,10036-47-2,None,无色气体。,None,-163,-73,1.5(-100℃)(水=1),None,None,None,None,None,None,None,无意义,None,None,None,None,None
60,四氯化锗,GeCl4,214.39,10038-98-9,四氯化锗,无色液体。,无资料,-49.5,82～84,1.88(水=1),无资料(空气=1),10.13(20℃)(kPa),None,无资料,无资料,无意义,无意义,None,无意义,无意义,溶于浓盐酸，溶于稀盐酸、苯、乙醇、乙醚等多数有机溶剂,用作光导纤维渗杂剂，用于制二氧化锗等,稳定
61,硫酸羟胺,None,None,10039-54-0,None,无色结晶。,None,172,None,None,None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,易溶于水，微溶于乙醇。,用作分析试剂，还原剂，影片、照相洗印药，也用于有机合成。,None
62,硝酸锶,None,None,10042-76-9,None,白色结晶或粉末，有潮解性。,None,570,1100(分解),2.986(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水，微溶于乙醇、丙酮，不溶于硝酸。,用于红色火焰、信号灯、信号弹、玻璃工业、医药及分析等。,None
63,硼酸,H3BO3,61.84,10043-35-3,硼酸,"无色微带珍珠光泽的三斜晶体或白色粉末，有滑腻手感, 无臭味。",None,185(分解),300,1.44(15℃)(水=1),None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水，溶于乙醇、乙醚、甘油。,"用于玻璃、搪瓷、医药、化妆品等工业, 以及制备硼和硼酸盐, 并用作食物防腐剂和消毒剂等。",None
64,硝酸汞,Hg(NO3)2,324.61,10045-94-0,硝酸汞,无色或白色透明结晶，有潮解性,无意义,79,180(分解),4.39(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，不溶于乙醇，溶于硝酸,用作分析试剂，及用于有机合成，药品和雷汞的制造,稳定
65,二氧化氯,ClO2,67.45,10049-04-4,二氧化氯,"黄红色气体, 有刺激性气味。",None,-59,"9.9(97.2kPa,爆炸)",3.09(11℃)(水=1),2.3(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,不溶于水。,用作漂白剂、除臭剂、氧化剂等。,None
66,硝酸镧,La(NO3)3,324.94,10099-59-9,硝酸镧,白色粒状晶体，六水合物为白色，易湿解,无意义,40,126,2.05(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水，易溶于乙醇、酸类,用于制光学玻璃、荧光粉、陶瓷电容器添加剂、石油精制加工催化剂,稳定
67,硝酸铅,Pb(NO3)2,331.21,10099-74-8,硝酸铅,白色立方或单斜晶体，硬而发亮,无意义,470(分解),无资料,4.53(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,易溶于水、液氨，溶于乙醇,用于铅盐、烟花等的制造，用作媒染剂,稳定
68,硅酸铅,None,None,10099-76-0,None,白色晶状粉末。,None,766,None,6.49(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于普通溶剂。,"用于陶瓷及耐火性纺织品, 用于油漆及热稳定剂。",None
69,亚磷酸三苯酯,C18H15O3P,310.29,101-02-0,亚磷酸三苯酯,无色至淡黄色、有芳香气味、固体或油状液体。,None,22-25,360,1.18(水=1),None,None,None,None,None,218,None,None,None,None,不溶于水，溶于多数有机溶剂。,"可用作许多聚合物的抗氧剂和稳定剂, 与许多酚类抗氧剂有较好的协同作用。",None
70,"2,2'-二氯-4,4'-亚甲基二苯胺",C13H12Cl2N2,267.16,101-14-4,"2,2'-Dichloro-4,4'-methylene dianiline",Tan-colored pellets or an off-white solid. Slight odor.,None,110,405,1.44 g/cm3 (20 C)(水=1),None,.00005(kPa),None,None,3.94,None,None,None,None,None,Slightly Soluble,"In manufacture of gun mounts, jet engine turbine blades, radar systems, and components in home appliances.","When exposed to heat above 200 degrees, it undergoes an exothermic and self-sustaining decomposition reaction. In a closed container the pressure build-up can be rapid enough to cause an explosion."
71,"N,N'-二亚硝基五亚甲基四胺",C5H10N6O2,186.18,101-25-7,"N,N'-二亚硝基五亚甲基四胺",浅黄色粉末，无臭味,无意义,207(分解),无资料,1.4～1.45(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无资料,None,无资料,无资料,微溶于水，不溶于乙醚，微溶于乙醇、氯仿，溶于丙酮,用于橡胶、聚氯乙烯等塑料的发泡剂，制造微孔塑料,稳定
72,燕麦灵可湿性粉剂,None,None,101-27-9,None,纯品为白色结晶，原药为棕色固体。,None,75～76,None,None,None,0.499×10-7(25℃)(kPa),None,None,None,无意义,None,None,None,None,微溶于水、己烷，溶于苯、二氯乙烷。,用作农用除草剂及农药分析标准样品。,None
73,三聚氰酸三烯丙酯,None,None,101-37-1,None,无色液体或固体。,None,27.3,120(0.665kPa),1.1133(30℃)(水=1),None,0.133(100℃)(kPa),None,None,None,80(℃),None,None,None,None,可混溶于乙醇、乙酸乙酯、丙酮、苯、氯仿、二甲苯。,用作聚合物的单体，也用于有机合成。,None
74,4-氨基二苯胺,None,None,101-54-2,None,无色至灰色小片状或针状结晶，久储变色。,None,73～75,354,None,None,None,None,None,None,无意义,None,None,None,None,难溶于水，溶于乙醇、乙醚、稀盐酸。,用作染料中间体，分析上用作氧化还原指示剂。,None
75,"二苯甲烷-4,4'-二异氰酸酯",None,None,101-68-8,None,亮黄色固体。,None,40-41,190,1.20(水=1),8.64(空气=1),0.07(25℃)(kPa),None,None,None,None,None,None,None,None,溶于丙酮、苯、煤油等。,用作聚氨酯泡沫塑料、橡胶、纤维、涂料等的原料。,None
76,"4,4'-二氨基二苯基甲烷",None,None,101-77-9,None,淡黄色结晶，遇光变成黑色。,None,91~92,398~399(102.39kPa),None,None,None,None,None,None,221,None,None,None,None,难溶于水，易溶于乙醇、乙醚、苯。,用作环氧树脂的固化剂、橡胶的抗氧剂和防老剂，也用于测定钨和硫酸盐。,None
77,2-苄基吡啶,None,None,101-82-6,None,黄色液体或针状结晶。,None,10,276(98.92kPa),1.054(20/0℃)(水=1),None,None,None,None,None,125,None,None,None,None,不溶于水，可混溶于乙醇、乙醚。,用作分析试剂。,None
78,二环己胺,C12H23N,181.32,101-83-7,二环己胺,无色透明液体，有鱼腥臭,无资料,-0.1,256,0.91(水=1),6.27(空气=1),1.60(37.7℃)(kPa),None,2.52,4.37,99,<230,None,0.6,5.6,微溶于水，可混溶于乙醇、乙醚、苯,用于有机合成和用作杀虫剂、酸性气体吸收剂、钢铁防锈剂,稳定
79,过锰酸钠,NaMnO4,141.93,10101-50-5,过锰酸钠,紫色到红紫色结晶或粉末，易潮解,无意义,104～107(分解),无资料,1.972(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,溶于水、乙醇、乙醚、液氨,用作氧化剂、杀菌剂、解毒剂，也可作高锰酸钾的代用品,稳定
80,亚硒酸钠,None,None,10102-18-8,None,白色无臭的针状或柱状结晶或粉末。,None,(分解),None,5.96(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,不溶于水，不溶于醇。,用作玻璃脱色剂、生物碱试剂。,None
81,亚碲酸钠,None,None,10102-20-2,None,白色斜方晶系结晶或粉末。,None,None,None,None,None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水。,用于医药。,None
82,一氧化氮,NO,30.01,10102-43-9,一氧化氮,无色气体,无意义,-163.6,-151.8,1.27(-151℃)(水=1),1.04(空气=1),6079.2(-94.8℃)(kPa),-93,6.48,0.1,无意义,无意义,None,无意义,无意义,微溶于水，溶于乙醇、二硫化碳,制硝酸、人造丝漂白剂、丙烯及二甲醚的安定剂,稳定
83,四氧化二氮[液化的],None,None,10102-44-0,None,黄褐色液体或气体，有刺激性气味。,None,-9.3,22.4,1.45(水=1),3.2(空气=1),101.32(22℃)(kPa),158,10.13,None,无意义,无意义,无意义,无意义,无意义,溶于水。,用于制硝酸、硝化剂、氧化剂、催化剂、丙烯酸酯聚合抑制剂等。,None
84,硝酸铊,None,None,10102-45-1,None,白色结晶。,None,206(α型),450(分解),5.55(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水，溶于丙酮，不溶于乙醇。,"用于烟花和分析试剂, 与高氯酸和氯化亚汞及树脂混和产生绿火, 作海上标记物。",None
