,CAS,储存注意事项
190,100-63-0,储存于阴凉、通风的库房
191,100-63-0,远离火种、热源
192,100-63-0,包装要求密封，不可与空气接触
193,100-63-0,应与氧化剂、食用化学品分开存放，切忌混储
194,100-63-0,配备相应品种和数量的消防器材
195,100-63-0,储区应备有泄漏应急处理设备和合适的收容材料
196,100-66-3,储存于阴凉、通风的库房
197,100-66-3,远离火种、热源
198,100-66-3,库温不宜超过37℃
199,100-66-3,保持容器密封
200,100-66-3,应与氧化剂、酸类分开存放，切忌混储
201,100-66-3,采用防爆型照明、通风设施
202,100-66-3,禁止使用易产生火花的机械设备和工具
203,100-66-3,储区应备有泄漏应急处理设备和合适的收容材料
204,100-69-6,通常商品加有阻聚剂
205,100-69-6,储存于阴凉、通风的库房
206,100-69-6,远离火种、热源
207,100-69-6,库温不宜超过30℃
208,100-69-6,保持容器密封
209,100-69-6,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
210,100-69-6,不宜大量储存或久存
211,100-69-6,采用防爆型照明、通风设施
212,100-69-6,禁止使用易产生火花的机械设备和工具
213,100-69-6,储区应备有泄漏应急处理设备和合适的收容材料
214,100-71-0,储存于阴凉、通风的库房
215,100-71-0,远离火种、热源
216,100-71-0,防止阳光直射
217,100-71-0,库温不宜超过30℃
218,100-71-0,保持容器密封
219,100-71-0,应与氧化剂、酸类、食用化学品分开存放，切忌混储
220,100-71-0,采用防爆型照明、通风设施
221,100-71-0,禁止使用易产生火花的机械设备和工具
222,100-71-0,储区应备有泄漏应急处理设备和合适的收容材料
223,100-73-2,通常商品加有稳定剂
224,100-73-2,储存于阴凉、通风的库房
225,100-73-2,远离火种、热源
226,100-73-2,防止阳光直射
227,100-73-2,库温不宜超过30℃
228,100-73-2,保持容器密封，严禁与空气接触
229,100-73-2,应与氧化剂、碱类分开存放，切忌混储
230,100-73-2,采用防爆型照明、通风设施
231,100-73-2,禁止使用易产生火花的机械设备和工具
232,100-73-2,储区应备有泄漏应急处理设备和合适的收容材料
233,100-74-3,储存于阴凉、通风的库房
234,100-74-3,远离火种、热源
235,100-74-3,库温不宜超过30℃
236,100-74-3,应与氧化剂、食用化学品分开存放，切忌混储
237,100-74-3,不宜大量储存或久存
238,100-74-3,采用防爆型照明、通风设施
239,100-74-3,禁止使用易产生火花的机械设备和工具
240,100-74-3,储区应备有泄漏应急处理设备和合适的收容材料
241,100-97-0,储存于阴凉、通风的库房
242,100-97-0,库温不宜超过35℃
243,100-97-0,远离火种、热源
244,100-97-0,包装密封
245,100-97-0,应与氧化剂、酸类分开存放，切忌混储
246,100-97-0,采用防爆型照明、通风设施
247,100-97-0,禁止使用易产生火花的机械设备和工具
248,100-97-0,储区应备有合适的材料收容泄漏物
249,100-99-2,储存时必须用充有惰性气体或特定的容器包装
250,100-99-2,储存于阴凉、通风良好的专用库房内，远离火种、热源
251,100-99-2,库温不超过30℃，相对湿度不超过80%
252,100-99-2,包装要求密封，不可与空气接触
253,100-99-2,应与氧化剂、酸类、醇类等分开存放，切忌混储
254,100-99-2,采用防爆型照明、通风设施
255,100-99-2,禁止使用易产生火花的机械设备和工具
256,100-99-2,储区应备有泄漏应急处理设备和合适的收容材料
257,1002-16-0,储存于阴凉、通风的库房
258,1002-16-0,远离火种、热源
259,1002-16-0,库温不宜超过37℃
260,1002-16-0,保持容器密封
261,1002-16-0,应与氧化剂、还原剂分开存放，切忌混储
262,1002-16-0,采用防爆型照明、通风设施
263,1002-16-0,禁止使用易产生火花的机械设备和工具
264,1002-16-0,储区应备有泄漏应急处理设备和合适的收容材料
265,10022-31-8,储存于阴凉、通风的库房
266,10022-31-8,库温不超过30℃，相对湿度不超过80%
267,10022-31-8,远离火种、热源
268,10022-31-8,应与易(可)燃物、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
269,10022-31-8,储区应备有合适的材料收容泄漏物
270,10024-97-2,储存于阴凉、通风的不燃气体专用库房
271,10024-97-2,远离火种、热源
272,10024-97-2,库温不宜超过30℃
273,10024-97-2,应与易(可)燃物、还原剂分开存放，切忌混储
274,10024-97-2,储区应备有泄漏应急处理设备
275,10025-67-9,储存在干燥、通风库房内，防止日光直晒，与氧化剂、食品添加剂、金属及碱类隔离存放，库内应尽量保持干燥，相对湿度不宜超过80％，温度不超过3012
276,10025-68-0,储存于阴凉、通风的库房
277,10025-68-0,远离火种、热源
278,10025-68-0,库温不超过35℃，相对湿度不超过80%
279,10025-68-0,保持容器密封
280,10025-68-0,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
281,10025-68-0,储区应备有泄漏应急处理设备和合适的收容材料
282,10025-78-2,储存于阴凉、干燥、通风良好的专用库房内，远离火种、热源
283,10025-78-2,库温不超过32℃，相对湿度不超过75%
284,10025-78-2,包装必须密封，切勿受潮
285,10025-78-2,应与氧化剂、酸类、碱类等分开存放，切忌混储
286,10025-78-2,采用防爆型照明、通风设施
287,10025-78-2,禁止使用易产生火花的机械设备和工具
288,10025-78-2,储区应备有泄漏应急处理设备和合适的收容材料
289,10025-87-3,储存于阴凉、干燥、通风良好的专用库房内，实行“双人收发、双人保管”制度
290,10025-87-3,远离火种、热源
291,10025-87-3,库温不超过30℃，相对湿度不超过75%
292,10025-87-3,包装必须密封，切勿受潮
293,10025-87-3,应与还原剂、活性金属粉末、醇类等分开存放，切忌混储
294,10025-87-3,储区应备有泄漏应急处理设备和合适的收容材料
295,10025-91-9,储存于阴凉、干燥、通风良好的库房
296,10025-91-9,远离火种、热源
297,10025-91-9,库温不超过30℃，相对湿度不超过75%
298,10025-91-9,包装必须密封，切勿受潮
299,10025-91-9,应与还原剂、醇类、碱类等分开存放，切忌混储
300,10025-91-9,储区应备有合适的材料收容泄漏物
301,10026-03-6,储存于阴凉、通风的库房
302,10026-03-6,远离火种、热源
303,10026-03-6,库温不超过35℃，相对湿度不超过80％
304,10026-03-6,应与氧化剂、酸类、碱类等分开存放，切忌混储
305,10026-03-6,储区应备有合适的材料收容泄漏物
306,10026-04-7,储存于阴凉、干燥、通风良好的库房
307,10026-04-7,远离火种、热源
308,10026-04-7,库温不超过30℃，相对湿度不超过75%
309,10026-04-7,包装必须密封，切勿受潮
310,10026-04-7,应与氧化剂、碱类、醇类等分开存放，切忌混储
311,10026-04-7,储区应备有泄漏应急处理设备和合适的收容材料
312,10026-07-0,储存于通风、干燥的库房
313,10026-07-0,避免日光曝晒，防止辐射热、防止受潮
314,10026-07-0,与可燃物、碱类物质和铵盐隔离储运
315,10026-07-0,储存温度不超过30℃，相对湿度不超过80％
316,10026-11-6,储存于阴凉、干燥、通风良好的库房
317,10026-11-6,远离火种、热源
318,10026-11-6,包装必须密封，切勿受潮
319,10026-11-6,应与酸类、胺类、醇类、酯类等分开存放，切忌混储
320,10026-11-6,储区应备有合适的材料收容泄漏物
321,10026-12-7,储存于阴凉、通风的库房
322,10026-12-7,远离火种、热源
323,10026-12-7,应与酸类等分开存放，切忌混储
324,10026-12-7,储区应备有合适的材料收容泄漏物
325,10026-13-8,储存于阴凉、干燥、通风良好的库房
326,10026-13-8,远离火种、热源
327,10026-13-8,库温不超过30℃，相对湿度不超过75%
328,10026-13-8,包装必须密封，切勿受潮
329,10026-13-8,应与酸类、醇类、活性金属粉末、碱金属、食用化学品分开存放，切忌混储
330,10026-13-8,储区应备有合适的材料收容泄漏物
331,10026-17-2,储存于阴凉、通风的库房
332,10026-17-2,远离火种、热源
333,10026-17-2,防止阳光直射
334,10026-17-2,包装密封
335,10026-17-2,应与酸类、食用化学品分开存放，切忌混储
336,10026-17-2,储区应备有合适的材料收容泄漏物
337,10026-18-3,储存于阴凉、干燥、通风良好的库房；专人保管；包装要求密封，不可与空气接触；防止受潮；专仓专储；应与还原剂、易燃物、可燃物、潮湿物品等分开存放；搬运时要轻装、轻卸，防止包装及容器损坏；雨天不宜运输；操作现场不得吸烟、饮水、进食；分装和搬运作业要注意个人防护
338,1003-03-8,储存于阴凉、通风的库房
339,1003-03-8,远离火种、热源
340,1003-03-8,库温不宜超过30℃
341,1003-03-8,应与氧化剂、酸类等分开存放，切忌混储
342,1003-03-8,采用防爆型照明、通风设施
343,1003-03-8,禁止使用易产生火花的机械设备和工具
344,1003-03-8,储区应备有泄漏应急处理设备和合适的收容材料
345,10031-13-7,储存于阴凉、通风的库房
346,10031-13-7,远离火种、热源
347,10031-13-7,防止阳光直射
348,10031-13-7,包装密封
349,10031-13-7,应与氧化剂、酸类、食用化学品分开存放，切忌混储
350,10031-13-7,储区应备有合适的材料收容泄漏物
351,10031-18-2,储存于阴凉、通风的库房
352,10031-18-2,远离火种、热源
353,10031-18-2,库温不超过35℃，相对湿度不超过80%
354,10031-18-2,包装密封
355,10031-18-2,应与酸类、食用化学品分开存放，切忌混储
356,10031-18-2,储区应备有合适的材料收容泄漏物
357,10031-43-3,储存于阴凉、通风的库房
358,10031-43-3,远离火种、热源
359,10031-43-3,防止阳光直射
360,10031-43-3,包装密封
361,10031-43-3,应与还原剂、易（可）燃物分开存放，切忌混储
362,10031-43-3,储区应备有合适的材料收容泄漏物
363,10034-81-8,储存于阴凉、通风的库房
364,10034-81-8,库温不超过30℃，相对湿度不超过80%
365,10034-81-8,远离火种、热源
366,10034-81-8,包装必须密封，切勿受潮
367,10034-81-8,应与易(可)燃物、还原剂等分开存放，切忌混储
368,10034-81-8,储区应备有合适的材料收容泄漏物
369,10034-85-2,储存于阴凉、通风的不燃气体专用库房
370,10034-85-2,远离火种、热源
371,10034-85-2,库温不宜超过30℃
372,10034-85-2,应与氧化剂、碱类分开存放，切忌混储
373,10034-85-2,储区应备有泄漏应急处理设备
374,10035-10-6,储存于阴凉、通风的库房
375,10035-10-6,远离火种、热源
376,10035-10-6,库温不超过30℃，相对湿度不超过80%
377,10035-10-6,保持容器密封
378,10035-10-6,应与易(可)燃物、碱类、活性金属粉末等分开存放，切忌混储
379,10035-10-6,储区应备有泄漏应急处理设备和合适的收容材料
380,10036-47-2,储存于阴凉、通风的库房
381,10036-47-2,远离火种、热源
382,10036-47-2,应与易（可）燃物、还原剂、食用化学品分开存放，切忌混储
383,10036-47-2,采用防爆型照明、通风设施
384,10036-47-2,禁止使用易产生火花的机械设备和工具
385,10036-47-2,储区应备有泄漏应急处理设备
386,10036-47-2,应严格执行极毒物品“五双”管理制度
387,10038-98-9,储存于阴凉、干燥、通风良好的库房
388,10038-98-9,远离火种、热源
389,10038-98-9,库温不超过30℃，相对湿度不超过75%
390,10038-98-9,包装必须密封，切勿受潮
391,10038-98-9,应与氧化剂、碱类、醇类等分开存放，切忌混储
392,10038-98-9,储区应备有泄漏应急处理设备和合适的收容材料
393,10039-54-0,储存于阴凉、通风的库房
394,10039-54-0,远离火种、热源
395,10039-54-0,应与还原剂分开存放，切忌混储
396,10039-54-0,储区应备有合适的材料收容泄漏物
397,10042-76-9,储存于阴凉、通风的库房
398,10042-76-9,远离火种、热源
399,10042-76-9,防止阳光直射
400,10042-76-9,包装密封
401,10042-76-9,应与还原剂、酸类、易（可）燃物分开存放，切忌混储
402,10042-76-9,配备相应品种和数量的消防器材
403,10042-76-9,储区应备有合适的材料收容泄漏物
404,10043-35-3,储存于阴凉、通风的库房
405,10043-35-3,远离火种、热源
406,10043-35-3,应与碱类、钾分开存放，切忌混储
407,10043-35-3,储区应备有合适的材料收容泄漏物
408,10045-94-0,储存于阴凉、通风良好的专用库房内，实行“双人收发、双人保管”制度
409,10045-94-0,远离火种、热源
410,10045-94-0,库温不超过30℃，相对湿度不超过70%
411,10045-94-0,包装密封
412,10045-94-0,应与易(可)燃物、还原剂、活性金属粉末、食用化学品分开存放，切忌混储
413,10045-94-0,储区应备有合适的材料收容泄漏物
414,10049-04-4,储存于阴凉、通风的库房
415,10049-04-4,远离火种、热源
416,10049-04-4,保持容器密封
417,10049-04-4,应与易（可）燃物、还原剂等分开存放，切忌混储
418,10049-04-4,储区应备有泄漏应急处理设备
419,10099-59-9,储存于阴凉、通风的库房
420,10099-59-9,远离火种、热源
421,10099-59-9,库温不超过30℃，相对湿度不超过80%
422,10099-59-9,包装必须完整密封，防止吸潮
423,10099-59-9,应与易(可)燃物、还原剂、食用化学品分开存放，切忌混储
424,10099-59-9,储区应备有合适的材料收容泄漏物
425,10099-74-8,储存于阴凉、通风的库房
426,10099-74-8,库温不超过30℃，相对湿度不超过80%
427,10099-74-8,远离火种、热源
428,10099-74-8,包装密封
429,10099-74-8,应与易(可)燃物、还原剂、食用化学品分开存放，切忌混储
430,10099-74-8,储区应备有合适的材料收容泄漏物
431,10099-76-0,储存于阴凉、通风的库房
432,10099-76-0,远离火种、热源
433,10099-76-0,应与氧化剂、酸类、食用化学品分开存放，切忌混储
434,10099-76-0,储区应备有合适的材料收容泄漏物
435,101-02-0,储存于阴凉、干燥、通风良好的库房
436,101-02-0,远离火种、热源
437,101-02-0,包装必须密封，切勿受潮
438,101-02-0,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
439,101-02-0,配备相应品种和数量的消防器材
440,101-02-0,储区应备有泄漏应急处理设备和合适的收容材料
441,101-14-4,"Keep in a cool, dry, dark location in a tightly sealed container or cylinder. Keep away from incompatible materials, ignition sources and untrained individuals. Secure and label area. Protect containers/cylinders from physical damage."
442,101-25-7,储存于阴凉、干燥、通风良好的不燃库房
443,101-25-7,远离火种、热源
444,101-25-7,库温不宜超过35℃
445,101-25-7,应与氧化剂、酸类、碱类、食用化学品分开存放，切忌混储
446,101-25-7,采用防爆型照明、通风设施
447,101-25-7,禁止使用易产生火花的机械设备和工具
448,101-25-7,储区应备有合适的材料收容泄漏物
449,101-27-9,储存于阴凉、通风的库房
450,101-27-9,远离火种、热源
451,101-27-9,防止阳光直射
452,101-27-9,包装密封
453,101-27-9,应与氧化剂、酸类、碱类分开存放，切忌混储
454,101-27-9,配备相应品种和数量的消防器材
455,101-27-9,储区应备有合适的材料收容泄漏物
456,101-37-1,通常商品加有阻聚剂
457,101-37-1,储存于阴凉、通风的库房
458,101-37-1,远离火种、热源
459,101-37-1,防止阳光直射
460,101-37-1,保持容器密封，严禁与空气接触
461,101-37-1,应与氧化剂、酸类、食用化学品分开存放，切忌混储
462,101-37-1,配备相应品种和数量的消防器材
463,101-37-1,储区应备有泄漏应急处理设备和合适的收容材料
464,101-54-2,储存于阴凉、通风的库房
465,101-54-2,远离火种、热源
466,101-54-2,防止阳光直射
467,101-54-2,包装密封
468,101-54-2,应与氧化剂、酸类、食用化学品分开存放，切忌混储
469,101-54-2,配备相应品种和数量的消防器材
470,101-54-2,储区应备有合适的材料收容泄漏物
471,101-68-8,储存于阴凉、干燥、通风良好的库房
472,101-68-8,远离火种、热源
473,101-68-8,保持容器密封
474,101-68-8,应与氧化剂、酸类、醇类等分开存放，切忌混储
475,101-68-8,配备相应品种和数量的消防器材
476,101-68-8,储区应备有合适的材料收容泄漏物
477,101-77-9,储存于阴凉、通风的库房
478,101-77-9,远离火种、热源
479,101-77-9,防止阳光直射
480,101-77-9,包装密封
481,101-77-9,应与氧化剂、食用化学品分开存放，切忌混储
482,101-77-9,配备相应品种和数量的消防器材
483,101-77-9,储区应备有合适的材料收容泄漏物
484,101-82-6,储存于阴凉、通风的库房
485,101-82-6,远离火种、热源
486,101-82-6,防止阳光直射
487,101-82-6,保持容器密封
488,101-82-6,应与氧化剂、酸类分开存放，切忌混储
489,101-82-6,配备相应品种和数量的消防器材
490,101-82-6,储区应备有泄漏应急处理设备和合适的收容材料
491,101-83-7,储存于阴凉、通风的库房
492,101-83-7,远离火种、热源
493,101-83-7,库温不宜超过30℃
494,101-83-7,保持容器密封
495,101-83-7,应与氧化剂、酸类等分开存放，切忌混储
496,101-83-7,配备相应品种和数量的消防器材
497,101-83-7,储区应备有泄漏应急处理设备和合适的收容材料
498,10101-50-5,储存于阴凉、通风的库房
499,10101-50-5,库温不超过30℃，相对湿度不超过80%
500,10101-50-5,远离火种、热源
501,10101-50-5,包装必须密封，防止受潮
502,10101-50-5,应与易(可)燃物、还原剂、活性金属粉末等分开存放，切忌混储
503,10101-50-5,储区应备有合适的材料收容泄漏物
504,10102-18-8,储存于阴凉、通风的库房
505,10102-18-8,远离火种、热源
506,10102-18-8,防止阳光直射
507,10102-18-8,包装密封
508,10102-18-8,应与氧化剂、酸类、食用化学品分开存放，切忌混储
509,10102-18-8,储区应备有合适的材料收容泄漏物
510,10102-20-2,储存于阴凉、通风的库房
511,10102-20-2,远离火种、热源
512,10102-20-2,防止阳光直射
513,10102-20-2,包装密封
514,10102-20-2,应与酸类、食用化学品分开存放，切忌混储
515,10102-20-2,储区应备有合适的材料收容泄漏物
516,10102-43-9,储存于阴凉、通风的有毒气体专用库房
517,10102-43-9,远离火种、热源
518,10102-43-9,库温不宜超过30℃
519,10102-43-9,应与易(可)燃物、卤素、食用化学品分开存放，切忌混储
520,10102-43-9,储区应备有泄漏应急处理设备
521,10102-44-0,储存于阴凉、通风的库房
522,10102-44-0,远离火种、热源
523,10102-44-0,库温不宜超过15℃
524,10102-44-0,应与易（可）燃物、还原剂、食用化学品分开存放，切忌混储
525,10102-44-0,储区应备有泄漏应急处理设备
526,10102-45-1,储存于阴凉、通风的库房
527,10102-45-1,远离火种、热源
528,10102-45-1,应与易（可）燃物、还原剂、活性金属粉末、食用化学品分开存放，切忌混储
529,10102-45-1,储区应备有合适的材料收容泄漏物
530,10102-45-1,应严格执行极毒物品“五双”管理制度
531,10102-49-5,储存于阴凉、通风的库房
532,10102-49-5,远离火种、热源
533,10102-49-5,防止阳光直射
534,10102-49-5,包装密封
535,10102-49-5,应与氧化剂、碱类、食用化学品分开存放，切忌混储
536,10102-49-5,储区应备有合适的材料收容泄漏物
537,10103-50-1,储存于阴凉、通风的库房
538,10103-50-1,远离火种、热源
539,10103-50-1,防止阳光直射
540,10103-50-1,包装密封
541,10103-50-1,应与氧化剂、食用化学品分开存放，切忌混储
542,10103-50-1,储区应备有合适的材料收容泄漏物
543,10103-61-4,"保持 贮 藏 器 密 封.
放入 紧 封 的 贮 藏 器 内, 储存 在 阴 凉、 干 燥 的 地 方.
确保 工 作 间 有 良 好 的 通 风/排气 装 置.
小心 打 开 及 处 理 贮 藏 器."
544,10108-64-2,储存于阴凉、通风的库房
545,10108-64-2,远离火种、热源
546,10108-64-2,包装密封
547,10108-64-2,应与氧化剂、活性金属粉末、食用化学品分开存放，切忌混储
548,10108-64-2,储区应备有合适的材料收容泄漏物
549,10108-73-3,储存于阴凉、通风的库房
550,10108-73-3,远离火种、热源
551,10108-73-3,库温不超过30℃，相对湿度不超过80%
552,10108-73-3,包装密封
553,10108-73-3,应与易(可)燃物、还原剂等分开存放，切忌混储
554,10108-73-3,储区应备有合适的材料收容泄漏物
