,CAS,眼睛接触
272,105-29-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
273,105-29-3,就医
274,105-30-6,提起眼睑，用流动清水或生理盐水冲洗
275,105-30-6,就医
276,105-36-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
277,105-36-2,如有不适感，就医
278,105-37-3,提起眼睑，用流动清水或生理盐水冲洗
279,105-37-3,如有不适感，就医
280,105-39-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
281,105-39-5,如有不适感，就医
282,105-46-4,提起眼睑，用流动清水或生理盐水冲洗
283,105-46-4,如有不适感，就医
284,105-54-4,提起眼睑，用流动清水或生理盐水冲洗
285,105-54-4,如有不适感，就医
286,105-56-6,提起眼睑，用流动清水或生理盐水冲洗
287,105-56-6,如有不适感，就医
288,105-57-7,提起眼睑，用流动清水或生理盐水冲洗
289,105-57-7,如有不适感，就医
290,105-58-8,提起眼睑，用流动清水或生理盐水冲洗
291,105-58-8,如有不适感，就医
292,105-64-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
293,105-64-6,就医
294,105-66-8,提起眼睑，用流动清水或生理盐水冲洗
295,105-66-8,如有不适感，就医
296,105-67-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
297,105-67-9,就医
298,105-68-0,提起眼睑，用流动清水或生理盐水冲洗
299,105-68-0,如有不适感，就医
300,105-74-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
301,105-74-8,就医
302,10508-09-5,Immediately flush with running water for at least 20 minutes.
303,10544-72-6,提起眼睑，用流动清水或生理盐水冲洗
304,10544-72-6,如有不适感，就医
305,10544-73-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
306,10544-73-7,如有不适感，就医
307,10545-99-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
308,10545-99-0,如有不适感，就医
309,10567-69-8,提起眼睑，用流动清水或生理盐水冲洗
310,10567-69-8,如有不适感，就医
311,10588-01-9,提起眼睑，用流动清水或生理盐水冲洗
312,10588-01-9,如有不适感，就医
313,106-31-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
314,106-31-0,如有不适感，就医
315,106-35-4,提起眼睑，用流动清水或生理盐水冲洗
316,106-35-4,如有不适感，就医
317,106-38-7,提起眼睑，用流动清水或生理盐水冲洗
318,106-38-7,就医
319,106-40-1,提起眼睑，用流动清水或生理盐水冲洗
320,106-40-1,就医
321,106-41-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
322,106-41-2,如有不适感，就医
323,106-42-3,提起眼睑，用流动清水或生理盐水冲洗
324,106-42-3,如有不适感，就医
325,106-43-4,提起眼睑，用流动清水或生理盐水冲洗
326,106-43-4,如有不适感，就医
327,106-44-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
328,106-44-5,如有不适感，就医
329,106-45-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
330,106-45-6,如有不适感，就医
331,106-47-8,提起眼睑，用流动清水或生理盐水冲洗
332,106-47-8,如有不适感，就医
333,106-48-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
334,106-48-9,如有不适感，就医
335,106-49-0,提起眼睑，用流动清水或生理盐水冲洗
336,106-49-0,如有不适感，就医
337,106-50-3,提起眼睑，用流动清水或生理盐水冲洗
338,106-50-3,如有不适感，就医
339,106-51-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
340,106-51-4,如有不适感，就医
341,106-54-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
342,106-54-7,就医
343,106-58-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
344,106-58-1,就医
345,106-63-8,提起眼睑，用流动清水或生理盐水冲洗
346,106-63-8,如有不适感，就医
347,106-70-7,提起眼睑，用流动清水或生理盐水冲洗
348,106-70-7,如有不适感，就医
349,106-88-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
350,106-88-7,如有不适感，就医
351,106-92-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
352,106-92-3,就医
353,106-93-4,提起眼睑，用流动清水或生理盐水冲洗
354,106-93-4,如有不适感，就医
355,106-94-5,提起眼睑，用流动清水或生理盐水冲洗
356,106-94-5,如有不适感，就医
357,106-95-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
358,106-95-6,如有不适感，就医
359,106-96-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
360,106-96-7,就医
361,106-97-8,提起眼睑，用流动清水或生理盐水冲洗
362,106-97-8,如有不适感，就医
363,106-98-9,立即提起眼睑，用流动清水或生理盐水彻底冲洗
364,106-98-9,就医
365,106-99-0,提起眼睑，用流动清水或生理盐水冲洗
366,106-99-0,如有不适感，就医
367,1068-19-5,提起眼睑，用流动清水或生理盐水冲洗
368,1068-19-5,就医
369,1068-27-5,"If symptoms develop, immediately move individual away from exposure and into fresh air. Flush eyes gently with water for at least 15 minutes while holding eyelids apart; seek immediate medical attention."
370,107-00-6,不会通过该途径接触
371,107-01-7,提起眼睑，用流动清水或生理盐水冲洗
372,107-01-7,如有不适感，就医
373,107-02-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
374,107-02-8,如有不适感，就医
375,107-03-9,提起眼睑，用流动清水或生理盐水冲洗
376,107-03-9,如有不适感，就医
377,107-04-0,提起眼睑，用流动清水或生理盐水冲洗
378,107-04-0,就医
379,107-05-1,提起眼睑，用流动清水或生理盐水冲洗
380,107-05-1,如有不适感，就医
381,107-06-2,提起眼睑，用流动清水或生理盐水冲洗
382,107-06-2,如有不适感，就医
383,107-07-3,提起眼睑，用流动清水或生理盐水冲洗
384,107-07-3,就医
385,107-08-4,提起眼睑，用流动清水或生理盐水冲洗
386,107-08-4,如有不适感，就医
387,107-10-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
388,107-10-8,就医
389,107-11-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
390,107-11-9,如有不适感，就医
391,107-12-0,提起眼睑，用流动清水或生理盐水冲洗
392,107-12-0,如有不适感，就医
393,107-13-1,提起眼睑，用流动清水或生理盐水冲洗
394,107-13-1,如有不适感，就医
395,107-14-2,提起眼睑，用流动清水或生理盐水冲洗
396,107-14-2,如有不适感，就医
397,107-15-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
398,107-15-3,如有不适感，就医
399,107-16-4,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
400,107-16-4,就医
401,107-18-6,提起眼睑，用流动清水或生理盐水冲洗至少15分钟
402,107-18-6,就医
403,107-19-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
404,107-19-7,就医
405,107-20-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
406,107-20-0,如有不适感，就医
407,107-27-7,提起眼睑，用流动清水或生理盐水冲洗
408,107-27-7,如有不适感，就医
409,107-29-9,提起眼睑，用流动清水或生理盐水冲洗
410,107-29-9,就医
411,107-30-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
412,107-30-2,如有不适感，就医
413,107-31-3,提起眼睑，用流动清水或生理盐水冲洗
414,107-31-3,如有不适感，就医
415,107-37-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
416,107-37-9,就医
417,107-45-9,提起眼睑，用流动清水或生理盐水冲洗
418,107-45-9,就医
419,107-46-0,提起眼睑，用流动清水或生理盐水冲洗
420,107-46-0,如有不适感，就医
421,107-49-3,提起眼睑，用流动清水或生理盐水冲洗
422,107-49-3,就医
423,107-59-5,提起眼睑，用流动清水或生理盐水冲洗
424,107-59-5,就医
425,107-70-0,提起眼睑，用流动清水或生理盐水冲洗
426,107-70-0,就医
427,107-71-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
428,107-71-1,就医
429,107-72-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
430,107-72-2,就医
431,107-81-3,提起眼睑，用流动清水或生理盐水冲洗
432,107-81-3,就医
433,107-82-4,提起眼睑，用流动清水或生理盐水冲洗
434,107-82-4,就医
435,107-83-5,提起眼睑，用流动清水或生理盐水冲洗
436,107-83-5,如有不适感，就医
437,107-84-6,提起眼睑，用流动清水或生理盐水冲洗
438,107-84-6,如有不适感，就医
439,107-85-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
440,107-85-7,如有不适感，就医
441,107-87-9,提起眼睑，用流动清水或生理盐水冲洗
442,107-87-9,如有不适感，就医
443,107-89-1,提起眼睑，用流动清水或生理盐水冲洗
444,107-89-1,就医
445,107-92-6,提起眼睑，用流动清水或生理盐水冲洗
446,107-92-6,如有不适感，就医
447,107-94-8,提起眼睑，用流动清水或生理盐水冲洗
448,107-94-8,如有不适感，就医
449,108-01-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
450,108-01-0,如有不适感，就医
451,108-03-2,提起眼睑，用流动清水或生理盐水冲洗
452,108-03-2,如有不适感，就医
453,108-05-4,提起眼睑，用流动清水或生理盐水冲洗
454,108-05-4,如有不适感，就医
455,108-08-7,提起眼睑，用流动清水或生理盐水冲洗
456,108-08-7,如有不适感，就医
457,108-09-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
458,108-09-8,如有不适感，就医
459,108-10-1,提起眼睑，用流动清水或生理盐水冲洗
460,108-11-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
461,108-11-2,就医
462,108-12-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
463,108-12-3,就医
464,108-16-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
465,108-16-7,如有不适感，就医
466,108-18-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
467,108-18-9,如有不适感，就医
468,108-20-3,提起眼睑，用流动清水或生理盐水冲洗
469,108-20-3,如有不适感，就医
470,108-21-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
471,108-21-4,如有不适感，就医
472,108-22-5,提起眼睑，用流动清水或生理盐水冲洗
473,108-22-5,就医
474,108-23-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
475,108-23-6,如有不适感，就医
476,108-24-7,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
477,108-24-7,如有不适感，就医
478,108-31-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
479,108-31-6,就医
480,108-38-3,提起眼睑，用流动清水或生理盐水冲洗
481,108-38-3,如有不适感，就医
482,108-39-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
483,108-39-4,如有不适感，就医
484,108-40-7,提起眼睑，用流动清水或生理盐水冲洗
485,108-40-7,如有不适感，就医
486,108-41-8,提起眼睑，用流动清水或生理盐水冲洗
487,108-41-8,就医
488,108-42-9,提起眼睑，用流动清水或生理盐水冲洗
489,108-42-9,如有不适感，就医
490,108-43-0,提起眼睑，用流动清水或生理盐水冲洗
491,108-43-0,如有不适感，就医
492,108-44-1,提起眼睑，用流动清水或生理盐水冲洗
493,108-44-1,如有不适感，就医
494,108-45-2,提起眼睑，用流动清水或生理盐水冲洗
495,108-45-2,如有不适感，就医
496,108-46-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
497,108-46-3,如有不适感，就医
498,108-47-4,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
499,108-47-4,如有不适感，就医
500,108-48-5,提起眼睑，用流动清水或生理盐水冲洗
501,108-48-5,如有不适感，就医
502,108-60-1,提起眼睑，用流动清水或生理盐水冲洗
503,108-60-1,就医
504,108-64-5,提起眼睑，用流动清水或生理盐水冲洗
505,108-64-5,如有不适感，就医
506,108-67-8,提起眼睑，用流动清水或生理盐水冲洗
507,108-67-8,就医
508,108-68-9,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
509,108-68-9,就医
510,108-69-0,提起眼睑，用流动清水或生理盐水冲洗
511,108-69-0,就医
512,108-70-3,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
513,108-70-3,如有不适感，就医
514,108-73-6,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗
515,108-73-6,如有不适感，就医
516,108-77-0,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟
517,108-77-0,就医
518,108-83-8,提起眼睑，用流动清水或生理盐水冲洗
519,108-83-8,就医
520,108-84-9,提起眼睑，用流动清水或生理盐水冲洗
521,108-84-9,就医
522,108-86-1,提起眼睑，用流动清水或生理盐水冲洗
523,108-86-1,如有不适感，就医
524,108-87-2,提起眼睑，用流动清水或生理盐水冲洗
525,108-87-2,如有不适感，就医
526,108-88-3,提起眼睑，用流动清水或生理盐水冲洗
527,108-88-3,如有不适感，就医
528,108-90-7,提起眼睑，用流动清水或生理盐水冲洗
529,108-90-7,如有不适感，就医
530,108-91-8,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
531,108-91-8,如有不适感，就医
532,108-94-1,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
533,108-94-1,如有不适感，就医
534,108-95-2,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
535,108-95-2,如有不适感，就医
536,108-98-5,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗10～15min
537,108-98-5,如有不适感，就医
538,108-99-6,提起眼睑，用流动清水或生理盐水冲洗
539,108-99-6,如有不适感，就医
540,109-02-4,提起眼睑，用流动清水或生理盐水冲洗
541,109-02-4,如有不适感，就医
542,109-05-7,提起眼睑，用流动清水或生理盐水冲洗
543,109-05-7,如有不适感，就医
544,109-06-8,提起眼睑，用流动清水或生理盐水冲洗
545,109-06-8,如有不适感，就医
