,CAS,皮肤接触
89,1003-03-8,脱去污染的衣着，用流动清水冲洗
90,10031-13-7,脱去污染的衣着，用大量流动清水冲洗
91,10031-18-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
92,10031-18-2,如有不适感，就医
93,10031-43-3,脱去污染的衣着，用大量流动清水冲洗
94,10034-81-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
95,10034-81-8,如有不适感，就医
96,10034-85-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
97,10034-85-2,如有不适感，就医
98,10035-10-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
99,10035-10-6,如有不适感，就医
100,10038-98-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
101,10038-98-9,如有不适感，就医
102,10039-54-0,脱去污染的衣着，用流动清水冲洗
103,10042-76-9,脱去污染的衣着，用大量流动清水冲洗
104,10043-35-3,脱去污染的衣着，用大量流动清水冲洗
105,10043-35-3,就医
106,10045-94-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
107,10045-94-0,如有不适感，就医
108,10049-04-4,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
109,10049-04-4,就医
110,10099-59-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
111,10099-59-9,如有不适感，就医
112,10099-74-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
113,10099-74-8,如有不适感，就医
114,10099-76-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
115,101-02-0,脱去污染的衣着，用大量流动清水冲洗
116,101-14-4,IMMEDIATELY flood affected skin with water while removing and isolating all contaminated clothing. Gently wash all affected skin areas thoroughly with soap and water. IMMEDIATELY call a hospital or poison control center even if no symptoms (such as redness or irritation) develop. IMMEDIATELY transport the victim to a hospital for treatment after washing the affected areas.
117,101-25-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
118,101-25-7,如有不适感，就医
119,101-27-9,脱去污染的衣着，用大量流动清水冲洗
120,101-37-1,脱去污染的衣着，用大量流动清水冲洗
121,101-54-2,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
122,101-54-2,就医
123,101-68-8,脱去污染的衣着，用流动清水冲洗
124,101-77-9,立即脱去污染的衣着，用大量流动清水冲洗
125,101-77-9,就医
126,101-82-6,脱去污染的衣着，用大量流动清水冲洗
127,101-83-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
128,101-83-7,如有不适感，就医
129,10101-50-5,立即脱去污染的衣着，用大量流动清水冲洗20～30min
130,10101-50-5,如有不适感，就医
131,10102-18-8,脱去污染的衣着，用大量流动清水冲洗
132,10102-20-2,脱去污染的衣着，用大量流动清水冲洗
133,10102-43-9,不会通过该途径接触
134,10102-45-1,脱去污染的衣着，用大量流动清水冲洗
135,10102-49-5,脱去污染的衣着，用大量流动清水冲洗
136,10103-50-1,脱去污染的衣着，用大量流动清水冲洗
137,10103-61-4,"马上 用 水 和 肥 皂 进 行 彻 底 的 冲 洗.
马上 寻 求 医 疗 的 建 议."
138,10108-64-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
139,10108-64-2,如有不适感，就医
140,10108-73-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
141,10108-73-3,如有不适感，就医
142,10112-91-1,脱去污染的衣着，用流动清水冲洗
143,10118-76-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
144,10118-76-0,如有不适感，就医
145,10124-36-4,脱去污染的衣物，用肥皂水及清水彻底冲洗
146,10124-37-5,脱去污染的衣着，用大量流动清水冲洗
147,10124-43-3,脱去污染的衣着，用大量流动清水冲洗
148,10124-48-8,脱去污染的衣着，用流动清水冲洗
149,10124-50-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
150,10124-50-2,如有不适感，就医
151,10137-69-6,立即脱去污染的衣着，用大量流动清水冲洗
152,10137-69-6,就医
153,10138-60-0,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
154,10139-58-9,脱去污染的衣着，用流动清水冲洗
155,10141-05-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
156,10141-05-6,如有不适感，就医
157,10192-29-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
158,10192-29-7,如有不适感，就医
159,102-27-2,立即脱去污染的衣着，用大量流动清水冲洗
160,102-27-2,就医
161,102-36-3,立即脱去污染的衣着，用大量流动清水冲洗
162,102-36-3,就医
163,102-47-6,立即脱去污染的衣着，用大量流动清水冲洗
164,102-47-6,就医
165,102-69-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
166,102-69-2,如有不适感，就医
167,102-70-5,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
168,102-70-5,就医
169,102-81-8,脱去污染的衣物，用大量流动清水彻底冲洗
170,102-82-9,立即脱去污染的衣着，用大量流动清水冲洗20～30min
171,102-82-9,如有不适感，就医
172,10217-52-4,立即脱去污染的衣着，用大量流动清水冲洗20～30min
173,10217-52-4,如有不适感，就医
174,10241-05-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
175,10241-05-1,如有不适感，就医
176,10265-92-6,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
177,10265-92-6,如有不适感，就医
178,10290-12-7,脱去污染的衣着，用大量流动清水冲洗
179,10294-33-4,立即脱去污染的衣着，用大量流动清水冲洗20～30min
180,10294-33-4,如有不适感，就医
181,10294-34-5,立即脱去污染的衣着，用大量流动清水冲洗
182,10294-34-5,如果发生冻伤：将患部浸泡于保持在38～42℃的温水中复温
183,10294-34-5,不要涂擦
184,10294-34-5,不要使用热水或辐射热
185,10294-34-5,使用清洁、干燥的敷料包扎
186,10294-34-5,就医
187,10294-56-1,Get medical aid immediately. Immediately flush skin with plenty of soap and water for at least 15 minutes while removing contaminated clothing and shoes. Wash clothing before reuse. Destroy contaminated shoes.
188,103-65-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
189,103-65-1,如有不适感，就医
190,103-69-5,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
191,103-69-5,如有不适感，就医
192,103-71-9,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
193,103-71-9,如有不适感，就医
194,103-72-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
195,103-72-0,如有不适感，就医
196,103-80-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
197,103-80-0,如有不适感，就医
198,103-83-3,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
199,103-83-3,就医
200,103-84-4,立即脱去污染的衣着，用大量流动清水冲洗
201,103-84-4,就医
202,1031-47-6,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
203,1031-47-6,就医
204,10311-84-9,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
205,10311-84-9,就医
206,10325-94-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
207,10325-94-7,如有不适感，就医
208,10326-21-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
209,10326-21-3,如有不适感，就医
210,10326-24-6,脱去污染的衣着，用大量流动清水冲洗
211,10361-37-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
212,10361-37-2,如有不适感，就医
213,10361-44-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
214,10361-44-1,如有不适感，就医
215,10361-95-2,脱去污染的衣着，用大量流动清水冲洗
216,10377-60-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
217,10377-60-3,如有不适感，就医
218,104-51-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
219,104-51-8,如有不适感，就医
220,104-75-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
221,104-75-6,如有不适感，就医
222,104-78-9,立即脱去污染的衣着，用大量流动清水冲洗
223,104-78-9,就医
224,104-83-6,脱去污染的衣着，用流动清水冲洗
225,104-85-8,脱去污染的衣着，用大量流动清水冲洗
226,104-90-5,脱去污染的衣着，用大量流动清水冲洗
227,104-91-6,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
228,104-91-6,就医
229,104-92-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
230,104-92-7,如有不适感，就医
231,104-94-9,脱去污染的衣着，用大量流动清水冲洗
232,10421-48-4,立即脱去污染的衣着，用大量流动清水冲洗20～30min
233,10421-48-4,如有不适感，就医
234,10450-60-9,立即脱去污染的衣着，用大量流动清水冲洗20～30min
235,10450-60-9,如有不适感，就医
236,105-05-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
237,105-05-5,如有不适感，就医
238,105-29-3,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
239,105-29-3,就医
240,105-30-6,脱去污染的衣着，用大量流动清水冲洗
241,105-36-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
242,105-36-2,如有不适感，就医
243,105-37-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
244,105-37-3,如有不适感，就医
245,105-39-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
246,105-39-5,如有不适感，就医
247,105-46-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
248,105-46-4,如有不适感，就医
249,105-54-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
250,105-54-4,如有不适感，就医
251,105-56-6,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
252,105-56-6,就医
253,105-57-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
254,105-57-7,如有不适感，就医
255,105-58-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
256,105-58-8,如有不适感，就医
257,105-64-6,脱去污染的衣着，用大量流动清水冲洗
258,105-66-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
259,105-66-8,如有不适感，就医
260,105-67-9,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
261,105-67-9,就医
262,105-68-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
263,105-68-0,如有不适感，就医
264,105-74-8,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
265,105-74-8,就医
266,10508-09-5,Remove and isolate contaminated clothing and shoes. Remove material from skin immediately. Immediately flush with running water for at least 20 minutes.
267,10544-72-6,用大量流动清水冲洗
268,10544-72-6,如有不适感，就医
269,10544-73-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
270,10544-73-7,如有不适感，就医
271,10545-99-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
272,10545-99-0,如有不适感，就医
273,10567-69-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
274,10567-69-8,如有不适感，就医
275,10588-01-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
276,10588-01-9,如有不适感，就医
277,106-31-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
278,106-31-0,如有不适感，就医
279,106-35-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
280,106-35-4,如有不适感，就医
281,106-38-7,脱去污染的衣着，用大量流动清水冲洗
282,106-40-1,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
283,106-40-1,就医
284,106-41-2,立即脱去污染的衣着，用大量流动清水彻底冲洗
285,106-41-2,冲洗后即用浸过30%～50%酒精的棉花反复擦拭(注意不能将患处浸泡于酒精溶液中)
286,106-41-2,也可用浸过聚乙二醇-300或聚乙二醇和甲基化酒精混合液(2∶1)的棉花擦拭，然后用水彻底清洗
287,106-41-2,就医
288,106-42-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
289,106-42-3,如有不适感，就医
290,106-43-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
291,106-43-4,如有不适感，就医
292,106-44-5,立即脱去污染的衣着，用大量流动清水彻底冲洗
293,106-44-5,冲洗后即用浸过30%～50%酒精的棉花反复擦拭(注意不能将患处浸泡于酒精溶液中)
294,106-44-5,也可用浸过聚乙二醇-300或聚乙二醇和甲基化酒精混合液(2∶1)的棉花擦拭，然后用水彻底清洗
295,106-44-5,就医
296,106-45-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
297,106-45-6,如有不适感，就医
298,106-47-8,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
299,106-47-8,如有不适感，就医
300,106-48-9,立即脱去污染的衣着，用大量流动清水彻底冲洗
301,106-48-9,冲洗后即用浸过30%～50%酒精的棉花反复擦拭(注意不能将患处浸泡于酒精溶液中)
302,106-48-9,也可用浸过聚乙二醇-300或聚乙二醇和甲基化酒精混合液(2∶1)的棉花擦拭，然后用水彻底清洗
303,106-48-9,就医
304,106-49-0,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
305,106-49-0,如有不适感，就医
306,106-50-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
307,106-50-3,如有不适感，就医
308,106-51-4,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
309,106-51-4,如有不适感，就医
310,106-54-7,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
311,106-54-7,就医
312,106-58-1,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
313,106-58-1,就医
314,106-63-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
315,106-63-8,如有不适感，就医
316,106-70-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
317,106-70-7,如有不适感，就医
318,106-88-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
319,106-88-7,如有不适感，就医
320,106-92-3,脱去污染的衣着，用大量流动清水冲洗
321,106-93-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
322,106-93-4,如有不适感，就医
323,106-94-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
324,106-94-5,如有不适感，就医
325,106-95-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
326,106-95-6,如有不适感，就医
327,106-96-7,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
328,106-96-7,就医
329,106-97-8,如果发生冻伤：将患部浸泡于保持在38～42℃的温水中复温
330,106-97-8,不要涂擦
331,106-97-8,不要使用热水或辐射热
332,106-97-8,使用清洁、干燥的敷料包扎
333,106-97-8,如有不适感，就医
334,106-98-9,如果发生冻伤：将患部浸泡于保持在38～42℃的温水中复温
335,106-98-9,不要涂擦
336,106-98-9,不要使用热水或辐射热
337,106-98-9,使用清洁、干燥的敷料包扎
338,106-98-9,就医
339,106-99-0,如果发生冻伤：将患部浸泡于保持在38～42℃的温水中复温
340,106-99-0,不要涂擦
341,106-99-0,不要使用热水或辐射热
342,106-99-0,使用清洁、干燥的敷料包扎
343,106-99-0,如有不适感，就医
344,1068-19-5,脱去污染的衣着，用流动清水冲洗
345,1068-27-5,"Remove contaminated clothing. Wash exposed area with soap and water. If symptoms persist, seek medical attention. Launder clothing before reuse."
346,107-00-6,不会通过该途径接触
347,107-01-7,如果发生冻伤：将患部浸泡于保持在38～42℃的温水中复温
348,107-01-7,不要涂擦
349,107-01-7,不要使用热水或辐射热
350,107-01-7,使用清洁、干燥的敷料包扎
351,107-01-7,就医
352,107-02-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
353,107-02-8,如有不适感，就医
354,107-03-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
355,107-03-9,如有不适感，就医
356,107-04-0,立即脱去污染的衣着，用大量流动清水冲洗
357,107-04-0,就医
358,107-05-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
359,107-05-1,如有不适感，就医
360,107-06-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
361,107-06-2,如有不适感，就医
362,107-07-3,立即脱去污染的衣着，用大量流动清水冲洗
363,107-07-3,就医
364,107-08-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
365,107-08-4,如有不适感，就医
366,107-10-8,立即脱去污染的衣着，用大量流动清水冲洗20～30min
367,107-10-8,如有不适感，就医
368,107-11-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
369,107-11-9,如有不适感，就医
370,107-12-0,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
371,107-12-0,就医
372,107-13-1,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
373,107-13-1,就医
374,107-14-2,立即脱去污染的衣着，用流动清水或5%硫代硫酸钠溶液彻底冲洗
375,107-14-2,就医
376,107-15-3,立即脱去污染的衣着，用大量流动清水冲洗20～30min
377,107-15-3,如有不适感，就医
378,107-16-4,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
379,107-18-6,"染毒的服装或脱去,或剪去染毒部分,皮肤和伤口接触后应迅速以软纸、布、手帕等物轻轻吸去,继以肥皂水涂抹、清水冲洗15分钟,而后擦干"
380,107-19-7,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
381,107-19-7,就医
382,107-20-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
383,107-20-0,如有不适感，就医
384,107-27-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
385,107-27-7,如有不适感，就医
386,107-29-9,脱去污染的衣着，用大量流动清水冲洗
387,107-30-2,立即脱去污染的衣着，用大量流动清水冲洗20～30min
388,107-30-2,如有不适感，就医
389,107-31-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
390,107-31-3,如有不适感，就医
391,107-37-9,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
392,107-37-9,就医
393,107-45-9,脱去污染的衣着，用流动清水冲洗
394,107-46-0,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
395,107-46-0,如有不适感，就医
396,107-49-3,立即脱去污染的衣着，用肥皂水及流动清水彻底冲洗污染的皮肤、头发、指甲等
397,107-49-3,就医
398,107-59-5,立即脱去污染的衣着，用大量流动清水冲洗
399,107-59-5,就医
400,107-70-0,脱去污染的衣着，用大量流动清水冲洗
401,107-71-1,立即脱去污染的衣着，用大量流动清水冲洗
402,107-71-1,就医
403,107-72-2,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
404,107-72-2,就医
405,107-81-3,立即脱去污染的衣着，用大量流动清水冲洗
406,107-81-3,就医
407,107-82-4,脱去污染的衣着，用大量流动清水冲洗
408,107-83-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
409,107-83-5,如有不适感，就医
410,107-84-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
411,107-84-6,如有不适感，就医
412,107-85-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
413,107-85-7,如有不适感，就医
414,107-87-9,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
415,107-87-9,如有不适感，就医
416,107-89-1,脱去污染的衣着，用大量流动清水冲洗
417,107-92-6,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
418,107-92-6,如有不适感，就医
419,107-94-8,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
420,107-94-8,如有不适感，就医
421,108-01-0,立即脱去污染的衣着，用大量流动清水冲洗20～30min
422,108-01-0,如有不适感，就医
423,108-03-2,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
424,108-03-2,如有不适感，就医
425,108-05-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
426,108-05-4,如有不适感，就医
427,108-08-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
428,108-08-7,如有不适感，就医
429,108-09-8,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
430,108-09-8,如有不适感，就医
431,108-10-1,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
432,108-11-2,立即脱去污染的衣着，用大量流动清水冲洗
433,108-11-2,就医
434,108-12-3,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
435,108-12-3,就医
436,108-16-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
437,108-16-7,如有不适感，就医
438,108-18-9,立即脱去污染的衣着，用大量流动清水冲洗20～30min
439,108-18-9,如有不适感，就医
440,108-20-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
441,108-20-3,如有不适感，就医
442,108-21-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
443,108-21-4,如有不适感，就医
444,108-22-5,脱去污染的衣着，用大量流动清水冲洗
445,108-23-6,立即脱去污染的衣着，用大量流动清水冲洗20～30min
446,108-23-6,如有不适感，就医
447,108-24-7,立即脱去污染的衣着，用大量流动清水冲洗20～30min
448,108-24-7,如有不适感，就医
449,108-31-6,立即脱去污染的衣着，用大量流动清水冲洗至少15分钟
450,108-31-6,就医
451,108-38-3,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
452,108-38-3,如有不适感，就医
453,108-39-4,立即脱去污染的衣着，用大量流动清水彻底冲洗
454,108-39-4,冲洗后即用浸过30%～50%酒精的棉花反复擦拭(注意不能将患处浸泡于酒精溶液中)
455,108-39-4,也可用浸过聚乙二醇-300或聚乙二醇和甲基化酒精混合液(2∶1)的棉花擦拭，然后用水彻底清洗
456,108-39-4,就医
457,108-40-7,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
458,108-40-7,如有不适感，就医
459,108-41-8,脱去污染的衣着，用流动清水冲洗
460,108-42-9,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
461,108-42-9,如有不适感，就医
462,108-43-0,立即脱去污染的衣着，用大量流动清水彻底冲洗
463,108-43-0,冲洗后即用浸过30%～50%酒精的棉花反复擦拭(注意不能将患处浸泡于酒精溶液中)
464,108-43-0,也可用浸过聚乙二醇-300或聚乙二醇和甲基化酒精混合液(2∶1)的棉花擦拭，然后用水彻底清洗
465,108-43-0,就医
466,108-44-1,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
467,108-44-1,如有不适感，就医
468,108-45-2,立即脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
469,108-45-2,如有不适感，就医
470,108-46-3,立即脱去污染的衣着，用大量流动清水彻底冲洗
471,108-46-3,冲洗后即用浸过30%～50%酒精的棉花反复擦拭(注意不能将患处浸泡于酒精溶液中)
472,108-46-3,也可用浸过聚乙二醇-300或聚乙二醇和甲基化酒精混合液(2∶1)的棉花擦拭，然后用水彻底清洗
473,108-46-3,就医
474,108-47-4,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
475,108-47-4,如有不适感，就医
476,108-48-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
477,108-48-5,如有不适感，就医
478,108-60-1,脱去污染的衣着，用流动清水冲洗
479,108-64-5,脱去污染的衣着，用肥皂水和清水彻底冲洗皮肤
480,108-64-5,如有不适感，就医
