,CAS,健康危害
61,100-43-6,本品对皮肤有致敏作用
62,100-44-7,持续吸入高浓度蒸气可出现呼吸道炎症，甚至发生肺水肿
63,100-44-7,蒸气对眼有刺激性，液体溅入眼内引起结膜和角膜蛋白变性
64,100-44-7,皮肤接触可引起红斑、大疱，或发生湿疹
65,100-44-7,口服引起胃肠道刺激反应、头痛、头晕、恶心、呕吐及中枢神经系统抑制
66,100-44-7,慢性影响：肝、肾损害
67,100-46-9,吸入、摄入或经皮肤吸收对身体有害
68,100-46-9,对眼睛、粘膜、呼吸道及皮肤有强烈刺激作用
69,100-46-9,吸入后可能因喉、支气管的炎症、痉挛、水肿，化学性肺炎或肺水肿而致死
70,100-46-9,中毒表现有烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐
71,100-47-0,有因衣服沾染了本品而发生严重中毒的报道
72,100-47-0,患者出现意识丧失、痉挛
73,100-47-0,本品对眼有刺激性
74,100-47-0,皮肤较长时间接触有刺激作用
75,100-47-0,动物吸入蒸气或小剂量灌胃，主要为麻醉作用
76,100-47-0,大剂量引起痉挛
77,100-50-5,吸入、摄入或经皮肤吸收后对身体有害
78,100-50-5,本品对皮肤、眼睛、粘膜和上呼吸道有剧烈刺激作用
79,100-50-5,吸入后可引起喉、支气管的痉挛、水肿、炎症，化学性肺炎或肺水肿
80,100-50-5,接触后可有烧灼感、咳嗽、眩晕、气短、头痛、恶心和呕吐等
81,100-53-8,蒸气或雾对眼、黏膜和上呼吸道有刺激性
82,100-53-8,接触后可引起烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐
83,100-56-1,吸入、摄入或经皮肤吸收后会中毒
84,100-56-1,吸入时，神经系统最早受损；误服，首先出现消化道症状
85,100-56-1,对肝、肾、心脏有损害
86,100-56-1,皮肤接触可引起接触性皮炎
87,100-61-8,可形成高铁血红蛋白，造成组织缺氧；引起中枢神经系统及肝、肾损害
88,100-61-8,急性中毒：表现为口唇、指端、耳廓紫绀，出现恶心、呕吐、手指麻木、精神恍惚；重者皮肤、黏膜严重青紫，出现呼吸困难、抽搐等，甚至昏迷、休克
89,100-61-8,可出现溶血性黄疸、中毒性肝炎和肾损害
90,100-61-8,慢性中毒：患者有神经衰弱综合征表现，伴有轻度紫绀、贫血和肝、脾肿大
91,100-63-0,本品可引起溶血性贫血、高铁血红蛋白血症、高胆红素血症，以及中枢神经系统和肝、肾、心脏损害急性中毒：轻度中毒有头痛、头晕、无力、食欲不振、腹痛、腹泻等
92,100-63-0,较重时尚有呼吸困难、抽搐、震颤，甚至共济失调、意识不清
93,100-63-0,重症者出现紫绀、黄疸、白细胞减少，并可发生溶血性贫血、高胆红素血症和肝、肾损害
94,100-63-0,慢性中毒：长期接触可发生心、肝、肾损害
95,100-63-0,可致皮肤损害，重者可发生水疱、水肿等
96,100-66-3,对眼和呼吸道有刺激性
97,100-69-6,短暂吸入本品对眼和上呼吸道有刺激性，伴有头痛、恶心、紧张不安及食欲减退；严重者可有运动失调、呼吸困难和抽搐
98,100-69-6,可致皮肤灼伤，患处呈棕红色；对皮肤有致敏作用
99,100-71-0,有毒
100,100-71-0,对眼睛、皮肤和粘膜有刺激作用
101,100-71-0,接触可引起头痛、恶心和呕吐等
102,100-73-2,本品有毒
103,100-73-2,其蒸气和烟雾对皮肤、眼睛和粘膜有刺激作用
104,100-74-3,本品对粘膜、上呼吸道、眼和皮肤有强烈的刺激性
105,100-74-3,吸入后，可因喉及支气管的痉挛、炎症、水肿，化学性肺炎或肺水肿而致死
106,100-74-3,中毒表现有烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐等
107,100-97-0,生产条件下，主要引起皮炎和湿疹
108,100-97-0,皮疹多为多形性，奇痒，初起局限于接触部位，以后可蔓延，甚至遍及全身
109,100-99-2,本品具有强烈的刺激性和腐蚀性，主要损害呼吸道和眼结膜
110,100-99-2,高浓度吸入时可引起中毒性肺水肿
111,100-99-2,吸入其烟雾可发生金属烟雾热
112,100-99-2,皮肤接触可致灼伤，产生充血、水肿和水疱，疼痛剧烈
113,1002-16-0,人在接触本品后，仅见恶心和呕吐
114,1002-16-0,未见本品引起中毒的报道
115,1002-16-0,中毒死亡动物可见肝、肾、脑的弥漫性病变，肺充血和水肿
116,10022-31-8,误服后表现为恶心、呕吐、腹痛、腹泻、脉缓、头痛、眩晕等
117,10022-31-8,严重中毒出现进行性肌麻痹、心律紊乱、血压降低、血钾明显降低等
118,10022-31-8,可死于心律紊乱和呼吸肌麻痹
119,10022-31-8,肾脏可能受损
120,10022-31-8,大量吸入本品粉尘亦可引起中毒，但消化道反应较轻
121,10022-31-8,长期接触可致口腔炎、鼻炎、结膜炎、腹泻、心动过速、脱发等
122,10024-97-2,作为吸入麻醉剂在医药上应用了很久，但目前已少用
123,10024-97-2,吸入本品和空气的混合物，当其中氧浓度很低时可引起窒息；吸入80%本品和氧气的混合物引起深麻醉，苏醒后一般无后遗作用
124,10025-67-9,具有窒息性气味，对眼和上呼吸道粘膜有强烈的刺激性，并可致严重皮肤灼伤
125,10025-67-9,少数严重中毒者可引起肺水肿
126,10025-68-0,对眼、黏膜和皮肤有刺激性和腐蚀性
127,10025-68-0,溶液能灼伤皮肤，能经手指端的皮肤吸收
128,10025-78-2,对眼和呼吸道黏膜有强烈刺激作用
129,10025-78-2,高浓度下，引起角膜混浊、呼吸道炎症，甚至肺水肿
130,10025-78-2,并可伴有头昏、头痛、乏力、恶心、呕吐、心慌等症状
131,10025-78-2,溅在皮肤上，可引起坏死，溃疡长期不愈
132,10025-78-2,动物慢性中毒见慢性卡他性气管炎、支气管炎及早期肺硬化
133,10025-87-3,本品遇水蒸气分解成磷酸与氯化氢，含磷可致磷中毒
134,10025-87-3,对皮肤、黏膜有刺激腐蚀作用
135,10025-87-3,毒性与光气类似
136,10025-87-3,急性中毒：短期内吸入大量蒸气，可引起上呼吸道刺激症状、咽喉炎、支气管炎；严重者可发生喉头水肿窒息、肺炎、肺水肿、心力衰竭
137,10025-87-3,亦可发生贫血、肝脏损害、蛋白尿
138,10025-87-3,口服引起消化道灼伤
139,10025-87-3,眼和皮肤接触引起灼伤
140,10025-87-3,长期低浓度接触可引起口、眼及呼吸道刺激症状
141,10025-91-9,高浓度对眼睛、皮肤、黏膜和呼吸道有强烈的刺激作用
142,10025-91-9,可引起支气管炎、肺炎、肺水肿
143,10025-91-9,本品溅落在皮肤上，遇水产生盐酸和热可灼伤皮肤，并可因锑吸收而引起锑中毒全身性症状，如肝肿大、肝功能异常
144,10026-03-6,无资料
145,10026-04-7,对眼睛及上呼吸道有强烈刺激作用
146,10026-04-7,高浓度可引起角膜浑浊，呼吸道炎症，甚至肺水肿
147,10026-04-7,眼直接接触可致角膜及眼睑严重灼伤
148,10026-04-7,皮肤接触后可引起组织坏死
149,10026-04-7,本品可引起溶血反应而导致贫血
150,10026-11-6,吸入后引起呼吸道刺激
151,10026-11-6,对眼有强烈刺激性
152,10026-11-6,皮肤直接接触有强烈刺激性，可致灼伤
153,10026-11-6,口服出现口腔和咽喉烧灼感、恶心、呕吐、水样便、血便、虚脱和惊厥
154,10026-11-6,慢性影响：对呼吸道有轻度刺激作用
155,10026-12-7,目前，尚未见引起人中毒的报告
156,10026-12-7,粉尘和蒸气对皮肤、眼睛和粘膜有刺激性
157,10026-13-8,其蒸气和烟尘可引起眼结膜刺激症状
158,10026-13-8,刺激咽喉引起灼痛、失音或吞咽困难
159,10026-13-8,可引起支气管炎，严重者发生肺炎、肺水肿，喉头水肿可致窒息
160,10026-13-8,眼和皮肤接触可致灼伤慢性影响：长期低浓度接触可引起眼及呼吸道刺激症状
161,10026-13-8,可引起磷毒性口腔病
162,10026-17-2,吸入 、摄入有毒
163,10026-17-2,对皮肤及粘膜有刺激和腐蚀作用
164,10026-18-3,有毒；误服会中毒；遇水或潮气反应产生氢氟酸；对眼睛、皮肤、黏膜和上呼吸道有强烈刺激作用
165,1003-03-8,吸入、摄入或经皮肤吸收对身体有害
166,1003-03-8,其蒸气或雾对眼睛、粘膜和呼吸道有刺激作用
167,10031-13-7,本品属剧毒类
168,10031-13-7,对皮肤、粘膜有刺激作用，吸入或误服会中毒
169,10031-13-7,兼有铅和砷的毒性
170,10031-13-7,受热分解释出砷和铅烟雾
171,10031-18-2,汞离子可使含巯基的酶丧失活性，失去功能；还能与酶中的氨基、二巯基、羧基、羟基以及细胞膜内的磷酰基结合，引起相应的损害
172,10031-18-2,急性中毒：有头痛、头晕、乏力、失眠、多梦、口腔炎、发热等全身症状
173,10031-18-2,可有食欲不振、恶心、腹痛、腹泻等
174,10031-18-2,部分患者皮肤出现红色斑丘疹
175,10031-18-2,严重者可发生间质性肺炎及肾损害
176,10031-18-2,口服可发生急性腐蚀性胃肠炎，严重者昏迷、休克，甚至发生坏死性肾病致急性肾功能衰竭
177,10031-18-2,对眼有刺激性
178,10031-18-2,可致皮炎
179,10031-18-2,慢性中毒：有神经衰弱综合征、易兴奋症；精神情绪障碍，如胆怯、害羞、发怒、爱哭等；汞毒性震颤；口腔炎
180,10031-18-2,少数病例有肝、肾损害
181,10031-43-3,吸入对呼吸道有刺激性，出现咳嗽、气短等
182,10031-43-3,对眼和皮肤有刺激性
183,10031-43-3,长期接触引起皮炎、血液损害、肝损害、鼻粘膜溃疡，鼻中隔穿孔
184,10034-81-8,本品对眼睛、皮肤、黏膜和上呼吸道有刺激作用
185,10034-81-8,过量口服镁盐，可引起上腹痛、呕吐、烦渴、呼吸困难、紫绀以及肾损害
186,10034-85-2,对眼和呼吸道有强烈的刺激作用
187,10034-85-2,氢碘酸为本品的水溶液，具有强腐蚀作用
188,10034-85-2,慢性影响：长期接触较高浓度的碘化氢可引起慢性支气管炎
189,10035-10-6,可引起皮肤、黏膜的刺激或灼伤
190,10035-10-6,长期低浓度接触可引起呼吸道刺激症状和消化功能障碍
191,10036-47-2,本品剧毒
192,10036-47-2,热解放出高毒的氮氧化物和氟化氢气体
193,10038-98-9,对呼吸道有刺激作用，可引起支气管炎和肺炎
194,10038-98-9,对皮肤有刺激性
195,10039-54-0,本品系高铁血红蛋白形成剂
196,10039-54-0,吸入或口服后，可出现紫绀、惊厥和昏迷
197,10039-54-0,对眼和皮肤有刺激性
198,10042-76-9,吸入对呼吸道有刺激性，引起一过性咳嗽、喷嚏和呼吸困难
199,10042-76-9,对眼和皮肤有刺激性、大量口服刺激胃肠道，引起腹痛、恶心、呕吐和腹泻
200,10045-94-0,汞离子可使含巯基的酶丧失活性，失去功能；还能与酶中的氨基、二巯基、羧基、羟基以及细胞膜内的磷酰基结合，引起相应的损害
201,10045-94-0,急性中毒：有头痛、头晕、乏力、失眠、多梦、口腔炎、发热等全身症状
202,10045-94-0,可有食欲不振、恶心、腹痛、腹泻等
203,10045-94-0,部分患者皮肤出现红色斑丘疹
204,10045-94-0,严重者可发生间质性肺炎及肾损害
205,10045-94-0,口服可发生急性腐蚀性胃肠炎，严重者昏迷、休克，甚至发生坏死性肾病致急性肾功能衰竭
206,10045-94-0,对眼有刺激性；可致皮炎
207,10045-94-0,慢性中毒：有神经衰弱综合征；易兴奋症，精神情绪障碍，如胆怯、害羞、易怒、爱哭等；汞毒性震颤；口腔炎
208,10045-94-0,少数病例有肝、肾损害
209,10099-59-9,人吸入镧及其化合物烟尘可出现头痛和恶心等症状
210,10099-59-9,大鼠急性镧中毒的症状有立即排便、运动失调、呼吸困难，常因呼吸衰竭或心力衰竭而死亡
211,10099-74-8,铅及其化合物损害造血、神经、消化系统及肾脏损害
212,10099-74-8,职业中毒主要为慢性
213,10099-74-8,神经系统主要表现为神经衰弱综合征、周围神经病(以运动功能受累较明显)，重者出现铅中毒性脑病
214,10099-74-8,消化系统表现有齿龈铅线、食欲不振、恶心、腹胀、腹泻或便秘；腹绞痛见于中度及重度中毒病例
215,10099-74-8,造血系统损害出现卟啉代谢障碍、贫血等
216,10099-74-8,短时大量接触可发生急性或亚急性中毒，表现类似重症慢性铅中毒
217,10099-74-8,对肾脏损害多见于急性亚急性中毒或较重慢性病例
218,10099-76-0,铅及其化合物损害造血、神经系统、消化系统及肾脏
219,10099-76-0,职业中毒主要为慢性
220,10099-76-0,神经系统主要表现为神经衰弱综合征，周围神经病（以运动功能受累较明显），重者出现铅中毒性脑病
221,10099-76-0,消化系统表现有齿龈铅线、食欲不振、恶心、腹胀、腹泻或便秘；腹绞痛见于中等及较重病例
222,10099-76-0,造血系统损害出现卟啉代谢障碍、贫血等
223,10099-76-0,短时大量接触可发生急性或亚急性铅中毒，类似重症慢性铅中毒
224,101-02-0,如吸入、摄入或经皮肤吸收后对人体有害，对眼睛、粘膜、皮肤和上呼吸道有刺激作用
225,101-02-0,目前，未见生产性中毒报道
226,101-02-0,可使动物抽搐、腹泻、血管扩张，对胆碱酯酶有弱抑制作用，易为豚鼠皮肤吸收
227,101-14-4,Inhalation:Dyspnea and tachypnea may occur.Skin:Central cyanosis unresponsive to oxygen therapy is classic.Ingestion:Nausea and vomiting may occur.
228,101-25-7,本品热解能放出有毒的氮氧化物烟雾
229,101-25-7,口服具有中等毒性
230,101-27-9,吸入、摄入或经皮吸收会中毒
231,101-27-9,可引起接触性皮炎，出现风疹块，皮肤红肿、发痒，分布于上下肢对称部位，重者累及面部，愈合皮肤色素略深
232,101-27-9,再接触可复发
233,101-37-1,有毒
234,101-37-1,吸入有害
235,101-37-1,刺激眼睛、皮肤和呼吸系统
236,101-37-1,当接触酸或酸雾以及受高热时能分解释出有毒的氰化物、氮氧化物气体
237,101-54-2,对人体有毒
238,101-54-2,有刺激性
239,101-54-2,进入人体内可形成高铁血红蛋白，引起紫绀
240,101-68-8,较大量吸入，能引起头痛、眼痛、咳嗽、呼吸困难和嗅觉丧失等
241,101-68-8,严重者可发生支气管炎和弥漫性肺炎
242,101-68-8,对粘膜有强烈刺激作用
243,101-68-8,致敏作用不明显，也有报道可发生支气管哮喘
244,101-77-9,吸入、摄入或经皮肤吸收后对身体有害
245,101-77-9,有误服后引起急性黄疸的报道，也有经皮引起中毒性肝炎的报道
246,101-77-9,本品在体内可形成高铁血红蛋白，致发生紫绀
247,101-82-6,有毒，并对皮肤有刺激性
248,101-82-6,经口摄入会引起中毒
249,101-83-7,接触本品对眼、皮肤和呼吸道有强烈刺激性
250,101-83-7,眼直接接触，可造成永久性视觉损害
251,101-83-7,皮肤长期接触低浓度本品，可引起皮炎
252,10101-50-5,无人中毒资料
253,10101-50-5,可能具有刺激性
254,10102-20-2,高毒
255,10102-20-2,有报道本品用作造影剂注入输尿管引起中毒，中毒症状有：呼气蒜臭味、恶心、呕吐、昏迷、呼吸困难、明显紫绀等
256,10102-20-2,６小时后死亡
257,10102-43-9,本品不稳定，在空气中很快转变为二氧化氮产生刺激作用
258,10102-43-9,氮氧化物主要损害呼吸道
259,10102-43-9,吸入初期仅有轻微的眼及呼吸道刺激症状，如咽部不适、干咳等
260,10102-43-9,常经数小时至十几小时或更长时间潜伏期后发生迟发性肺水肿、成人呼吸窘迫综合征，出现胸闷、呼吸窘迫、咳嗽、咯泡沫痰、紫绀等
261,10102-43-9,可并发气胸及纵隔气肿
262,10102-43-9,肺水肿消退后两周左右可出现迟发性阻塞性细支气管炎
263,10102-43-9,一氧化氮浓度高可致高铁血红蛋白血症
264,10102-43-9,慢性影响：主要表现为神经衰弱综合征及慢性呼吸道炎症
265,10102-43-9,个别病例出现肺纤维化
266,10102-43-9,可引起牙齿酸蚀症
267,10102-49-5,高毒
268,10102-49-5,吸入、摄入会中毒，引起吞咽困难、腹痛、突发性呕吐、休克、麻痹等症状
269,10102-49-5,砷化合物属致癌物
270,10103-50-1,高毒
271,10103-50-1,吸入、摄入会中毒，引起吞咽困难、腹痛、突发性呕吐、休克、麻痹等症状
272,10103-50-1,砷化合物属致癌物
273,10103-50-1,受热分解释出有毒的砷烟雾
274,10103-61-4,口服砷化合物引起急性胃肠炎、休克、周围神经病、中毒性心肌炎、肝炎，以及抽搐、昏迷等，甚至死亡
275,10103-61-4,大量吸入亦可引起急性中毒，但消化道症状较轻
276,10103-61-4,"
慢性中毒：长期接触砷化合物引起消化系统症状，肝肾损害，皮肤色素沉着、角化过度或疣状增生，多发性神经炎等"
277,10103-61-4,"
砷和砷化合物为对人致癌物，可引起肺癌、皮肤癌"
278,10108-64-2,误食后可出现急剧的胃肠道刺激症状，有恶心、呕吐、腹痛、腹泻、里急后重、全身乏力、肌肉疼痛和虚脱等，重者危及生命
279,10108-73-3,至今尚未见铈及其化合物职业性中毒的报告
280,10108-73-3,但高浓度时对肝脏有毒性作用
281,10108-73-3,生产中应防止溅入眼内，以免引起眼损害
282,10118-76-0,无人中毒资料
283,10118-76-0,可能具有刺激性
284,10124-36-4,急性中毒，吸入可引起呼吸道刺激症状，可发生化学性肺炎、肺水肿；误食后可引起急剧的胃肠道刺激症状，有恶心、呕吐、腹泻、腹痛、里急后重、全身乏力、肌肉疼痛和虚脱等；慢性中毒，慢性中毒以肺气肿、肾功能损害（蛋白尿）为主要表现，其次还有缺铁性贫血、嗅觉减退或丧失等
285,10124-43-3,本品粉尘对眼、鼻、呼吸道及胃肠道粘膜有刺激作用
286,10124-43-3,引起咳嗽、呕吐、腹绞痛、体温上升、小腿无力等
287,10124-43-3,皮肤接触可引起过敏性皮炎、接触性皮炎
288,10124-48-8,急性中毒一般起病急，有头痛、头晕、乏力、低热、口腔炎、呼吸道刺激症状、肺炎
289,10124-48-8,对肾有损害
290,10124-48-8,慢性中毒表现有神经衰弱、震颤、口腔炎、齿龈有汞线等
291,10124-50-2,砷及其化合物对体内酶蛋白的巯基有特殊亲和力
292,10124-50-2,急性中毒：口服致急性胃肠炎、休克、周围神经病、贫血及中毒性肝病，心肌炎等
293,10124-50-2,可因呼吸中枢麻痹而死亡
294,10124-50-2,短期内大量吸入可致咳嗽、胸痛、呼吸困难、头痛、头晕等
295,10124-50-2,消化道症状较轻，其他症状似口服
296,10124-50-2,重者可致死
297,10124-50-2,慢性中毒：长期接触较高浓度粉尘引起慢性中毒，主要有神经衰弱综合征，多发性神经病，肝损害，鼻炎、鼻中隔穿孔，支气管炎等
298,10124-50-2,砷和砷化合物为对人致癌物，可引起肺癌、皮肤癌
299,10137-69-6,具腐蚀性和刺激作用
300,10137-69-6,受热分解释出氯气
301,10138-60-0,对眼睛、皮肤有刺激作用；吸入、摄入或经皮肤吸收后可能致死
302,10139-58-9,毒性很小，迄今未见有中毒病例报告
303,10139-58-9,但其热解可放出有毒的氮氧化物气体
304,10141-05-6,皮肤长期反复接触有致敏性
305,10141-05-6,长期反复吸入对呼吸道有致敏性，可致哮喘
306,10141-05-6,本品对心脏、甲状腺和骨髓有影响，可致心肌病、甲状腺肿和红细胞增多症
307,10192-29-7,口服急性中毒，表现为高铁血红蛋白血症，胃肠炎，肝肾损伤，甚至窒息
308,102-27-2,本品具强烈的刺激性
309,102-27-2,吸入蒸气、误食或经皮吸收均可引起中毒
310,102-27-2,吸收进入体内后可引起高铁血红蛋白血症，出现紫绀
311,102-36-3,吸入、摄入或经皮肤吸收后会中毒
312,102-36-3,刺激作用较强，人在 0. 66mg/m3 浓度下暴露1min即可感到刺激作用
313,102-47-6,有强麻醉性
314,102-47-6,极微量即能刺激皮肤、眼睛和粘膜
315,102-47-6,接触引起烧灼感、咳嗽、眩晕、气短、头痛、恶心和呕吐
316,102-47-6,吸入可引起喉炎，支气管炎，化学性肺炎，肺水肿
317,102-69-2,蒸气或雾对眼、黏膜和上呼吸道有刺激性
318,102-69-2,对皮肤有刺激性
319,102-70-5,本品蒸气或雾对鼻、喉和肺部有刺激性，高浓度吸入可引起肺水肿
320,102-70-5,中毒者可出现头痛、头晕、恶心等症状
321,102-70-5,液体、雾或蒸气对眼有刺激性
322,102-70-5,本品对皮肤有刺激性，重者可致灼伤；可经皮吸收引起中毒
323,102-70-5,摄入本品液体，引起口腔及消化道烧灼感，并出现恶心、头痛、眩晕等症状
324,102-81-8,本品具有刺激性
325,102-82-9,蒸气对呼吸道有刺激性，可引起咳嗽、呼吸困难，甚至发生肺水肿；引起流泪、结膜炎和角膜水肿
326,102-82-9,对中枢神经系统有刺激作用
327,102-82-9,眼和皮肤直接接触可致灼伤
328,102-82-9,对皮肤有致敏性
329,10217-52-4,吸入本品蒸气，刺激鼻和上呼吸道
330,10217-52-4,此外，尚可出现头晕、恶心、呕吐和中枢神经系统症状
331,10217-52-4,液体或蒸气对眼有刺激作用，可致眼的永久性损害
332,10217-52-4,对皮肤有刺激性，可造成严重灼伤
333,10217-52-4,可经皮肤吸收引起中毒
334,10217-52-4,可致皮炎
335,10217-52-4,"口
服引起头晕、恶心，以后出现暂时性中枢性呼吸抑制、心律紊乱．以及中枢神经系统症状，如嗜睡、运动障碍、共济失调、麻木等"
336,10217-52-4,肝功能可出现异常
337,10217-52-4,慢性影响：长期接触可出现神经衰弱综合征，肝大及肝功能异常
338,10241-05-1,本品对眼睛、皮肤、黏膜和上呼吸道有刺激性
339,10265-92-6,抑制胆碱酯酶活性，造成神经生理功能紊乱
340,10265-92-6,急性中毒：短期内接触(口服、吸入、皮肤、黏膜)大量引起急性中毒
341,10265-92-6,表现有头痛、头昏、食欲减退、恶心、呕吐、腹痛、腹泻、流涎、瞳孔缩小、呼吸道分泌物增多、多汗、肌束震颤等
342,10265-92-6,重者出现肺水肿、脑水肿、昏迷、呼吸麻痹
343,10265-92-6,部分病例可有心、肝、肾损害
344,10265-92-6,少数严重病例在意识恢复后数周或数月发生周围神经病
345,10265-92-6,个别严重病例可发生迟发性猝死
346,10265-92-6,血胆碱酯酶活性降低
347,10265-92-6,慢性中毒：尚有争论
348,10265-92-6,有神经衰弱综合征、多汗、肌束震颤等
349,10265-92-6,血胆碱酯酶活性降低
350,10290-12-7,吸入引起呼吸道及神经系统症状，重者出现中枢神经系统症状，也可因呼吸中枢麻痹而死亡
351,10290-12-7,口服引起急性胃肠炎，并出现头痛、出冷汗、黄疸及肝、肾损害
352,10294-33-4,对眼睛、皮肤、黏膜和呼吸道有强烈的刺激作用
353,10294-33-4,可引起眼和皮肤灼伤
354,10294-34-5,对接触部位有强烈刺激性和腐蚀性
355,10294-34-5,急性中毒表现为化学性肺炎
356,10294-34-5,液体迅速蒸发可引起冻伤
357,10294-56-1,"Inhalation:Irritation may lead to chemical pneumonitis and pulmonary edema. Causes severe irritation of upper respiratory tract with coughing, burns, breathing difficulty, and possible coma. Aspiration may lead to pulmonary edema. May cause systemic effects.Skin:Contact with liquid is corrosive and causes severe burns and ulceration. May cause skin rash (in milder cases), and cold and clammy skin with cyanosis or pale color.Eyes:Contact with liquid is corrosive to the eyes and causes severe burns. May cause chemical conjunctivitis and corneal damage.Ingestion:Causes gastrointestinal tract burns. May cause perforation of the digestive tract. Causes severe pain, nausea, vomiting, diarrhea, and shock. May cause hemorrhaging of the digestive tract. May cause corrosion and permanent tissue destruction of the esophagus and digestive tract. May cause systemic effects."
358,103-65-1,对眼和上呼吸道有刺激性，对中枢神经系统有麻醉作用
359,103-69-5,毒性与苯胺相似，但稍弱
360,103-69-5,能引起高铁血红蛋白血症，造成组织缺氧，对中枢神经系统及其他脏器有损害
