,CAS,吸入
64,100-35-6,保持呼吸道通畅
65,100-35-6,如呼吸困难，给输氧
66,100-35-6,如呼吸停止，立即进行人工呼吸
67,100-35-6,就医
68,100-36-7,迅速脱离现场至空气新鲜处
69,100-36-7,保持呼吸道通畅
70,100-36-7,如呼吸困难，给输氧
71,100-36-7,如呼吸停止，立即进行人工呼吸
72,100-36-7,就医
73,100-37-8,迅速脱离现场至空气新鲜处
74,100-37-8,保持呼吸道通畅
75,100-37-8,如呼吸困难，给输氧
76,100-37-8,呼吸、心跳停止，立即进行心肺复苏术
77,100-37-8,就医
78,100-39-0,迅速脱离现场至空气新鲜处
79,100-39-0,保持呼吸道通畅
80,100-39-0,如呼吸困难，给输氧
81,100-39-0,呼吸、心跳停止，立即进行心肺复苏术
82,100-39-0,就医
83,100-40-3,脱离现场至空气新鲜处
84,100-40-3,如呼吸困难，给输氧
85,100-40-3,就医
86,100-41-4,迅速脱离现场至空气新鲜处
87,100-41-4,保持呼吸道通畅
88,100-41-4,如呼吸困难，给输氧
89,100-41-4,呼吸、心跳停止，立即进行心肺复苏术
90,100-41-4,就医
91,100-42-5,迅速脱离现场至空气新鲜处
92,100-42-5,保持呼吸道通畅
93,100-42-5,如呼吸困难，给输氧
94,100-42-5,呼吸、心跳停止，立即进行心肺复苏术
95,100-42-5,就医
96,100-43-6,迅速脱离现场至空气新鲜处
97,100-43-6,保持呼吸道通畅
98,100-43-6,如呼吸困难，给输氧
99,100-43-6,如呼吸停止，立即进行人工呼吸
100,100-43-6,就医
101,100-44-7,迅速脱离现场至空气新鲜处
102,100-44-7,保持呼吸道通畅
103,100-44-7,如呼吸困难，给输氧
104,100-44-7,呼吸、心跳停止，立即进行心肺复苏术
105,100-44-7,就医
106,100-46-9,迅速脱离现场至空气新鲜处
107,100-46-9,保持呼吸道通畅
108,100-46-9,如呼吸困难，给输氧
109,100-46-9,如呼吸停止，立即进行人工呼吸
110,100-46-9,就医
111,100-47-0,迅速脱离现场至空气新鲜处
112,100-47-0,保持呼吸道通畅
113,100-47-0,如呼吸困难，给输氧
114,100-47-0,呼吸、心跳停止，立即进行人工呼吸(勿用口对口)和胸外心脏按压术
115,100-47-0,就医
116,100-50-5,迅速脱离现场至空气新鲜处
117,100-50-5,保持呼吸道通畅
118,100-50-5,如呼吸困难，给输氧
119,100-50-5,如呼吸停止，立即进行人工呼吸
120,100-50-5,就医
121,100-53-8,迅速脱离现场至空气新鲜处
122,100-53-8,保持呼吸道通畅
123,100-53-8,如呼吸困难，给输氧
124,100-53-8,呼吸、心跳停止，立即进行心肺复苏术
125,100-53-8,就医
126,100-56-1,迅速脱离现场至空气新鲜处
127,100-56-1,保持呼吸道通畅
128,100-56-1,如呼吸困难，给输氧
129,100-56-1,如呼吸停止，立即进行人工呼吸
130,100-56-1,就医
131,100-61-8,迅速脱离现场至空气新鲜处
132,100-61-8,保持呼吸道通畅
133,100-61-8,如呼吸困难，给输氧
134,100-61-8,呼吸、心跳停止，立即进行心肺复苏术
135,100-61-8,就医
136,100-63-0,迅速脱离现场至空气新鲜处
137,100-63-0,保持呼吸道通畅
138,100-63-0,如呼吸困难，给输氧
139,100-63-0,呼吸、心跳停止，立即进行心肺复苏术
140,100-63-0,就医
141,100-66-3,迅速脱离现场至空气新鲜处
142,100-66-3,保持呼吸道通畅
143,100-66-3,如呼吸困难，给输氧
144,100-66-3,呼吸、心跳停止，立即进行心肺复苏术
145,100-66-3,就医
146,100-69-6,迅速脱离现场至空气新鲜处
147,100-69-6,保持呼吸道通畅
148,100-69-6,如呼吸困难，给输氧
149,100-69-6,如呼吸停止，立即进行人工呼吸
150,100-69-6,就医
151,100-71-0,迅速脱离现场至空气新鲜处
152,100-71-0,保持呼吸道通畅
153,100-71-0,如呼吸困难，给输氧
154,100-71-0,如呼吸停止，立即进行人工呼吸
155,100-71-0,就医
156,100-73-2,迅速脱离现场至空气新鲜处
157,100-73-2,保持呼吸道通畅
158,100-73-2,如呼吸困难，给输氧
159,100-73-2,如呼吸停止，立即进行人工呼吸
160,100-73-2,就医
161,100-74-3,迅速脱离现场至空气新鲜处
162,100-74-3,保持呼吸道通畅
163,100-74-3,如呼吸困难，给输氧
164,100-74-3,如呼吸停止，立即进行人工呼吸
165,100-74-3,就医
166,100-97-0,迅速脱离现场至空气新鲜处
167,100-97-0,保持呼吸道通畅
168,100-97-0,如呼吸困难，给输氧
169,100-97-0,呼吸、心跳停止，立即进行心肺复苏术
170,100-97-0,就医
171,100-99-2,迅速脱离现场至空气新鲜处
172,100-99-2,保持呼吸道通畅
173,100-99-2,如呼吸困难，给输氧
174,100-99-2,呼吸、心跳停止，立即进行心肺复苏术
175,100-99-2,就医
176,1002-16-0,迅速脱离现场至空气新鲜处
177,1002-16-0,保持呼吸道通畅
178,1002-16-0,如呼吸困难，给输氧
179,1002-16-0,呼吸、心跳停止，立即进行心肺复苏术
180,1002-16-0,就医
181,10022-31-8,迅速脱离现场至空气新鲜处
182,10022-31-8,保持呼吸道通畅
183,10022-31-8,如呼吸困难，给输氧
184,10022-31-8,呼吸、心跳停止，立即进行心肺复苏术
185,10022-31-8,就医
186,10024-97-2,迅速脱离现场至空气新鲜处
187,10024-97-2,保持呼吸道通畅
188,10024-97-2,如呼吸困难，给输氧
189,10024-97-2,呼吸、心跳停止，立即进行心肺复苏术
190,10024-97-2,就医
191,10025-68-0,迅速脱离现场至空气新鲜处
192,10025-68-0,保持呼吸道通畅
193,10025-68-0,如呼吸困难，给输氧
194,10025-68-0,呼吸、心跳停止，立即进行心肺复苏术
195,10025-68-0,就医
196,10025-78-2,迅速脱离现场至空气新鲜处
197,10025-78-2,保持呼吸道通畅
198,10025-78-2,如呼吸困难，给输氧
199,10025-78-2,呼吸、心跳停止，立即进行心肺复苏术
200,10025-78-2,就医
201,10025-87-3,迅速脱离现场至空气新鲜处
202,10025-87-3,保持呼吸道通畅
203,10025-87-3,如呼吸困难，给输氧
204,10025-87-3,呼吸、心跳停止，立即进行心肺复苏术
205,10025-87-3,就医
206,10025-91-9,迅速脱离现场至空气新鲜处
207,10025-91-9,保持呼吸道通畅
208,10025-91-9,如呼吸困难，给输氧
209,10025-91-9,呼吸、心跳停止，立即进行心肺复苏术
210,10025-91-9,就医
211,10026-03-6,脱离现场至空气新鲜处
212,10026-03-6,就医
213,10026-04-7,迅速脱离现场至空气新鲜处
214,10026-04-7,保持呼吸道通畅
215,10026-04-7,如呼吸困难，给输氧
216,10026-04-7,呼吸、心跳停止，立即进行心肺复苏术
217,10026-04-7,就医
218,10026-11-6,迅速脱离现场至空气新鲜处
219,10026-11-6,保持呼吸道通畅
220,10026-11-6,如呼吸困难，给输氧
221,10026-11-6,呼吸、心跳停止，立即进行心肺复苏术
222,10026-11-6,就医
223,10026-12-7,脱离现场至空气新鲜处
224,10026-12-7,如呼吸困难，给输氧
225,10026-12-7,就医
226,10026-13-8,迅速脱离现场至空气新鲜处
227,10026-13-8,保持呼吸道通畅
228,10026-13-8,如呼吸困难，给输氧
229,10026-13-8,呼吸、心跳停止，立即进行心肺复苏术
230,10026-13-8,就医
231,10026-17-2,迅速脱离现场至空气新鲜处
232,10026-17-2,保持呼吸道通畅
233,10026-17-2,如呼吸困难，给输氧
234,10026-17-2,如呼吸停止，立即进行人工呼吸
235,10026-17-2,就医
236,10026-18-3,迅速脱离现场至空气新鲜处；保持呼吸道通畅；如呼吸困难，给输氧；如呼吸停止，立即进行人工呼吸；就医
237,1003-03-8,脱离现场至空气新鲜处
238,1003-03-8,如呼吸困难，给输氧
239,1003-03-8,就医
240,10031-13-7,迅速脱离现场至空气新鲜处
241,10031-13-7,保持呼吸道通畅
242,10031-13-7,如呼吸困难，给输氧
243,10031-13-7,如呼吸停止，立即进行人工呼吸
244,10031-13-7,就医
245,10031-18-2,迅速脱离现场至空气新鲜处
246,10031-18-2,保持呼吸道通畅
247,10031-18-2,如呼吸困难，给输氧
248,10031-18-2,呼吸、心跳停止，立即进行心肺复苏术
249,10031-18-2,就医
250,10031-43-3,迅速脱离现场至空气新鲜处
251,10031-43-3,保持呼吸道通畅
252,10031-43-3,如呼吸困难，给输氧
253,10031-43-3,如呼吸停止，立即进行人工呼吸
254,10031-43-3,就医
255,10034-81-8,迅速脱离现场至空气新鲜处
256,10034-81-8,保持呼吸道通畅
257,10034-81-8,如呼吸困难，给输氧
258,10034-81-8,呼吸、心跳停止，立即进行心肺复苏术
259,10034-81-8,就医
260,10034-85-2,迅速脱离现场至空气新鲜处
261,10034-85-2,保持呼吸道通畅
262,10034-85-2,如呼吸困难，给输氧
263,10034-85-2,呼吸、心跳停止，立即进行心肺复苏术
264,10034-85-2,就医
265,10035-10-6,迅速脱离现场至空气新鲜处
266,10035-10-6,保持呼吸道通畅
267,10035-10-6,如呼吸困难，给输氧
268,10035-10-6,呼吸、心跳停止，立即进行心肺复苏术
269,10035-10-6,就医
270,10036-47-2,迅速脱离现场至空气新鲜处
271,10036-47-2,保持呼吸道通畅
272,10036-47-2,如呼吸困难，给输氧
273,10036-47-2,如呼吸停止，立即进行人工呼吸
274,10036-47-2,就医
275,10038-98-9,迅速脱离现场至空气新鲜处
276,10038-98-9,保持呼吸道通畅
277,10038-98-9,如呼吸困难，给输氧
278,10038-98-9,呼吸、心跳停止，立即进行心肺复苏术
279,10038-98-9,就医
280,10039-54-0,迅速脱离现场至空气新鲜处
281,10039-54-0,保持呼吸道通畅
282,10039-54-0,如呼吸困难，给输氧
283,10039-54-0,如呼吸停止，立即进行人工呼吸
284,10039-54-0,就医
285,10042-76-9,迅速脱离现场至空气新鲜处
286,10042-76-9,保持呼吸道通畅
287,10042-76-9,如呼吸困难，给输氧
288,10042-76-9,如呼吸停止，立即进行人工呼吸
289,10042-76-9,就医
290,10043-35-3,脱离现场至空气新鲜处
291,10043-35-3,如呼吸困难，给输氧
292,10043-35-3,就医
293,10045-94-0,迅速脱离现场至空气新鲜处
294,10045-94-0,保持呼吸道通畅
295,10045-94-0,如呼吸困难，给输氧
296,10045-94-0,呼吸、心跳停止，立即进行心肺复苏术
297,10045-94-0,就医
298,10049-04-4,迅速脱离现场至空气新鲜处
299,10049-04-4,保持呼吸道通畅
300,10049-04-4,如呼吸困难，给输氧
301,10049-04-4,如呼吸停止，立即进行人工呼吸
302,10049-04-4,就医
303,10099-59-9,迅速脱离现场至空气新鲜处
304,10099-59-9,保持呼吸道通畅
305,10099-59-9,如呼吸困难，给输氧
306,10099-59-9,呼吸、心跳停止，立即进行心肺复苏术
307,10099-59-9,就医
308,10099-74-8,迅速脱离现场至空气新鲜处
309,10099-74-8,保持呼吸道通畅
310,10099-74-8,如呼吸困难，给输氧
311,10099-74-8,呼吸、心跳停止，立即进行心肺复苏术
312,10099-74-8,就医
313,10099-76-0,迅速脱离现场至空气新鲜处
314,10099-76-0,保持呼吸道通畅
315,10099-76-0,如呼吸困难，给输氧
316,10099-76-0,如呼吸停止，立即进行人工呼吸
317,10099-76-0,就医
318,101-02-0,脱离现场至空气新鲜处
319,101-02-0,如呼吸困难，给输氧
320,101-02-0,就医
321,101-14-4,"IMMEDIATELY leave the contaminated area; take deep breaths of fresh air. IMMEDIATELY call a physician and be prepared to transport the victim to a hospital even if no symptoms (such as wheezing, coughing, shortness of breath, or burning in the mouth, throat, or chest) develop. Provide proper respiratory protection to rescuers entering an unknown atmosphere. Whenever possible, Self-Contained Breathing Apparatus (SCBA) should be used."
322,101-25-7,迅速脱离现场至空气新鲜处
323,101-25-7,保持呼吸道通畅
324,101-25-7,如呼吸困难，给输氧
325,101-25-7,呼吸、心跳停止，立即进行心肺复苏术
326,101-25-7,就医
327,101-27-9,迅速脱离现场至空气新鲜处
328,101-27-9,保持呼吸道通畅
329,101-27-9,如呼吸困难，给输氧
330,101-27-9,如呼吸停止，立即进行人工呼吸
331,101-27-9,就医
332,101-37-1,迅速脱离现场至空气新鲜处
333,101-37-1,保持呼吸道通畅
334,101-37-1,如呼吸困难，给输氧
335,101-37-1,如呼吸停止，立即进行人工呼吸
336,101-37-1,就医
337,101-54-2,迅速脱离现场至空气新鲜处
338,101-54-2,保持呼吸道通畅
339,101-54-2,如呼吸困难，给输氧
340,101-54-2,如呼吸停止，立即进行人工呼吸
341,101-54-2,就医
342,101-68-8,迅速脱离现场至空气新鲜处
343,101-68-8,保持呼吸道通畅
344,101-68-8,如呼吸困难，给输氧
345,101-68-8,如呼吸停止，立即进行人工呼吸
346,101-68-8,就医
347,101-77-9,迅速脱离现场至空气新鲜处
348,101-77-9,保持呼吸道通畅
349,101-77-9,如呼吸困难，给输氧
350,101-77-9,如呼吸停止，立即进行人工呼吸
351,101-77-9,就医
352,101-82-6,迅速脱离现场至空气新鲜处
353,101-82-6,保持呼吸道通畅
354,101-82-6,如呼吸困难，给输氧
355,101-82-6,如呼吸停止，立即进行人工呼吸
356,101-82-6,就医
357,101-83-7,迅速脱离现场至空气新鲜处
358,101-83-7,保持呼吸道通畅
359,101-83-7,如呼吸困难，给输氧
360,101-83-7,呼吸、心跳停止，立即进行心肺复苏术
361,101-83-7,就医
362,10101-50-5,迅速脱离现场至空气新鲜处
363,10101-50-5,保持呼吸道通畅
364,10101-50-5,如呼吸困难，给输氧
365,10101-50-5,呼吸、心跳停止，立即进行心肺复苏术
366,10101-50-5,就医
367,10102-18-8,迅速脱离现场至空气新鲜处
368,10102-18-8,保持呼吸道通畅
369,10102-18-8,如呼吸困难，给输氧
370,10102-18-8,如呼吸停止，立即进行人工呼吸
371,10102-18-8,就医
372,10102-20-2,迅速脱离现场至空气新鲜处
373,10102-20-2,保持呼吸道通畅
374,10102-20-2,如呼吸困难，给输氧
375,10102-20-2,如呼吸停止，立即进行人工呼吸
376,10102-20-2,就医
377,10102-43-9,迅速脱离现场至空气新鲜处
378,10102-43-9,保持呼吸道通畅
379,10102-43-9,如呼吸困难，给输氧
380,10102-43-9,呼吸、心跳停止，立即进行心肺复苏术
381,10102-43-9,就医
382,10102-44-0,迅速脱离现场至空气新鲜处
383,10102-44-0,保持呼吸道通畅
384,10102-44-0,如呼吸困难，给输氧
385,10102-44-0,如呼吸停止，立即进行人工呼吸
386,10102-44-0,就医
387,10102-45-1,迅速脱离现场至空气新鲜处
388,10102-45-1,保持呼吸道通畅
389,10102-45-1,如呼吸困难，给输氧
390,10102-45-1,如呼吸停止，立即进行人工呼吸
391,10102-45-1,就医
392,10102-49-5,迅速脱离现场至空气新鲜处
393,10102-49-5,保持呼吸道通畅
394,10102-49-5,如呼吸困难，给输氧
395,10102-49-5,如呼吸停止，立即进行人工呼吸
396,10102-49-5,就医
397,10103-50-1,迅速脱离现场至空气新鲜处
398,10103-50-1,保持呼吸道通畅
399,10103-50-1,如呼吸困难，给输氧
400,10103-50-1,如呼吸停止，立即进行人工呼吸
401,10103-50-1,就医
402,10103-61-4,"供给 新 鲜 空 气. 如有 需 要, 提供 人 工 呼 吸. 让病 人 保 暖. 如果 症 状 持 续 则 询 问 医 生.
马上 寻 求 医 生 建 议."
403,10108-64-2,迅速脱离现场至空气新鲜处
404,10108-64-2,保持呼吸道通畅
405,10108-64-2,如呼吸困难，给输氧
406,10108-64-2,呼吸、心跳停止，立即进行心肺复苏术
407,10108-64-2,就医
408,10108-73-3,迅速脱离现场至空气新鲜处
409,10108-73-3,保持呼吸道通畅
410,10108-73-3,如呼吸困难，给输氧
411,10108-73-3,呼吸、心跳停止，立即进行心肺复苏术
412,10108-73-3,就医
413,10112-91-1,迅速脱离现场至空气新鲜处
414,10112-91-1,保持呼吸道通畅
415,10112-91-1,如呼吸困难，给输氧
416,10112-91-1,如呼吸停止，立即进行人工呼吸
417,10112-91-1,就医
418,10118-76-0,迅速脱离现场至空气新鲜处
419,10118-76-0,保持呼吸道通畅
420,10118-76-0,如呼吸困难，给输氧
421,10118-76-0,呼吸、心跳停止，立即进行心肺复苏术
422,10118-76-0,就医
423,10124-36-4,脱离现场至空气新鲜处；注意保暖，呼吸困难时给输氧；呼吸停止时，立即进行人工呼吸；就医
424,10124-37-5,迅速脱离现场至空气新鲜处
425,10124-37-5,保持呼吸道通畅
426,10124-37-5,如呼吸困难，给输氧
427,10124-37-5,如呼吸停止，立即进行人工呼吸
428,10124-37-5,就医
429,10124-43-3,迅速脱离现场至空气新鲜处
430,10124-43-3,保持呼吸道通畅
431,10124-43-3,如呼吸困难，给输氧
432,10124-43-3,如呼吸停止，立即进行人工呼吸
433,10124-43-3,就医
434,10124-48-8,迅速脱离现场至空气新鲜处
435,10124-48-8,保持呼吸道通畅
436,10124-48-8,如呼吸困难，给输氧
437,10124-48-8,如呼吸停止，立即进行人工呼吸
438,10124-48-8,就医
439,10124-50-2,迅速脱离现场至空气新鲜处
440,10124-50-2,保持呼吸道通畅
441,10124-50-2,如呼吸困难，给输氧
442,10124-50-2,呼吸、心跳停止，立即进行心肺复苏术
443,10124-50-2,就医
444,10137-69-6,迅速脱离现场至空气新鲜处
445,10137-69-6,保持呼吸道通畅
446,10137-69-6,如呼吸困难，给输氧
447,10137-69-6,如呼吸停止，立即进行人工呼吸
448,10137-69-6,就医
449,10138-60-0,迅速脱离现场至空气新鲜处
450,10138-60-0,保持呼吸道通畅
451,10138-60-0,如呼吸困难，给输氧
452,10138-60-0,如呼吸停止，立即进行人工呼吸
453,10138-60-0,就医
454,10139-58-9,脱离现场至空气新鲜处
455,10139-58-9,如呼吸困难，给输氧
456,10139-58-9,就医
457,10141-05-6,迅速脱离现场至空气新鲜处
458,10141-05-6,保持呼吸道通畅
459,10141-05-6,如呼吸困难，给输氧
460,10141-05-6,呼吸、心跳停止，立即进行心肺复苏术
461,10141-05-6,就医
462,10192-29-7,迅速脱离现场至空气新鲜处
463,10192-29-7,保持呼吸道通畅
464,10192-29-7,如呼吸困难，给输氧
465,10192-29-7,呼吸、心跳停止，立即进行心肺复苏术
466,10192-29-7,就医
467,102-27-2,迅速脱离现场至空气新鲜处
468,102-27-2,保持呼吸道通畅
469,102-27-2,如呼吸困难，给输氧
470,102-27-2,如呼吸停止，立即进行人工呼吸
471,102-27-2,就医
472,102-36-3,迅速脱离现场至空气新鲜处
473,102-36-3,保持呼吸道通畅
474,102-36-3,如呼吸困难，给输氧
475,102-36-3,如呼吸停止，立即进行人工呼吸
476,102-36-3,就医
477,102-47-6,迅速脱离现场至空气新鲜处
478,102-47-6,保持呼吸道通畅
479,102-47-6,如呼吸困难，给输氧
480,102-47-6,如呼吸停止，立即进行人工呼吸
481,102-47-6,就医
482,102-69-2,迅速脱离现场至空气新鲜处
483,102-69-2,保持呼吸道通畅
484,102-69-2,如呼吸困难，给输氧
485,102-69-2,呼吸、心跳停止，立即进行心肺复苏术
486,102-69-2,就医
487,102-70-5,迅速脱离现场至空气新鲜处
488,102-70-5,保持呼吸道通畅
489,102-70-5,如呼吸困难，给输氧
490,102-70-5,如呼吸停止，立即进行人工呼吸
491,102-70-5,就医
492,102-81-8,迅速脱离现场至空气新鲜处；保持呼吸道通畅；呼吸困难时给输氧；呼吸停止时，立即进行人工呼吸；就医
493,102-82-9,迅速脱离现场至空气新鲜处
494,102-82-9,保持呼吸道通畅
495,102-82-9,如呼吸困难，给输氧
496,102-82-9,呼吸、心跳停止，立即进行心肺复苏术
497,102-82-9,就医
498,10217-52-4,迅速脱离现场至空气新鲜处
499,10217-52-4,保持呼吸道通畅
500,10217-52-4,如呼吸困难，给输氧
501,10217-52-4,呼吸、心跳停止，立即进行心肺复苏术
502,10217-52-4,就医
503,10241-05-1,迅速脱离现场至空气新鲜处
504,10241-05-1,保持呼吸道通畅
505,10241-05-1,如呼吸困难，给输氧
506,10241-05-1,呼吸、心跳停止，立即进行心肺复苏术
507,10241-05-1,就医
508,10265-92-6,迅速脱离现场至空气新鲜处
509,10265-92-6,保持呼吸道通畅
510,10265-92-6,如呼吸困难，给输氧
511,10265-92-6,呼吸、心跳停止，立即进行心肺复苏术
512,10265-92-6,就医
513,10290-12-7,迅速脱离现场至空气新鲜处
514,10290-12-7,保持呼吸道通畅
515,10290-12-7,如呼吸困难，给输氧
516,10290-12-7,如呼吸停止，立即进行人工呼吸
517,10290-12-7,就医
518,10294-33-4,迅速脱离现场至空气新鲜处
519,10294-33-4,保持呼吸道通畅
520,10294-33-4,如呼吸困难，给输氧
521,10294-33-4,呼吸、心跳停止，立即进行心肺复苏术
522,10294-33-4,就医
523,10294-34-5,迅速脱离现场至空气新鲜处
524,10294-34-5,保持呼吸道通畅
525,10294-34-5,如呼吸困难，给输氧
526,10294-34-5,呼吸、心跳停止，立即进行心肺复苏术
527,10294-34-5,就医
528,10294-56-1,"Get medical aid immediately. Remove from exposure to fresh air immediately. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. DO NOT use mouth-to-mouth respiration. If breathing has ceased apply artificial respiration using oxygen and a suitable mechanical device such as a bag and a mask."
529,103-65-1,迅速脱离现场至空气新鲜处
530,103-65-1,保持呼吸道通畅
531,103-65-1,如呼吸困难，给输氧
532,103-65-1,呼吸、心跳停止，立即进行心肺复苏术
533,103-65-1,就医
534,103-69-5,迅速脱离现场至空气新鲜处
535,103-69-5,保持呼吸道通畅
536,103-69-5,如呼吸困难，给输氧
537,103-69-5,呼吸、心跳停止，立即进行心肺复苏术
538,103-69-5,就医
539,103-71-9,迅速脱离现场至空气新鲜处
540,103-71-9,保持呼吸道通畅
541,103-71-9,如呼吸困难，给输氧
542,103-71-9,呼吸、心跳停止，立即进行心肺复苏术
543,103-71-9,就医
544,103-72-0,迅速脱离现场至空气新鲜处
545,103-72-0,保持呼吸道通畅
546,103-72-0,如呼吸困难，给输氧
547,103-72-0,呼吸、心跳停止，立即进行心肺复苏术
548,103-72-0,就医
549,103-80-0,迅速脱离现场至空气新鲜处
550,103-80-0,保持呼吸道通畅
551,103-80-0,如呼吸困难，给输氧
552,103-80-0,呼吸、心跳停止，立即进行心肺复苏术
553,103-80-0,就医
554,103-83-3,迅速脱离现场至空气新鲜处
555,103-83-3,保持呼吸道通畅
556,103-83-3,如呼吸困难，给输氧
557,103-83-3,如呼吸停止，立即进行人工呼吸
558,103-83-3,就医
559,103-84-4,迅速脱离现场至空气新鲜处
560,103-84-4,保持呼吸道通畅
561,103-84-4,如呼吸困难，给输氧
562,103-84-4,如呼吸停止，立即进行人工呼吸
563,103-84-4,就医
564,1031-47-6,迅速脱离现场至空气新鲜处
565,1031-47-6,保持呼吸道通畅
566,1031-47-6,如呼吸困难，给输氧
567,1031-47-6,如呼吸停止，立即进行人工呼吸
568,1031-47-6,就医
569,10311-84-9,迅速脱离现场至空气新鲜处
570,10311-84-9,保持呼吸道通畅
571,10311-84-9,如呼吸困难，给输氧
572,10311-84-9,如呼吸停止，立即进行人工呼吸
573,10311-84-9,就医
574,10325-94-7,迅速脱离现场至空气新鲜处
575,10325-94-7,保持呼吸道通畅
576,10325-94-7,如呼吸困难，给输氧
577,10325-94-7,呼吸、心跳停止，立即进行心肺复苏术
578,10325-94-7,就医
579,10326-21-3,迅速脱离现场至空气新鲜处
580,10326-21-3,保持呼吸道通畅
581,10326-21-3,如呼吸困难，给输氧
582,10326-21-3,呼吸、心跳停止，立即进行心肺复苏术
583,10326-21-3,就医
584,10326-24-6,迅速脱离现场至空气新鲜处
585,10326-24-6,保持呼吸道通畅
586,10326-24-6,如呼吸困难，给输氧
587,10326-24-6,如呼吸停止，立即进行人工呼吸
588,10326-24-6,就医
589,10361-37-2,迅速脱离现场至空气新鲜处
590,10361-37-2,保持呼吸道通畅
591,10361-37-2,如呼吸困难，给输氧
592,10361-37-2,呼吸、心跳停止，立即进行心肺复苏术
593,10361-37-2,就医
594,10361-44-1,迅速脱离现场至空气新鲜处
595,10361-44-1,保持呼吸道通畅
596,10361-44-1,如呼吸困难，给输氧
597,10361-44-1,呼吸、心跳停止，立即进行心肺复苏术
598,10361-44-1,就医
599,10361-95-2,迅速脱离现场至空气新鲜处
600,10361-95-2,保持呼吸道通畅
601,10361-95-2,如呼吸困难，给输氧
602,10361-95-2,如呼吸停止，立即进行人工呼吸
603,10361-95-2,就医
604,10377-60-3,迅速脱离现场至空气新鲜处
605,10377-60-3,保持呼吸道通畅
606,10377-60-3,如呼吸困难，给输氧
607,10377-60-3,呼吸、心跳停止，立即进行心肺复苏术
608,10377-60-3,就医
609,104-51-8,迅速脱离现场至空气新鲜处
610,104-51-8,保持呼吸道通畅
611,104-51-8,如呼吸困难，给输氧
612,104-51-8,呼吸、心跳停止，立即进行心肺复苏术
613,104-51-8,就医
614,104-75-6,迅速脱离现场至空气新鲜处
615,104-75-6,保持呼吸道通畅
616,104-75-6,如呼吸困难，给输氧
617,104-75-6,呼吸、心跳停止，立即进行心肺复苏术
618,104-75-6,就医
619,104-78-9,迅速脱离现场至空气新鲜处
620,104-78-9,保持呼吸道通畅
621,104-78-9,如呼吸困难，给输氧
622,104-78-9,如呼吸停止，立即进行人工呼吸
623,104-78-9,就医
624,104-83-6,脱离现场至空气新鲜处
625,104-83-6,如呼吸困难，给输氧
626,104-83-6,就医
627,104-85-8,迅速脱离现场至空气新鲜处
628,104-85-8,保持呼吸道通畅
