,CAS,应急行动
85,100-28-7,用洁净的铲子收集于干燥、洁净、有盖的容器中，转移至安全场所
86,100-28-7,若大量泄漏，收集回收或运至废物处理场所处置
87,100-29-8,隔离泄漏污染区，限制出入
88,100-29-8,消除所有点火源
89,100-29-8,建议应急处理人员戴防尘口罩，穿一般作业工作服，戴橡胶手套
90,100-29-8,尽可能切断泄漏源
91,100-29-8,用塑料布覆盖泄漏物，减少飞散
92,100-29-8,勿使水进入包装容器内
93,100-29-8,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
94,100-35-6,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
95,100-35-6,切断火源
96,100-35-6,建议应急处理人员戴自给正压式呼吸器，穿防毒服
97,100-35-6,从上风处进入现场
98,100-35-6,不要直接接触泄漏物
99,100-35-6,尽可能切断泄漏源
100,100-35-6,防止流入下水道、排洪沟等限制性空间
101,100-35-6,小量泄漏：用砂土吸收
102,100-35-6,大量泄漏：构筑围堤或挖坑收容
103,100-35-6,用泡沫覆盖，降低蒸气灾害
104,100-35-6,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
105,100-36-7,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
106,100-36-7,切断火源
107,100-36-7,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
108,100-36-7,尽可能切断泄漏源
109,100-36-7,防止流入下水道、排洪沟等限制性空间
110,100-36-7,小量泄漏：用砂土、干燥石灰或苏打灰混合
111,100-36-7,也可以用大量水冲洗，洗水稀释后放入废水系统
112,100-36-7,大量泄漏：构筑围堤或挖坑收容
113,100-36-7,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
114,100-37-8,消除所有点火源
115,100-37-8,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
116,100-37-8,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶手套
117,100-37-8,作业时使用的所有设备应接地
118,100-37-8,禁止接触或跨越泄漏物
119,100-37-8,尽可能切断泄漏源
120,100-37-8,防止泄漏物进入水体、下水道、地下室或限制性空间
121,100-37-8,小量泄漏：用砂土或其他不燃材料吸收
122,100-37-8,使用洁净的无火花工具收集吸收材料
123,100-37-8,大量泄漏：构筑围堤或挖坑收容
124,100-37-8,用抗溶性泡沫覆盖，减少蒸发
125,100-37-8,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
126,100-37-8,用防爆、耐腐蚀泵转移至槽车或专用收集器内
127,100-39-0,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
128,100-39-0,建议应急处理人员戴正压自给式呼吸器，穿防毒服，戴橡胶耐油手套
129,100-39-0,作业时使用的所有设备应接地
130,100-39-0,穿上适当的防护服前严禁接触破裂的容器和泄漏物
131,100-39-0,尽可能切断泄漏源
132,100-39-0,防止泄漏物进入水体、下水道、地下室或限制性空间
133,100-39-0,严禁用水处理
134,100-39-0,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物
135,100-39-0,大量泄漏：构筑围堤或挖坑收容
136,100-39-0,用泵转移至槽车或专用收集器内
137,100-40-3,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
138,100-40-3,切断火源
139,100-40-3,建议应急处理人员戴自给正压式呼吸器，穿防静电工作服
140,100-40-3,尽可能切断泄漏源
141,100-40-3,防止流入下水道、排洪沟等限制性空间
142,100-40-3,小量泄漏：用活性炭或其它惰性材料吸收
143,100-40-3,大量泄漏：构筑围堤或挖坑收容
144,100-40-3,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
145,100-41-4,消除所有点火源
146,100-41-4,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
147,100-41-4,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
148,100-41-4,作业时使用的所有设备应接地
149,100-41-4,禁止接触或跨越泄漏物
150,100-41-4,尽可能切断泄漏源
151,100-41-4,防止泄漏物进入水体、下水道、地下室或限制性空间
152,100-41-4,小量泄漏：用砂土或其他不燃材料吸收
153,100-41-4,使用洁净的无火花工具收集吸收材料
154,100-41-4,大量泄漏：构筑围堤或挖坑收容
155,100-41-4,用砂土、惰性物质或蛭石吸收大量液体
156,100-41-4,用泡沫覆盖，减少蒸发
157,100-41-4,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
158,100-41-4,用防爆泵转移至槽车或专用收集器内
159,100-42-5,消除所有点火源
160,100-42-5,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
161,100-42-5,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
162,100-42-5,作业时使用的所有设备应接地
163,100-42-5,禁止接触或跨越泄漏物
164,100-42-5,尽可能切断泄漏源
165,100-42-5,防止泄漏物进入水体、下水道、地下室或限制性空间
166,100-42-5,小量泄漏：用砂土或其他不燃材料吸收
167,100-42-5,使用洁净的无火花工具收集吸收材料
168,100-42-5,大量泄漏：构筑围堤或挖坑收容
169,100-42-5,用砂土、惰性物质或蛭石吸收大量液体
170,100-42-5,用泡沫覆盖，减少蒸发
171,100-42-5,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
172,100-42-5,用防爆泵转移至槽车或专用收集器内
173,100-43-6,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
174,100-43-6,切断火源
175,100-43-6,建议应急处理人员戴自给式呼吸器，穿全棉防毒服
176,100-43-6,不要直接接触泄漏物
177,100-43-6,尽可能切断泄漏源
178,100-43-6,防止流入下水道、排洪沟等限制性空间
179,100-43-6,小量泄漏：用砂土、蛭石或其它惰性材料吸收
180,100-43-6,大量泄漏：构筑围堤或挖坑收容
181,100-43-6,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
182,100-44-7,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
183,100-44-7,建议应急处理人员戴正压自给式呼吸器，穿防毒服，戴橡胶耐油手套
184,100-44-7,作业时使用的所有设备应接地
185,100-44-7,穿上适当的防护服前严禁接触破裂的容器和泄漏物
186,100-44-7,尽可能切断泄漏源
187,100-44-7,防止泄漏物进入水体、下水道、地下室或限制性空间
188,100-44-7,严禁用水处理
189,100-44-7,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物
190,100-44-7,大量泄漏：构筑围堤或挖坑收容
191,100-44-7,用泵转移至槽车或专用收集器内
192,100-46-9,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
193,100-46-9,切断火源
194,100-46-9,建议应急处理人员戴自给正压式呼吸器，穿防毒服
195,100-46-9,尽可能切断泄漏源
196,100-46-9,防止流入下水道、排洪沟等限制性空间
197,100-46-9,小量泄漏：用砂土、蛭石或其它惰性材料吸收
198,100-46-9,也可以用大量水冲洗，洗水稀释后放入废水系统
199,100-46-9,大量泄漏：构筑围堤或挖坑收容
200,100-46-9,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
201,100-47-0,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
202,100-47-0,建议应急处理人员戴正压自给式呼吸器，穿防毒服，戴橡胶耐油手套
203,100-47-0,穿上适当的防护服前严禁接触破裂的容器和泄漏物
204,100-47-0,尽可能切断泄漏源
205,100-47-0,防止泄漏物进入水体、下水道、地下室或限制性空间
206,100-47-0,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
207,100-47-0,大量泄漏：构筑围堤或挖坑收容
208,100-47-0,用泵转移至槽车或专用收集器内
209,100-50-5,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
210,100-50-5,切断火源
211,100-50-5,建议应急处理人员戴自给正压式呼吸器，穿防毒服
212,100-50-5,尽可能切断泄漏源
213,100-50-5,防止流入下水道、排洪沟等限制性空间
214,100-50-5,小量泄漏：用砂土、蛭石或其它惰性材料吸收
215,100-50-5,大量泄漏：构筑围堤或挖坑收容
216,100-50-5,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
217,100-53-8,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
218,100-53-8,消除所有点火源
219,100-53-8,建议应急处理人员戴正压自给式呼吸器，穿防毒、防静电服，戴防化学品手套
220,100-53-8,作业时使用的所有设备应接地
221,100-53-8,禁止接触或跨越泄漏物
222,100-53-8,尽可能切断泄漏源
223,100-53-8,防止泄漏物进入水体、下水道、地下室或限制性空间
224,100-53-8,小量泄漏：用砂土或其他不燃材料吸收
225,100-53-8,使用洁净的无火花工具收集吸收材料
226,100-53-8,大量泄漏：构筑围堤或挖坑收容
227,100-53-8,用泡沫覆盖，减少蒸发
228,100-53-8,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
229,100-53-8,用防爆泵转移至槽车或专用收集器内
230,100-56-1,隔离泄漏污染区，限制出入
231,100-56-1,切断火源
232,100-56-1,建议应急处理人员戴防尘口罩，穿防毒服
233,100-56-1,不要直接接触泄漏物
234,100-56-1,小量泄漏：避免扬尘，小心扫起，收集于干燥、洁净、有盖的容器中
235,100-56-1,大量泄漏：收集回收或运至废物处理场所处置
236,100-61-8,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
237,100-61-8,消除所有点火源
238,100-61-8,建议应急处理人员戴正压自给式呼吸器，穿防毒服，戴橡胶耐油手套
239,100-61-8,穿上适当的防护服前严禁接触破裂的容器和泄漏物
240,100-61-8,尽可能切断泄漏源
241,100-61-8,防止泄漏物进入水体、下水道、地下室或限制性空间
242,100-61-8,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
243,100-61-8,大量泄漏：构筑围堤或挖坑收容
244,100-61-8,用泵转移至槽车或专用收集器内
245,100-63-0,隔离泄漏污染区，限制出入
246,100-63-0,消除所有点火源
247,100-63-0,建议应急处理人员戴防尘口罩，穿防毒服，戴橡胶耐油手套
248,100-63-0,穿上适当的防护服前严禁接触破裂的容器和泄漏物
249,100-63-0,尽可能切断泄漏源
250,100-63-0,用塑料布覆盖泄漏物，减少飞散
251,100-63-0,勿使水进入包装容器内
252,100-63-0,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
253,100-66-3,消除所有点火源
254,100-66-3,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
255,100-66-3,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
256,100-66-3,作业时使用的所有设备应接地
257,100-66-3,禁止接触或跨越泄漏物
258,100-66-3,尽可能切断泄漏源
259,100-66-3,防止泄漏物进入水体、下水道、地下室或限制性空间
260,100-66-3,小量泄漏：用砂土或其他不燃材料吸收
261,100-66-3,使用洁净的无火花工具收集吸收材料
262,100-66-3,大量泄漏：构筑围堤或挖坑收容
263,100-66-3,用砂土、惰性物质或蛭石吸收大量液体
264,100-66-3,用泡沫覆盖，减少蒸发
265,100-66-3,喷水雾能减少蒸发，但不能降低泄漏物在限制性空间内的易燃性
266,100-66-3,用防爆泵转移至槽车或专用收集器内
267,100-69-6,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
268,100-69-6,切断火源
269,100-69-6,建议应急处理人员戴自给正压式呼吸器，穿防毒服
270,100-69-6,尽可能切断泄漏源
271,100-69-6,防止流入下水道、排洪沟等限制性空间
272,100-69-6,小量泄漏：用砂土、蛭石或其它惰性材料吸收
273,100-69-6,也可以用大量水冲洗，洗水稀释后放入废水系统
274,100-69-6,大量泄漏：构筑围堤或挖坑收容
275,100-69-6,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
276,100-71-0,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
277,100-71-0,切断火源
278,100-71-0,建议应急处理人员戴自给式呼吸器，穿全棉防毒服
279,100-71-0,不要直接接触泄漏物
280,100-71-0,尽可能切断泄漏源
281,100-71-0,防止流入下水道、排洪沟等限制性空间
282,100-71-0,小量泄漏：用砂土或其它不燃材料吸附或吸收
283,100-71-0,大量泄漏：构筑围堤或挖坑收容
284,100-71-0,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
285,100-73-2,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
286,100-73-2,切断火源
287,100-73-2,建议应急处理人员戴自给式呼吸器，穿防静电工作服
288,100-73-2,不要直接接触泄漏物
289,100-73-2,尽可能切断泄漏源
290,100-73-2,防止流入下水道、排洪沟等限制性空间
291,100-73-2,小量泄漏：用砂土吸收
292,100-73-2,大量泄漏：构筑围堤或挖坑收容
293,100-73-2,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
294,100-74-3,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入
295,100-74-3,切断火源
296,100-74-3,建议应急处理人员戴自给正压式呼吸器，穿防毒服
297,100-74-3,尽可能切断泄漏源
298,100-74-3,防止流入下水道、排洪沟等限制性空间
299,100-74-3,小量泄漏：用活性炭或其它惰性材料吸收
300,100-74-3,也可以用大量水冲洗，洗水稀释后放入废水系统
301,100-74-3,大量泄漏：构筑围堤或挖坑收容
302,100-74-3,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
303,100-97-0,消除所有点火源
304,100-97-0,隔离泄漏污染区，限制出入
305,100-97-0,建议应急处理人员戴防尘口罩，穿防静电服
306,100-97-0,禁止接触或跨越泄漏物
307,100-97-0,小量泄漏：用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
308,100-97-0,大量泄漏：用水润湿，并筑堤收容
309,100-97-0,防止泄漏物进入水体、下水道、地下室或限制性空间
310,100-99-2,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
311,100-99-2,消除所有点火源
312,100-99-2,建议应急处理人员戴正压自给式呼吸器，穿防毒、防静电服
313,100-99-2,禁止接触或跨越泄漏物
314,100-99-2,尽可能切断泄漏源
315,100-99-2,防止泄漏物进入水体、下水道、地下室或限制性空间
316,100-99-2,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物，用洁净的无火花工具收集泄漏物，置于一盖子较松的塑料容器中，待处置
317,100-99-2,大量泄漏：构筑围堤或挖坑收容
318,100-99-2,用防爆泵转移至槽车或专用收集器内
319,1002-16-0,消除所有点火源
320,1002-16-0,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
321,1002-16-0,建议应急处理人员戴正压自给式呼吸器，穿防静电服，戴橡胶耐油手套
322,1002-16-0,勿使泄漏物与可燃物质(如木材、纸、油等)接触
323,1002-16-0,穿上适当的防护服前严禁接触破裂的容器和泄漏物
324,1002-16-0,尽可能切断泄漏源
325,1002-16-0,勿使水进入包装容器内
326,1002-16-0,防止泄漏物进入水体、下水道、地下室或限制性空间
327,1002-16-0,小量泄漏：用蛭石、砂土等不燃性材料吸收泄漏物，置于容器中以待处理
328,1002-16-0,大量泄漏：构筑围堤或挖坑收容
329,1002-16-0,泄漏物回收后，用水冲洗泄漏区
330,10022-31-8,隔离泄漏污染区，限制出入
331,10022-31-8,建议应急处理人员戴防尘口罩，穿防毒服，戴氯丁橡胶手套
332,10022-31-8,勿使泄漏物与可燃物质(如木材、纸、油等)接触
333,10022-31-8,穿上适当的防护服前严禁接触破裂的容器和泄漏物
334,10022-31-8,尽可能切断泄漏源
335,10022-31-8,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
336,10024-97-2,根据气体扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
337,10024-97-2,消除所有点火源
338,10024-97-2,建议应急处理人员戴正压自给式呼吸器，穿一般作业工作服
339,10024-97-2,勿使泄漏物与可燃物质(如木材、纸、油等)接触
340,10024-97-2,禁止接触或跨越泄漏物
341,10024-97-2,尽可能切断泄漏源
342,10024-97-2,喷雾状水抑制蒸气或改变蒸气云流向，避免水流接触泄漏物
343,10024-97-2,禁止用水直接冲击泄漏物或泄漏源
344,10024-97-2,防止气体通过下水道、通风系统和限制性空间扩散
345,10024-97-2,漏出气允许排入大气中
346,10024-97-2,隔离泄漏区直至气体散尽
347,10025-67-9,迅速撤离泄漏污染区人员至安全区，并立即隔离150m，严格限制出入
348,10025-67-9,切断火源
349,10025-67-9,建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服
350,10025-67-9,尽可能切断泄漏源
351,10025-67-9,小量泄漏：用砂土、蛭石或其它惰性材料吸收
352,10025-67-9,大量泄漏：构筑围堤或挖坑收容
353,10025-67-9,用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置
354,10025-68-0,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
355,10025-68-0,建议应急处理人员戴正压自给式呼吸器，穿防毒服，戴橡胶手套
356,10025-68-0,穿上适当的防护服前严禁接触破裂的容器和泄漏物
357,10025-68-0,尽可能切断泄漏源
358,10025-68-0,防止泄漏物进入水体、下水道、地下室或限制性空间
359,10025-68-0,小量泄漏：用干燥的砂土或其他不燃材料吸收或覆盖，收集于容器中
360,10025-68-0,大量泄漏：构筑围堤或挖坑收容
361,10025-68-0,用耐腐蚀泵转移至槽车或专用收集器内
362,10025-78-2,消除所有点火源
363,10025-78-2,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
364,10025-78-2,建议应急处理人员戴正压自给式呼吸器，穿防静电、防腐蚀、防毒服，戴橡胶手套
365,10025-78-2,禁止接触或跨越泄漏物
366,10025-78-2,尽可能切断泄漏源
367,10025-78-2,防止泄漏物进入水体、下水道、地下室或限制性空间
368,10025-78-2,严禁用水处理
369,10025-78-2,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物
370,10025-78-2,大量泄漏：构筑围堤或挖坑收容
371,10025-78-2,用碎石灰石(CaCO3)、苏打灰(Na2CO3)或石灰(CaO)中和
372,10025-78-2,在专家指导下清除
373,10025-87-3,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
374,10025-87-3,建议应急处理人员戴正压自给式呼吸器，穿防酸碱服，戴橡胶耐酸碱手套
375,10025-87-3,穿上适当的防护服前严禁接触破裂的容器和泄漏物
376,10025-87-3,尽可能切断泄漏源
377,10025-87-3,勿使泄漏物与可燃物质(如木材、纸、油等)接触
378,10025-87-3,防止泄漏物进入水体、下水道、地下室或限制性空间
379,10025-87-3,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物，用洁净的无火花工具收集泄漏物，置于一盖子较松的塑料容器中，待处置
380,10025-87-3,大量泄漏：构筑围堤或挖坑收容
381,10025-87-3,用砂土、惰性物质或蛭石吸收大量液体
382,10025-87-3,用石灰(CaO)、碎石灰石(CaCO^{3^})或碳酸氢钠(NaHCO^{3^})中和
383,10025-87-3,用耐腐蚀泵转移至槽车或专用收集器内
384,10025-91-9,隔离泄漏污染区，限制出入
385,10025-91-9,建议应急处理人员戴防尘口罩，穿防酸碱服，戴橡胶耐酸碱手套
386,10025-91-9,作业时使用的所有设备应接地
387,10025-91-9,穿上适当的防护服前严禁接触破裂的容器和泄漏物
388,10025-91-9,尽可能切断泄漏源
389,10025-91-9,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物，然后用塑料布覆盖，减少飞散、避免雨淋
390,10025-91-9,用洁净的铲子收集泄漏物，置于干净、干燥、盖子较松的容器中，将容器移离泄漏区
391,10026-03-6,隔离泄漏污染区，限制出入
392,10026-03-6,建议应急处理人员戴自给正压式呼吸器，穿防毒服
393,10026-03-6,用洁净的铲子收集于干燥、洁净、有盖的容器中，转移至安全场所
394,10026-03-6,若大量泄漏，收集回收或运至废物处理场所处置
395,10026-04-7,根据液体流动和蒸气扩散的影响区域划定警戒区，无关人员从侧风、上风向撤离至安全区
396,10026-04-7,建议应急处理人员戴正压自给式呼吸器，穿防酸碱服，戴橡胶耐酸碱手套
397,10026-04-7,作业时使用的所有设备应接地
398,10026-04-7,穿上适当的防护服前严禁接触破裂的容器和泄漏物
399,10026-04-7,勿使水进入包装容器内
400,10026-04-7,尽可能切断泄漏源
401,10026-04-7,防止泄漏物进入水体、下水道、地下室或限制性空间
402,10026-04-7,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物
403,10026-04-7,大量泄漏：构筑围堤或挖坑收容
404,10026-04-7,用碎石灰石(CaCO3)、苏打灰(Na2CO3)或石灰(CaO)中和
405,10026-04-7,用耐腐蚀泵转移至槽车或专用收集器内
406,10026-07-0,隔离泄漏污染区，限制出入
407,10026-07-0,建议应急处理人员戴防尘口罩，穿防毒服
408,10026-07-0,不要直接接触泄漏物
409,10026-07-0,小量泄漏：避免扬尘，小心扫起，收集于干燥、洁净、有盖的容器中
410,10026-07-0,大量泄漏：收集回收或运至废物处理场所处置
411,10026-11-6,隔离泄漏污染区，限制出入
412,10026-11-6,建议应急处理人员戴防尘口罩，穿防酸碱服，戴橡胶手套
413,10026-11-6,穿上适当的防护服前严禁接触破裂的容器和泄漏物
414,10026-11-6,尽可能切断泄漏源
415,10026-11-6,勿使泄漏物与可燃物质(如木材、纸、油等)接触
416,10026-11-6,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物，用洁净的无火花工具收集泄漏物，置于一盖子较松的塑料容器中，待处置
417,10026-11-6,大量泄漏：用塑料布覆盖泄漏物，减少飞散，避免雨淋
418,10026-11-6,在专家指导下清除
419,10026-12-7,隔离泄漏污染区，限制出入
420,10026-12-7,建议应急处理人员戴防尘面具（全面罩），穿防酸碱工作服
421,10026-12-7,用洁净的铲子收集于干燥、洁净、有盖的容器中
422,10026-12-7,若大量泄漏，收集回收或运至废物处理场所处置
423,10026-13-8,隔离泄漏污染区，限制出入
424,10026-13-8,建议应急处理人员戴防尘口罩，穿防酸碱服，戴橡胶耐酸碱手套
425,10026-13-8,穿上适当的防护服前严禁接触破裂的容器和泄漏物
426,10026-13-8,尽可能切断泄漏源
427,10026-13-8,勿使泄漏物与可燃物质(如木材、纸、油等)接触
428,10026-13-8,小量泄漏：用干燥的砂土或其他不燃材料覆盖泄漏物，用洁净的无火花工具收集泄漏物，置于一盖子较松的塑料容器中，待处置
429,10026-13-8,大量泄漏：用塑料布覆盖泄漏物，减少飞散，避免雨淋
430,10026-17-2,隔离泄漏污染区，限制出入
431,10026-17-2,建议应急处理人员戴防尘口罩，穿防腐防毒服
